,X601398.CH.EQUITY,X601318.CH.EQUITY,X601939.CH.EQUITY,X601288.CH.EQUITY,X5.HK.EQUITY,X601988.CH.EQUITY,X600036.CH.EQUITY,X601628.CH.EQUITY,X1299.HK.EQUITY,X601166.CH.EQUITY,X601328.CH.EQUITY,X600000.CH.EQUITY,X000001.CH.EQUITY,X601319.CH.EQUITY,X601601.CH.EQUITY,X000002.CH.EQUITY,X16.HK.EQUITY,X11.HK.EQUITY,X388.HK.EQUITY,X267.HK.EQUITY,X601998.CH.EQUITY,X600016.CH.EQUITY,X2388.HK.EQUITY,X688.HK.EQUITY,X600030.CH.EQUITY,X601818.CH.EQUITY,X1109.HK.EQUITY,X2007.HK.EQUITY,X1113.HK.EQUITY,X600048.CH.EQUITY,X002142.CH.EQUITY,X12.HK.EQUITY,X823.HK.EQUITY,X601066.CH.EQUITY,X601688.CH.EQUITY,X001979.CH.EQUITY,X601211.CH.EQUITY,X600837.CH.EQUITY,X601229.CH.EQUITY,X601336.CH.EQUITY,X2882.TT.EQUITY,X601169.CH.EQUITY,X600015.CH.EQUITY,X1997.HK.EQUITY,X000166.CH.EQUITY,X2881.TT.EQUITY,X600999.CH.EQUITY,X2891.TT.EQUITY,X300059.CH.EQUITY
X601398.CH.EQUITY,0,0,0.318876981323036,0.238978843091109,0,0.0948010319889714,0,-0.109597034581302,0,0,0.0623853678799244,0,0,0,0,0,0,0.0171562331183379,0,0,0,0,0,0,0,0.1095710568874,0,0,-0.0241341858573085,0,0.0592035459605973,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.040321901099332,0,-0.101172712319561,0
X601318.CH.EQUITY,0,0,0,0,0,0,-6.93889390390723e-18,0,0,-8.67361737988404e-19,0,0.203634949695054,0,0,0.279900068743047,-0.0020984717318119,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0605669943170393,0,0,-0.00967293323620626,0,0,0,0,-0.263447849187536,0.275683191267305,0,0.203774678108657,0,0,0,0,0,0.0635277503242429,0
X601939.CH.EQUITY,0.426489295328674,0,0,0.0925875006332784,0.105802018726618,0,0,0,0,0,0,0,0.13717833620522,6.93889390390723e-18,0,0,0,0,0,0.123970466947242,0.0237649761208264,0,0.024229553397582,0,0,0,0,0,0,0,0,0,0,0.00838627789664054,0,0,0,0,0.316467849354912,0,0,0,0,0,0,-0.167303792586232,0,0,0
X601288.CH.EQUITY,0.436033698482728,0.0342137701725779,0.125690025480039,0,0.0349415730301371,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.13396822939722,0,-0.0361179334078152,0,0.0409049701220885,0.0748852414903369,0,0,0.23254613397402,0,0,0,0,0,0,0.105847819152378
X5.HK.EQUITY,0,-0.194518791251343,0,0.235861567502805,0,0,0,0,-0.199028623476478,0,0.126539063535533,0,0,0,0,0.193997611453359,0,0.264074000305401,0,0,0,0,0.347190848214224,-0.019042912962429,0,0,0,0,0,0,0,0,0,0,0,-0.15503162299043,0.149441368013157,0,0,0,0.163860372184941,0,0.071355208626157,0,0,0,0,0,-0.213392123994611
X601988.CH.EQUITY,0,0,0.151415682657498,0.119821474013889,0,0,-0.0518155941045981,0.0547645085361004,0,0.187110551114203,0.271025430407903,0,-0.0893205508151774,0,0,-0.0807096586530041,0,0,0,0,0,0.471659509800753,0,0,0,-0.122019604658168,0,0.0129570196220078,0,-0.0472184431591334,0,0,-0.0557443999510664,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
X600036.CH.EQUITY,-0.0212947808429063,0.306167460813263,0,0,0,0,0,-0.0150065526791979,0,0,0,0,0.12819491728594,0,0,0,0,0,0.00834944413612408,0.0166128171246788,0,0,0.267517935674184,0,0,0,0.0892677774141932,-0.0466642989401776,0,0,0.315209719916964,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0607456454657689,0,0
X601628.CH.EQUITY,0,0,0,0.378428800034256,0,0,0,0,-3.46944695195361e-18,-6.93889390390723e-18,0,0,0,0.268260462674171,0,0,0,0,0,0,0,0,0,0.0502512202618972,0,0,0,0.0900278529746092,0,0,-0.0348066861291111,0,0,0,0,0,0,0,0,0,0.134741478869088,0,0,0,0,0,0,-0.00380339714230409,0
X1299.HK.EQUITY,0,0,0,0,0,0,0,0,0,0,0,0,-0.0545442987005638,0,0,0,0,0,0.206502235494547,0.130711307130798,-0.0206819453369198,0,0,0.200878571240674,0,0,0.00616065340946169,0.0128727061967388,0.367711516339819,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0679778423902886,0,0,0
X601166.CH.EQUITY,0.0359524956180378,0,0,0,0,0.105577295853118,0,0,0,0,0,0,0,0,0.27163922658119,0,0,0,0,0,0,0,0,0,0,0,0,0.046040082825997,0,0,0.529955368190302,0,0,0.210825027623695,0,-0.0565953655193028,0,0,0,0.168939330789329,0,-0.177840514597842,0,0,0,0,-0.0142551424441355,0,0
