,X601398.CH.EQUITY,X601318.CH.EQUITY,X600036.CH.EQUITY,X601939.CH.EQUITY,X601288.CH.EQUITY,X1299.HK.EQUITY,X601988.CH.EQUITY,X601628.CH.EQUITY,X5.HK.EQUITY,X601166.CH.EQUITY,X388.HK.EQUITY,X601658.CH.Equity,X000001.CH.EQUITY,X601601.CH.EQUITY,X000002.CH.EQUITY,X600030.CH.EQUITY,X600000.CH.EQUITY,X300059.CH.EQUITY,X601328.CH.EQUITY,X002142.CH.EQUITY,X16.HK.EQUITY,X601066.CH.EQUITY,X601319.CH.EQUITY,X601998.CH.EQUITY,X11.HK.EQUITY,X600016.CH.EQUITY,X601818.CH.EQUITY,X2388.HK.EQUITY,X1109.HK.EQUITY,X600999.CH.EQUITY,X2007.HK.EQUITY,X688.HK.EQUITY,X600048.CH.EQUITY,X267.HK.EQUITY,X601688.CH.EQUITY,X601211.CH.EQUITY,X600837.CH.EQUITY,X12.HK.EQUITY,X601229.CH.EQUITY,X601336.CH.EQUITY,X2882.TT.EQUITY,X1113.HK.EQUITY,X823.HK.EQUITY,X002736.CH.EQUITY,X2881.TT.EQUITY,X000166.CH.EQUITY,X1997.HK.EQUITY,X000776.CH.EQUITY,X600926.CH.EQUITY,X601169.CH.EQUITY
X601398.CH.EQUITY,0,0.00253968389068591,0,0.33731265985821,0.11049312508701,0,0.20765285637567,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.165036020773747,0,0,0,0,0,0.0158899357402937,0,0,0,0.0739999873452409,0,0,0,0,0,0.0457141520293849,0,0.0248010154369067,0,0,0,0,-0.0392337773978698,0,0,0
X601318.CH.EQUITY,0,0,0,0.0530015425312394,0,0,0,0,0.188881680909571,0,0,0,0.00443509194199419,0,0.102694109822787,0.0249824020338706,0,0.0456137961163399,0,0,0,0.142881183269233,0.0532669934566492,0,0,0,0,0,0,0.173255556588515,0,0,0.0745371285642346,0,0,0.10243631317519,0,0,0,0,0,0,0,0,0,0,0,0,0,0
X600036.CH.EQUITY,0,0,0,0,0,0.120726948257842,0,0,0,0,0,0,0.115886742771562,0,0.0105757988736887,0,0,0,0,0,0,0,0,0.0580374764557864,0,0.312080632602147,0.0701701192286331,0,0,0,0,0.0107636753281082,0,0,0,0,0,-0.11590538877121,0,0,0.0974085501566463,0,-0.0430508407932,0,0,0,0,0,0,0.179438120537279
X601939.CH.EQUITY,0.57812366036052,0,0,0,0,0,0,0,0.248152795558279,0.0830004234594645,0,0,0,0,0.0209672828566342,0,0,0,0,0,0,0,0,0,0,0,0.112245480141354,0,0,0,0,0,0,0,0,0,0.0885580118676841,0,0,0,-0.0986082974760125,0,0,0.0173367840972723,0,0,0,0,0.158301702356254,0.0622239074030172
X601288.CH.EQUITY,0,0,0,0.175709937355789,0,0,0.456245150812071,0,0,0.103339100918902,0,0,0,0,0,0,0.0586882886184071,0,0,0.0394513391679701,0,0,0,0.0351540557430961,0,0,0.0213928880122148,0,0,0,0,0.104097389273199,0,0,0,0,-0.025550388389103,0,0.0730047166846327,0,0,0,0,0,0,0,0,0,0.0133810530990411,0
X1299.HK.EQUITY,0,0,0.0447123746844583,0,0,0,0,0,0.025418295065749,0,0.263371261125706,-3.46944695195361e-18,0,0.178169918923676,0.0202297603704812,0,0,0,0,0,0.175636989665886,-0.256392598530059,0,0,0,0,0,0,0.13379675966833,-0.0151463680379685,0,0,0,0,0,0,0,0,0,0,0.144363987002539,0,0,0,0,0,0.166225778414104,0,0.00750549874300371,0
X601988.CH.EQUITY,0,0,0,0,0.368141481623023,0,0,0.00496771001660517,0,0,0,0.0210929265269031,0,0,0,0,0,0,0.245125980508823,-0.0236451641437721,0,0,0,0.196637272796791,0,0,0,0,0,0,0,-0.262292611746386,0,0.0536624935977757,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
X601628.CH.EQUITY,0,0,0,0,0,0,0,0,0,0,0,-0.117615827535737,0,0,0,0,0,0,0.239917848873553,0,0,0.0345048097431166,0,0.0938248119487699,0,0,0,0,0,0.0719989252643269,0,0,0,0,0.214944874145879,0,0.0950711097755424,0,0,0.240555893273443,0,0,0,0,0,0,0,0,0,0
X5.HK.EQUITY,0,0.196647954883168,0,0.126984267197006,0,0,0,0,0,0.065271561400103,-0.15074394334436,0.0520753331192537,0,0,0,0,0,0,0,0,0,0,0,0,0.257980441708429,0,0,0.135606540085476,0,0,0,0,0,0,0,0,0,0.236791879745652,0,0,0,0,0,0,0.0650753310443948,0,0,0,0,0
X601166.CH.EQUITY,0,0,0.00746417730611696,0,0,0,0,0,0,0,-0.0734974441824821,0,0.210279028141621,0,0,0,0,0,0,0,-0.0789140746259963,0,0,0,0,0.00937094764019305,0.319224676895193,0,0,-0.0756956864740233,0.0701612350231731,0.0657423374133048,0.0225259366273882,0,0,0,0.0828999116086757,0,0,0,0,0,0,0,0.0419402273125209,0,0,0,0.239167519205899,0
