,X601398.CH.EQUITY,X601318.CH.EQUITY,X601939.CH.EQUITY,X601288.CH.EQUITY,X5.HK.EQUITY,X601988.CH.EQUITY,X600036.CH.EQUITY,X1299.HK.EQUITY,X601628.CH.EQUITY,X601166.CH.EQUITY,X601328.CH.EQUITY,X600000.CH.EQUITY,X601319.CH.EQUITY,X000001.CH.EQUITY,X16.HK.EQUITY,X601601.CH.EQUITY,X000002.CH.EQUITY,X11.HK.EQUITY,X388.HK.EQUITY,X601998.CH.EQUITY,X267.HK.EQUITY,X688.HK.EQUITY,X2388.HK.EQUITY,X600016.CH.EQUITY,X600030.CH.EQUITY,X2007.HK.EQUITY,X601818.CH.EQUITY,X1109.HK.EQUITY,X1113.HK.EQUITY,X600048.CH.EQUITY,X12.HK.EQUITY,X002142.CH.EQUITY,X823.HK.EQUITY,X601066.CH.EQUITY,X601688.CH.EQUITY,X001979.CH.EQUITY,X601211.CH.EQUITY,X600837.CH.EQUITY,X601229.CH.EQUITY,X601336.CH.EQUITY,X1997.HK.EQUITY,X2882.TT.EQUITY,X601169.CH.EQUITY,X600015.CH.EQUITY,X000166.CH.EQUITY,X2881.TT.EQUITY,X17.HK.EQUITY,X300059.CH.EQUITY,X002736.CH.EQUITY
X601398.CH.EQUITY,0,0,0,0,0,0.255623698179178,0,0,0,0,0.181055769651544,0,0,0,-0.0735108313283943,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0359429433851033,0,0,0,0.0791868639258279,0,0,0,0,0.0520305572553736,0,-0.0504556223035977,0,0,-0.0815145574782088
X601318.CH.EQUITY,0,0,0,0,0,0,0,0,0,0,0,0.175003070404429,0,0.0712717474288881,0,0.296651828198424,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0741356881774,0,0,0,0,0,0,-0.265294939674616,0.261608628598383,0,0,0.204515656813811,0,0,0,0,0,-0.0132332694586613
X601939.CH.EQUITY,0.249706385928836,0,0,0,0.102773827985922,0,0,0,0,0,0,0,0,0.137259775866609,0,0,0,0,0,0.0169049220915307,0.140606626393662,0,0,0,0,0,0.128236309197581,0,0,0,0,0,0,0,0,0,0,0,0.16765044880183,0,0,0,0,0.117498577427104,0,0,0,0,0
X601288.CH.EQUITY,0.306073859094457,0.0294881912140469,0.0546405630844752,0,0.0539451534795534,0,0,0,0.0629931248518278,0,0,0,0,0,0,0,0,0,0,0,0.0618176321196124,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0937842018763007,0,0,0.171037958000804,0.131442350432392,0,0,0.163577631077601,0,0,0,0,0.162811762653719,0
X5.HK.EQUITY,0,-0.180520755818385,0,0.420060856467033,0,0,0,-0.184375544744661,0,0,0,0,0,0,0,0,0,0,0,0.112349126838565,0,0,0.507903887649544,0,0,-0.07490432292609,0,0,0,0,0,0,0,0,0,-0.154546019818907,0,0,0,0,0,0.125403775576723,0,0,0,0,-0.0438713672357989,-0.151273386974722,0
X601988.CH.EQUITY,0,0,0,0.0436881972346586,0,0,-0.0538549300066155,0,0.124376546562594,0.185347746079055,0.282162235236344,0,0,0,0,0,0,0,0,0,0,-0.0792324963422868,0,0.44332067057088,0,0,-0.0611690583720034,0,0,-0.0452405484680066,0,-0.0100263275962295,-0.0874154034075116,0,0,0,0,0,0,0,0,0,0,0,0,0,0.146456841435257,0,0
X600036.CH.EQUITY,-0.126959763681784,0.233570713062517,0,0,0,0,0,0,0,0,0,0.110502196454541,0,0.200032717494408,0,0,0,0,0.131002563073457,0,0,0,0.105393383619783,0,0,-0.0302217348522751,0,0,0,-0.0872591328588703,0,0.331828636317915,0,-0.0700479715256676,0,0,0.105343540556909,0,0,0.0825023295616052,0.0399886047818128,-3.46944695195361e-18,0,0,0,0,0.090848931793466,0,0
X1299.HK.EQUITY,0,0,0,0,0,0,0.0642007829164515,0,0,0,0,0,0,-0.0643737568964989,0,0,0,0.0737377830507945,0.144088567543381,0,0.156771372758232,0.114107360814095,0.0785740594573455,0,0,0,0,0,0.180804363231732,0,0,0,0.0358843202968396,0,0,0,0,0,0,0,0,0,0,0,0,0.0772309644583581,0,0,0
X601628.CH.EQUITY,0,0,0.00926627531058562,0,0.0496861071284622,0,0,0,0,0.0891589913974871,0,0,0,0,0,0.146557501122575,0,0,0,0,0,0,0.0649344309378142,0,0,0,0,0.013014613067447,0,0,0.00107024467706974,-0.153162716139323,0,0.0286752885720925,0,0,0,0,0,0.356915258135818,0,0,0,0,0,0,0,0,0
X601166.CH.EQUITY,-6.93889390390723e-18,0,0,0,0,0.152605164070541,0,0,0.00508118032984719,0,0,0,0,0,0,0.248340435417265,0,0,0,0,0,0,0,0,0,0.0271246302420685,0,-0.0172265278960622,0,0,0,0.492794929085825,0,0.16517687382311,0,-0.0696763686820636,0,0,0,0.200331014566709,0,0,-0.072335002236237,0,0,0,0,0,0
X601328.CH.EQUITY,0,0,0.0165352719142013,0,0.0566456198669871,0.294140618621613,0,0,0,0,0,0.167502952301769,-1.73472347597681e-18,0,0,0.0101528128069789,0,0,0.0212669544577284,0.176254104134382,0,0,0,0.162844313633445,0.119768536986897,0,0,0.0268582485287338,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0885297076998508,0,0,0,0,0,0
