,X601398.CH.EQUITY,X601939.CH.EQUITY,X601318.CH.EQUITY,X601288.CH.EQUITY,X601988.CH.EQUITY,X5.HK.EQUITY,X600036.CH.EQUITY,X1299.HK.EQUITY,X601628.CH.EQUITY,X601658.CH.Equity,X601328.CH.EQUITY,X601166.CH.EQUITY,X600000.CH.EQUITY,X000002.CH.EQUITY,X600030.CH.EQUITY,X388.HK.EQUITY,X16.HK.EQUITY,X000001.CH.EQUITY,X601319.CH.EQUITY,X600016.CH.EQUITY,X601601.CH.EQUITY,X688.HK.EQUITY,X601998.CH.EQUITY,X11.HK.EQUITY,X267.HK.EQUITY,X2388.HK.EQUITY,X601066.CH.EQUITY,X1109.HK.EQUITY,X600048.CH.EQUITY,X601818.CH.EQUITY,X2007.HK.EQUITY,X601688.CH.EQUITY,X601211.CH.EQUITY,X002142.CH.EQUITY,X001979.CH.EQUITY,X1113.HK.EQUITY,X12.HK.EQUITY,X600837.CH.EQUITY,X823.HK.EQUITY,X601229.CH.EQUITY,X300059.CH.EQUITY,X2882.TT.EQUITY,X601336.CH.EQUITY,X000166.CH.EQUITY,X600999.CH.EQUITY,X601169.CH.EQUITY,X600015.CH.EQUITY,X000776.CH.EQUITY,X002736.CH.EQUITY,X2886.TT.EQUITY
X601398.CH.EQUITY,0,0,0,0.363159852073424,0,0,0.0971302824447126,0,0.314042265957396,0,0,0.106709792586307,0,0,0,0,0,0.0904311073669916,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0152548140521573,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
X601939.CH.EQUITY,0.421352774088045,0,0,0.0415360408324305,0,0,0,-0.113955195658774,0,0.0468700401414213,0,0,0.431421633120022,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0487566234137802,0,0,0,0,0,0,0,0,0.048115285427703,0,0,0,0,0,0,0,0,0,0,0.0270720156332735,0,0,0.0392677785852057
X601318.CH.EQUITY,0,0,0,0.0482030706682916,0,0,0,0,0,0,0,0.366296129604997,0,0,0,0,0,-4.33680868994202e-19,0,0,0.0150537296777936,0,0,0,3.30348004132976e-05,0,0,0,0,0,0,0,0,0,0,0,0.0791230575275648,0,0.0607991820564004,0.170572387826035,0,0,0,0,0,0.152529328036066,0,0,0,0
X601288.CH.EQUITY,0.415440856750798,0,0,0,0.400660418038723,0,0,0,0,0,0.065548879725219,0,0,0,0,0.0697614302680187,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0340663027998851,0,0,0,0,0,-0.0145358749932843,0,0,0,0,0,0,0,0,0,0,0,0,0,0
X601988.CH.EQUITY,0,0,0,0.277435639653425,0,0,0,0,0,0.00163223624347702,0,0,0,0,0,0,0,0.136281015353982,0,0.13530989234415,0,0,0,0,0,0,0,0,0.00148815077842205,0,0.0662284801514182,0,0.0119031090863723,0,0,0,0.0468145041967136,0,0,0,0,0,0,0,0.16585576400852,0,0.14949002074587,0,0,0
X5.HK.EQUITY,0,0,0,0,0,0,0,0,0,6.93889390390723e-18,0,0,0,0.213439848903338,0,0.277160334613918,0,0,0,0,0,0.664577756086378,0,0,0,0.564175481659327,0,-0.584651942465618,0,0,0,0,0,0,0,0,0,0,0.0138020632915106,0,0,0.127394718218913,0,0,0,0,0,0,0,-0.123831461736061
X600036.CH.EQUITY,0,0,0.0284392086503994,0,0,0.0493971890388913,0,0,0,0,0,0.333139097270635,0,0,0,-1.73472347597681e-18,0,0,0,0,0,0,0,0.0250573895682046,0,0,0.0897878362019839,0,0.00155906909198993,0,0,0,0,0.132536331357317,0,0,0,0,0,0,0.0718292843377208,0,0,0,0,0,0,0,0,0.275816144149298
X1299.HK.EQUITY,0,0,0,0,0,0.0251688043745587,0.0607530452404739,0,0,0,0,0,0,0,0,0.280352174258053,0,0,0,0,0,0.149268987210842,0,0.0570069257024358,0,0,0,0.136498155272408,0,0,0,0,0,0,0,0,0.20439191407075,0,0,0,0,0,0,0,0,0,0,0,0,0
X601628.CH.EQUITY,0.0629096748226237,0,0,0,0,0,0,0,0,0,0,0.0774004749358883,-4.33680868994202e-19,0,0,0,0,0.221846672478809,0,0,0,-3.46944695195361e-18,0.172857677043804,0,0,0,0,0,0,0,0.0346435055742232,0,0,0,0.0598006470625506,0,0,0,0,0.181092140415766,0,0,0,0,0,0,2.16840434497101e-19,0,0,0
X601658.CH.Equity,0,0,0,0,1.38777878078145e-17,0,0,0,0,0,0,0,0,0,0,-0.0846460408180114,0,0,0,0,0,0,0,0.0451148569839889,0,0,0,0,0,0,0.422679298907424,0,0,0.173625249300729,0,0,0,0,0,0,0.0821669282741452,-0.407827330272166,0,0,0,0,0.740045130184524,0,0,0
