,X601398.CH.EQUITY,X601318.CH.EQUITY,X601939.CH.EQUITY,X600036.CH.EQUITY,X601288.CH.EQUITY,X601628.CH.EQUITY,X1299.HK.EQUITY,X601988.CH.EQUITY,X5.HK.EQUITY,X601166.CH.EQUITY,X388.HK.EQUITY,X601658.CH.Equity,X000001.CH.EQUITY,X600030.CH.EQUITY,X601601.CH.EQUITY,X000002.CH.EQUITY,X601328.CH.EQUITY,X600000.CH.EQUITY,X601066.CH.EQUITY,X601319.CH.EQUITY,X16.HK.EQUITY,X300059.CH.EQUITY,X601998.CH.EQUITY,X2388.HK.EQUITY,X002142.CH.EQUITY,X600016.CH.EQUITY,X11.HK.EQUITY,X601818.CH.EQUITY,X600048.CH.EQUITY,X1109.HK.EQUITY,X600999.CH.EQUITY,X2007.HK.EQUITY,X688.HK.EQUITY,X601336.CH.EQUITY,X601688.CH.EQUITY,X601211.CH.EQUITY,X600837.CH.EQUITY,X267.HK.EQUITY,X002736.CH.EQUITY,X1113.HK.EQUITY,X12.HK.EQUITY,X000166.CH.EQUITY,X2882.TT.EQUITY,X823.HK.EQUITY,X000776.CH.EQUITY,X601229.CH.EQUITY,X600918.CH.Equity,X001979.CH.EQUITY,X2881.TT.EQUITY,X601169.CH.EQUITY
X601398.CH.EQUITY,0,0,0,0.0441311814414143,0.376802273482586,0,0,0,0,0,0,0,0,0,0,0.0446079884913552,1.73472347597681e-18,0,0,0,0,0,0.0364853937145682,0,0.0816449393154037,0,0,0,0,0,0.0683106578100036,0,0,0,0,0,0,0.0910988434977629,0,0,0,0,0.037771208836504,0,0,0.000556067129436462,0.0338181267916543,0,0,-1.73472347597681e-18
X601318.CH.EQUITY,0,0,0,0.0132859350212786,0,0.0543836555327059,0,0,0.134254435176729,0,0,0,0.0636272057010172,0,0.0712158780282654,0,0,0.127218224634669,0,0.173214484726109,0,0.0745885332818044,0,0,0,0,0,0,0.0292107917534131,0,0.063472216402937,0.167840547789551,0,0,0,0,0,0.103345048487368,0,0,0,0,0,0,0,0,0,0,0.0488309931707242,0
X601939.CH.EQUITY,0,0,0,0,0.117499962454287,0,-0.0601375747801463,0,0,0,0,0.118124334993685,0,0,0.0065728568576958,0,0,0,0.0605156103901798,0,0.0171339386888839,-0.0487798958809536,0.632179582286864,0.00527202095640335,0,0.135134823348539,0,-4.33680868994202e-19,0.0725083496721343,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
X600036.CH.EQUITY,0,0.0273148542618922,0,0,0,0,0.242225971543588,0.0238540767460756,0,0,0,0,0.260350508608739,0,0,0.175347296228055,0,0,0,0,0,0,0.170746169383903,0,0.259334575928415,0,0,0,0,0.032984160234053,0,0,0,0,0,0,0,0,0,0.0908232285001121,0,0,0,0,0,0,0,0,0,0
X601288.CH.EQUITY,0.181525511062457,0.0462049456764345,0.118166280799176,0,0,0.0337547139319127,0,0.334232076454284,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-3.46944695195361e-18,0,0,0,0,0.124702902178413,0,0,0,0,0,0,0,-0.0265148216739721,0,0,0,0,0,0,0,0,0,0,0,0.108552132860186,0,0
X601628.CH.EQUITY,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.171895465844988,0,0,0.0615674271310538,0,0,0.165948893140135,0,0,-0.130751139462088,0,0,0,0,0,0,0,0,0.604256376817593,0.0808968081020393,-0.0488347263422293,0,0,0,0,0,0,0.0933079037895029,0,0,0,0,0,0,0
X1299.HK.EQUITY,0,0,-0.193586254147822,0.0704695212723064,0,0,0,0,0,0,0.199992723783393,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.099515806377667,0,0,0,0,0,0.102387900940294,0,0,0,0,0,0,0.0857895610386438,0.0963905742047116,0,0.125531169103208,0.27458853985594,0.0865779794569783,0,0,0,0,0
X601988.CH.EQUITY,0,0,0,0.202441412985517,0.700320428427299,0,0,0,0,0,0,0,0.0299009094130704,0,0,0,0.0341165745202036,0.046061070800519,0,0,0.0645853370980713,0,0,0,0.0927345668608401,0,0,0,0,0,-0.127288293039999,0.0945933223790617,0.0265862778755204,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
X5.HK.EQUITY,0,0,0,0,0,0.0736342995602217,0,0,0,0,0.043711407488492,0,0,-0.0919847305106449,0,0,0,0,0,0.170387307009824,0,0,0,0.093387961459197,0,0,0.181723263893258,0,0.0126367009417175,0,0,0,0,0,0,0,0,0.0127698005034517,0,0.309418903761464,0,0,0,0.2119448858961,0,0,0,0,0.116508326232758,0
X601166.CH.EQUITY,0,0,0.0482394601003615,0.0708156708725643,0,0,-0.00779259758345587,0,0,0,0,0.0617483860209743,0.142191134105735,0,0,0.0794565519275692,0,0,0,0,0,0,0,0,0.158998016933943,0,0,0.388630028744474,0,0,0,0,0,0.0329915566095401,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
