,X601398.CH.EQUITY,X601318.CH.EQUITY,X601939.CH.EQUITY,X600036.CH.EQUITY,X601288.CH.EQUITY,X601628.CH.EQUITY,X1299.HK.EQUITY,X601988.CH.EQUITY,X5.HK.EQUITY,X601166.CH.EQUITY,X388.HK.EQUITY,X601658.CH.Equity,X000001.CH.EQUITY,X000002.CH.EQUITY,X600030.CH.EQUITY,X601328.CH.EQUITY,X601601.CH.EQUITY,X601066.CH.EQUITY,X600000.CH.EQUITY,X16.HK.EQUITY,X601319.CH.EQUITY,X300059.CH.EQUITY,X2388.HK.EQUITY,X1109.HK.EQUITY,X601998.CH.EQUITY,X002142.CH.EQUITY,X600016.CH.EQUITY,X11.HK.EQUITY,X601818.CH.EQUITY,X600048.CH.EQUITY,X2007.HK.EQUITY,X600999.CH.EQUITY,X688.HK.EQUITY,X601688.CH.EQUITY,X601336.CH.EQUITY,X267.HK.EQUITY,X601211.CH.EQUITY,X600837.CH.EQUITY,X1113.HK.EQUITY,X002736.CH.EQUITY,X12.HK.EQUITY,X2882.TT.EQUITY,X000166.CH.EQUITY,X823.HK.EQUITY,X001979.CH.EQUITY,X000776.CH.EQUITY,X601229.CH.EQUITY,X2881.TT.EQUITY,X601169.CH.EQUITY,X1997.HK.EQUITY
X601398.CH.EQUITY,0,0,0.183038789059035,0,0.353991951641101,0.0405485508962561,0.0914195906613404,0,0,0,0,0,0,0,0.0377022773208581,0,0,0,0.354001999030255,0,0,0,-0.0493064654851481,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0333118183005925,0,0.0545509487424006,0,0.022347519617081,0.0433728655953735,0,0,0
X601318.CH.EQUITY,0,0,0,0,0,0,0,0.00573846745441453,0.137678770314352,0,0,0.0350533641419609,0.0631578233386035,0,0,0,0,0,0.252178049032191,0,0.0865761805232671,0.179171319712777,0,0,0,0,0,0.0201712231411981,0,0,0.134701800658462,0,0,0,0,0.0400736502187569,0,0,0,0,0,0,0,0,0.194072622985655,0,0,0,0,0
X601939.CH.EQUITY,0.23319323598111,0,0,0,0.176580706436333,0,0,0,0,0,-0.0186154503794699,0.119879664462649,0,0.0621841151459035,0,0,0,0.0662157594504177,0,0.0763858845746208,0,0,0,0,0.252555968394224,0,0.214458788434756,0,0,0,0,0,0,0,0,0,0,0,0,-0.0519747605940469,0,0,0,0,0,0,0,0,0,0
X600036.CH.EQUITY,0,0.116354579973365,0,0,0,0.0628503803219977,0.164726896038703,0.111536255071707,0,0,0,0,0.17398347094084,0.117214226487143,0,0,0,0,0,0,0,0,0,0,0,0.290600916503387,0,0,0,0.00870095036559775,0,0,0,0,0,0,0,0,0,0,0.130523654365408,0,0,0,0,0,0,0,0,0
X601288.CH.EQUITY,0.0727851161459688,0.120964878344337,0.103484743774137,0,0,0.102753884656442,0,0.255901419920339,0,0,0,0,0,-0.0712881715787986,0,0.202377181603043,0.128513155228044,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0550401659672307,0,0,0,0,0,0,0,0.0950272591460156,0,0,0,0,0
X601628.CH.EQUITY,0.0869680903910478,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.136445289717788,-0.0306279177411466,0,0,0,0.207399637187129,0,0,0,-0.0894350329884696,0,-0.0168880326474271,0,-3.46944695195361e-18,0,0.221161027759005,0,0,0.564274306495077,0,0,0,0,0,-0.0343854353122303,0.0664388660873823,0,0,0,0,0,0,0,0
X1299.HK.EQUITY,0,0,0,0,0,0,0,-0.0598743989565741,0,0,0.0934670809039506,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0310552711028529,0,0,0,0,0,0,0,0.0687644386061199,0,0,0.0874213033720235,0,0.249835794089133,0.220065011471547,0.136713664322793,0,0,0,0,0,0,0.303055506286463
X601988.CH.EQUITY,0,0.118099190611527,0.0494960312885066,0.289640960017229,0.182432899383249,0,0,0,0,0,0,0,0,0,0,0,0,0,0.286478839540479,0,0,0,0,0,0,0,0,0.138484834772154,0,0,0.128398231490116,-0.0441871373885724,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
X5.HK.EQUITY,0,0,0,0,0,0.0208050876790358,0,0,0,-5.36907820611389e-06,0,0,0,0,0,0,0,0,0,0,0.0980035457479718,0.0108162699241048,0.101168282044917,0,0,0,0.0557206262121672,0.232627483890224,0,-8.67361737988404e-19,0,0,0,0,0,0,0,0,0.331321723801205,0,0,-1.73472347597681e-18,0,0.174207466062886,0,0,0,0.00241290347070223,0,0
X601166.CH.EQUITY,0,0,0.0761376470981104,0.169972442263315,0,0,0,0,0,0,0,0.0960566752409003,0,0.00244314751359327,0,0,0.0600211490348693,0,0,0,0,0,0,0,0,0.183628411784462,0,0,0.367257502882267,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0229472489023696,0,0,0,-0.0553916430163209,0,0
X388.HK.EQUITY,0,0,0,-0.221426948728537,0,0,0.212327502152065,0,0,0,0,0,0,0,0.0583569043250345,0,0,0,0,-0.0645810232964018,0,0.359500923537325,0,0,0,0,0,0,0,0,0,0.0725785423512654,0,0,0,0,0,0,0,0.375568749686894,-0.0725562880393941,0.0662490420365602,0,0,0,0.0501874516017341,-0.102693970249472,0,0,0.16817161847774
