,X601398.CH.EQUITY,X601939.CH.EQUITY,X601318.CH.EQUITY,X601288.CH.EQUITY,X601988.CH.EQUITY,X600036.CH.EQUITY,X1299.HK.EQUITY,X5.HK.EQUITY,X601628.CH.EQUITY,X601658.CH.Equity,X601328.CH.EQUITY,X601166.CH.EQUITY,X388.HK.EQUITY,X600000.CH.EQUITY,X000002.CH.EQUITY,X600030.CH.EQUITY,X16.HK.EQUITY,X000001.CH.EQUITY,X688.HK.EQUITY,X600016.CH.EQUITY,X601319.CH.EQUITY,X601601.CH.EQUITY,X2388.HK.EQUITY,X11.HK.EQUITY,X601998.CH.EQUITY,X601066.CH.EQUITY,X1109.HK.EQUITY,X2007.HK.EQUITY,X267.HK.EQUITY,X601818.CH.EQUITY,X600048.CH.EQUITY,X1113.HK.EQUITY,X002142.CH.EQUITY,X601688.CH.EQUITY,X601211.CH.EQUITY,X12.HK.EQUITY,X001979.CH.EQUITY,X823.HK.EQUITY,X2882.TT.EQUITY,X600837.CH.EQUITY,X601336.CH.EQUITY,X300059.CH.EQUITY,X601229.CH.EQUITY,X000166.CH.EQUITY,X600999.CH.EQUITY,X2881.TT.EQUITY,X601169.CH.EQUITY,X2886.TT.EQUITY,X600015.CH.EQUITY,X000776.CH.EQUITY
X601398.CH.EQUITY,0,0.482629344771414,0.154761623712877,8.67361737988404e-19,0,0,0,0,0.0914261564545049,-0.0924497176304995,0.109898645773032,-1.38777878078145e-17,0,0,0,0,0,0,0,0,0,8.67361737988404e-19,0,-0.0566004306752604,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0942677259314368,0,0,0,0,0,0,0,0.0365059222624044,0,0,0.0195070071396693,0
X601939.CH.EQUITY,0.307425910711164,0,0,0.294193769504923,0,0,0,0,-0.103355164167694,0,0,0,0,0.246632906540517,-0.108315001668565,0,0,0,0,0,0,-1.0842021724855e-19,0,0,0.149181952652309,-0.00427645160964152,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0755367077639565,0,0,0,0.141815362848635,0
X601318.CH.EQUITY,0,0,0,0,0.214937257617206,0,0,0,0,0,0,0,0,0,0.0306320295441872,0,0,0,0,0,0,0.18563015233329,0,0,0,0,0,0,0,0,0,0,0,-3.46944695195361e-18,0,0,0,0.260105584053946,0,0,0,0,0.220642153396673,0,0,0,0,0,0,0.105108921114502
X601288.CH.EQUITY,0.350502268478145,0,0,0,0.244878066158933,0,0,0,0,0,0,0,0,0.144340419760971,0,0,0,0,0,0.0720162559880802,0,0,0,0,0,0,0,0,0,0,0,0,0,0.12334494373781,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00242775475905341
X601988.CH.EQUITY,0,0,0.0583803125460107,0.562267346859133,0,0,0,0,0,0.233353479194533,0,0,0,0,0,0.298896253993052,0,0.0476280115796309,0,0,0.0190541019550139,0,0,0,0,0,0.0682054803261513,0,0,0,0,0,0,0,0,0,-0.556523052698304,0,0,0,0,0,0,0,0,0,-0.0974171904502002,0,0,0
X600036.CH.EQUITY,0,0,0,0,0,0,0,0.0081431697343337,0,0,0,0.388292458653524,0,0,0,0,0,0.0876751759540191,0,8.67361737988404e-19,0,0,0,0.00733564703975734,0,0,0,0,0,0.11813030564726,0.0614191865654678,0,0.0696959260811907,0,0,0,0,0,0,0,0.149848755439473,0,0,0,0,0.0717142517473398,0,0.0245146210879013,0,0
X1299.HK.EQUITY,0.091099470509926,0,0,0,0,0,0,0,0.191391802489896,0,0,0,0,0.0784306743557618,0,0,0,0,0,0,0,0,0.00879128338741251,0,0,0,0,0.260354965116676,0,0,0,0.0385052271340762,0,0,0,0.126868710058838,0,0,0,0,0,0,0.0104670115914518,0,0.0237229002997231,0.0840879246094799,0,0,0,0
X5.HK.EQUITY,0,0,0,0,0,0,0,0,0,1.0842021724855e-19,0,0,0,0,-0.121427901830378,0,0,-0.108993000793359,0,0,0,0,-0.0692023741545477,0.2449062604318,0,0,0,0,0.659370553526054,0,0,0,0,0,0,0,0,0,0.327396552262121,0,0,0,0,0,-0.159862812305224,0,0,0,0,0
X601628.CH.EQUITY,0.0900197575290389,0,0.13932414682544,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0438731783415836,0.156328719055289,0,0,0,0,0,0.0616973260678197,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0588084083669719,0,0,0,0,0.286738961776831,0,0
X601658.CH.Equity,0,0,0,0.180057608797026,0.0807252701300363,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.29584621260312,0,0,0,0,0,0,0,0,0,0,0.147394295839954,0,0,0,0,0,0,0,0,0,0.320959974503873,0
