,X601398.CH.EQUITY,X601318.CH.EQUITY,X601939.CH.EQUITY,X601288.CH.EQUITY,X5.HK.EQUITY,X601988.CH.EQUITY,X600036.CH.EQUITY,X1299.HK.EQUITY,X601628.CH.EQUITY,X601328.CH.EQUITY,X601166.CH.EQUITY,X600000.CH.EQUITY,X601319.CH.EQUITY,X601601.CH.EQUITY,X16.HK.EQUITY,X000002.CH.EQUITY,X11.HK.EQUITY,X388.HK.EQUITY,X2388.HK.EQUITY,X600030.CH.EQUITY,X000001.CH.EQUITY,X688.HK.EQUITY,X600016.CH.EQUITY,X601998.CH.EQUITY,X267.HK.EQUITY,X1109.HK.EQUITY,X2007.HK.EQUITY,X601818.CH.EQUITY,X1113.HK.EQUITY,X823.HK.EQUITY,X12.HK.EQUITY,X600048.CH.EQUITY,X601688.CH.EQUITY,X001979.CH.EQUITY,X601211.CH.EQUITY,X601336.CH.EQUITY,X600837.CH.EQUITY,X601229.CH.EQUITY,X1997.HK.EQUITY,X002142.CH.EQUITY,X601066.CH.EQUITY,X000166.CH.EQUITY,X2882.TT.EQUITY,X600015.CH.EQUITY,X601169.CH.EQUITY,X002736.CH.EQUITY,X600999.CH.EQUITY,X300059.CH.EQUITY,X2881.TT.EQUITY
X601398.CH.EQUITY,0,0,0,0,0,0,0,0,0,0,0,-0.279065325606484,0.0524818806028229,0.0798633363289641,0,0,0,0,0,0,0,0,0,0,0.156887449245974,0,0,-0.115651900714601,0,-0.244388024772384,0,0,0,-0.336396491221095,0,0.117070109589867,0,0.774439330771639,-0.000521032665038862,0,-0.0805554697633881,0,0.197036426323637,0,0,0,0,0,0
X601318.CH.EQUITY,0,0,0,0,0,0,0.100000346060604,0,0.18484585653702,0.00995406600135639,0,0,0,0.0752667885578301,0,0.0778618114111058,0,0,0.0981396058917366,0,0,0.0936207866206024,0,0,0.0343593266605974,0,0,0,1.0842021724855e-19,0,0,0,0,0,0,0,0,0.1879454894964,0.0034167524030038,0.179997759178539,0,0,0.0327980473863884,0,0,0,0,0,0
X601939.CH.EQUITY,0.152310557126797,0,0,0,0,0,0,0,0,0.250174084346256,0,0,0,0,0,0,0,0.127141804458688,0,0,0,0,0,0,0,0,0,0,0,0.1130556502753,0,0,0,-0.18511289626126,-0.173812166652054,0,0,0.133112256883595,0,0.481072961274633,3.46944695195361e-18,0,0,0,0,0.0882029699754961,0,0,0
X601288.CH.EQUITY,0,0,0,0,0,0,0,-0.635475960481332,0.306179170335079,0.102008347011512,0.497462601852769,0,0,0,0.218383823942206,0.222450399065777,0,0,0,0,0,0,0,0,-0.340821410414462,0,0,0,0,0,0,0.0777171115513899,-0.709933683350683,0,0,0,0,0,0,-0.370739557624434,0,0.331872676914933,0,0,0,0,0.332875454392649,0,0
X5.HK.EQUITY,-0.0768121442801293,-0.113071211076314,0,0,0,0,0,0,0,0,0,0,0,0,0,0.592059018861127,0,0,0.434297236351465,0,-0.0235066452933398,0,0,0.145380233307462,-2.16840434497101e-19,0,0,0,0,0,0,-0.0439982772968283,0,-0.0340755445034357,0.0273671303069755,0,0,0,-0.161813295710919,0,0,0,0.0631610137362831,0,0,0,0,-0.131710637057918,0
X601988.CH.EQUITY,-0.281493558475932,0,0,0,0.347899791323299,0,0,0,0,0,0,0,0,0,0,0,0,0.179224187901935,0,0,0.65420158969474,-0.0183850345230918,0,0,-0.0349624104614398,0,0,0,0,-0.480990380110225,0,0,0,0,0,0,0,0,0.0802830814136788,0,0,0,0,0,0,0.105091343415643,0,0,0
X600036.CH.EQUITY,0,0.476814149248261,-0.0487231364122391,0,0,0.0193780000253729,0,-0.114831213457644,0,0.476392400332564,0,0.109392046299287,0,0,0,0,0,0,0,0,0,-0.0807764786938116,0,0,0.304482889208907,0,0,0.101329247660017,0,0,0,0.0828325243362122,0,-0.285544182430153,0,0,0,0,0,0,0,0.100921237991041,0.118777044242988,0,0,0,0,0,0
X1299.HK.EQUITY,0,0,0,0,0.17411844295014,0,0,0,0.0224701189819912,0,0,-0.164115817790396,0,0,0.0534992409355053,0.0323697000069913,0,0,0.0262027607999251,0,0,0.187497698901398,0,0,0,0.143245966725098,0,0,0.0208318474007714,3.46944695195361e-18,0.189259699900602,0,0,0,0,0,0.0479262679309356,-0.0168064722112126,6.93889390390723e-18,0,0,0,-0.165561896766271,0,0,0,0,0,0
X601628.CH.EQUITY,0,0.134817510987666,0,0.0541239500136409,-0.0038335527228278,0,0,0,0,0,0.118093667349762,0,0,0.410389773662044,0,0,0,0,0,0,0.0368158027140261,0,0,0,0,0,0,-0.0355573708669425,0,0,0,-0.0678325397402823,0,0,0,0,0.169491767925753,0,0,0,0,0,0,0,0,0.135558925344793,0,0,0
X601328.CH.EQUITY,0,0.118150279548063,0.0669082290545311,0.0428932800151238,0,0,0.546123942613029,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.20969828692141,0.249524266045362,0,0,0,0,0,0,0,0,0,0,0,-0.0137626893590333,-0.0371276621684433,0,-0.0332698612971605,0,0,-6.93889390390723e-18,3.46944695195361e-18,-0.361986888914332,0,0,-0.0273485617790075
X601166.CH.EQUITY,0.00852796950124394,0,0.0163645347195311,0.281170002726433,0,0,0,0,0,0,0,0.252878974715056,-0.0119587547932291,0,0,0,0,0,0,0,0.0576780406827864,0.138003746937848,0,0,0.0267043000145414,0,0,0,0.167102184188575,0,0,0.0639126328104849,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
X600000.CH.EQUITY,0,0,0.470214877530054,0,0,0,0.335811839462876,0,0,0,0.215365882280709,0,0,0,0,0,0,-0.134962070419724,0,0,0,0.0872464755415303,0,0,0,0.111871122364383,0,0,0.0408215245437235,0,-0.0426559184661099,0.0147377007377818,0,0,0,0,-0.402536712004648,0.00888284112220844,0,0,0,0,0,0,0,0,0,0,0
X601319.CH.EQUITY,0,0,0,0,0,0,0,0,0,-0.0115846300533567,0,0,0,0.391974198988345,0,0,0,0,-0.0514718399363637,0,0,0,0,0.0562830480634808,0,-0.139471368239692,0,0,0,0,0,0,0,0,0,0.357311721735917,0,0,0,0,0,0.147775541459229,0,0,0,0,0,0,-0.0356965504990448
X601601.CH.EQUITY,0,0,0,0,0,-0.151325818863393,0.0350459056950294,0,0.655869293188923,0,0,0,0,0,0.00793935296395201,0,0,0,0,0,0,0,0,0.0442812959770122,-0.129140936344446,0,0.177780392824676,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0276953003696956,0,0.0299952473370497
X16.HK.EQUITY,0,0,0,0,0,0,-0.011661260723209,0.0226075401366227,0,0,0,0,0,0,0,0,0,0,0,0,-0.139578121936343,0,0,0,0,0.240461618917793,0,0,0.00289387644146561,0.0404383774952817,0.253364546624127,0.239309699881236,0,0,0,-0.0663822448000744,0,0,0.470888409373677,0,0,0.0820514499052179,0.0583703691764243,0,0,0,0,0,0
