,X000001.CH.EQUITY,X002142.CH.EQUITY,X600000.CH.EQUITY,X600015.CH.EQUITY,X600016.CH.EQUITY,X600036.CH.EQUITY,X601009.CH.EQUITY,X601166.CH.EQUITY,X601169.CH.EQUITY,X601229.CH.EQUITY,X601288.CH.EQUITY,X601328.CH.EQUITY,X601398.CH.EQUITY,X601818.CH.EQUITY,X601939.CH.EQUITY,X601988.CH.EQUITY,X601998.CH.EQUITY,X601658.CH.Equity,X11.HK.EQUITY,X2388.HK.EQUITY,X5.HK.EQUITY,X2884.TT.EQUITY,X2886.TT.EQUITY,X2891.TT.EQUITY,X000166.CH.EQUITY,X000776.CH.EQUITY,X002736.CH.EQUITY,X300059.CH.EQUITY,X600030.CH.EQUITY,X600837.CH.EQUITY,X600958.CH.EQUITY,X600999.CH.EQUITY,X601066.CH.EQUITY,X601211.CH.EQUITY,X601236.CH.EQUITY,X601688.CH.EQUITY,X601788.CH.EQUITY,X601881.CH.EQUITY,X600918.CH.Equity,X601696.CH.Equity,X388.HK.EQUITY,X601318.CH.EQUITY,X601319.CH.EQUITY,X601336.CH.EQUITY,X601601.CH.EQUITY,X601628.CH.EQUITY,X1299.HK.EQUITY,X2881.TT.EQUITY,X2882.TT.EQUITY,X267.HK.EQUITY,MKRturn,RealEstateDiff
X000001.CH.EQUITY,0,0,0.0191033721834844,0,0,0.415826795135361,0,0,0,0,0,0,0,0,0,0,0,0,0.0854100771117979,0,0,0,0,0,0,0,0.286855599148986,0,0.143475737093063,0,0,0,0,0,0,0,0,0,0,0,0,0,0.089136749599363,0,0.0178823300858193,0.0181579338514966,0,0,0,0,0,-0.0681933745001382
X002142.CH.EQUITY,0,0,0,0,0.0749209376942087,0.258195391527022,0,0,0,0,0,0,3.46944695195361e-18,0.0955887258794205,0,0,0,0,0,0,0,0,0.305297505545962,0.0841772454464091,-0.141824988523004,0,0,0,0,0,0,0,0,0,0,0,0.146303439267416,0,0,0,0.0620087626167896,0,0,0.458022568023821,0,0,-0.23360073996322,0,0,0,0,0
X600000.CH.EQUITY,0,0,0,0.288423265388832,0,0.0879797562898366,0,0,0,0,0,0.067906703031758,0,0,0,0,0.378392479772464,0,0,0.206890558492187,0,0,0,0,0,0,0,0.0795336722499407,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.117997576354915,0,0,0,0,0,0,0,0
X600015.CH.EQUITY,0,0,0,0,0,0,0.514271496527781,0,0,0,1.38777878078145e-17,0.0535016123175404,0,0,0,0,0.220568065482805,0,0,-0.0278586197248785,0,0,0.18792483475147,0,0,0,0,0,0,0,0,0,-0.124972251808183,0,0,0,0,-1.0842021724855e-19,0,0,0.042103870153778,0,0,0.01063839515608,0,0,0,0,0.02844989802533,0,-0.043671223292465,-0.0615568476432204
X600016.CH.EQUITY,0,0.211760011087059,0,0,0,0,0,0,0,0,-3.46944695195361e-18,0,0,0,0,0,0,0,0,0.089840591106564,0,0,-0.0414589092622598,0.722255253316164,0,0,0,0,0,0,0,0.0247968198774746,0,0,0,0,0,0,0.0409898433628858,0.009795231781391,0,0,0,0,0,0,0,-0.250823737921474,0,0,0,-0.0264253542016235
X600036.CH.EQUITY,0.010582325070119,0.091125518899455,0.131065358309066,0,0,0,0,0,0,0,0.375332808807161,0,0,0,0,0,0,0,0,0.0859053953575318,0.0405854072553072,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0270394470350684,0,0,0,0,0.0200942823644808,0.0479547619258842,0,0.0175342747879089,0,0
X601009.CH.EQUITY,0,0,0,0.810079005659228,0,0.0773546802564116,0,-0.105005778367045,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.064193867942722,0,0,0,0,0.0774048353590414,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.169948583796286,0,0,0.113522920782637,0,0,0.0581920218090266,-0.00637897529569244,-0.0158517385737743,0,0,0
X601166.CH.EQUITY,0,0,0.061723483877971,0,0.0917692082510613,0.111273238393397,0,0,0.197595629382901,0,0,0,0,0,0,0.383759879331502,0.0452092946482245,0.0502043255774237,0,0,0,0.0197553975694371,0,0,0,0,0,0,0,0,0,4.33680868994202e-19,0,0,0,0,0,0.031531692079481,-0.0307539574997153,0.0170383617629578,0,0,0,0.0877264687618959,0,0,0.0403561596716535,0,0,0,0,0
X601169.CH.EQUITY,0,-0.0520609452143188,0,0,0,0,0,0,0,0,0,0,0,0,0,0.760358653453089,0.119982034835766,0,0,0,0,0,0,0,0,0.00827308907744996,0.0438489900297814,0.0490661984341061,0,0,0,-0.0244274238464382,0,0,-1.73472347597681e-18,-8.67361737988404e-19,0,0,0,0.00306363559453961,0,0,0,0,0,0,0.0704062841684703,0,0,0,0,-0.0228998176484006
X601229.CH.EQUITY,0,0,0,0,0,0,0,0,0,0,0,0,0.830970408401898,0,8.67361737988404e-19,0,0,0,0,6.93889390390723e-18,0.345982388843719,-0.0515839520983213,0,0,0,0,0,0,0,0,0,0,0,0,0,0.236724827456051,0,0,-0.139681642024644,0,-0.0502680028189721,0,0,0,0,-0.0307219315000449,0,0,-0.088404403716098,-0.137369634210112,0.0980415399005451,0.136186429483216
X601288.CH.EQUITY,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.828557971090103,0,0,0,0,0.054830971461218,0,0,0,0,0.0882317550581549,0,0,0.0317052927464751,0,0,0,0,-0.00779888906362309,0,-0.00136256087505997,0,0,0.0630820232036384,0.0552044675406844,-0.204279768280593,0,0,0.0129555725154635,0,0,-0.0162231944960534,0,0,0,0,-0.0307284111332555,0
