,X000001.CH.EQUITY,X002142.CH.EQUITY,X600000.CH.EQUITY,X600015.CH.EQUITY,X600016.CH.EQUITY,X600036.CH.EQUITY,X600919.CH.EQUITY,X600926.CH.EQUITY,X601009.CH.EQUITY,X601166.CH.EQUITY,X601169.CH.EQUITY,X601229.CH.EQUITY,X601288.CH.EQUITY,X601328.CH.EQUITY,X601398.CH.EQUITY,X601577.CH.EQUITY,X601818.CH.EQUITY,X601838.CH.EQUITY,X601939.CH.EQUITY,X601988.CH.EQUITY,X601997.CH.EQUITY,X601998.CH.EQUITY,X601658.CH.Equity,X601916.CH.Equity,X601077.CH.Equity,X2801.TT.EQUITY,X2880.TT.EQUITY,X2884.TT.EQUITY,X2886.TT.EQUITY,X2891.TT.EQUITY,X2892.TT.EQUITY,X5880.TT.EQUITY,X000166.CH.EQUITY,X000776.CH.EQUITY,X600030.CH.EQUITY,X600837.CH.EQUITY,X600999.CH.EQUITY,X601211.CH.EQUITY,X601688.CH.EQUITY,X601881.CH.EQUITY,X2885.TT.EQUITY,X601318.CH.EQUITY,X601319.CH.EQUITY,X601336.CH.EQUITY,X601601.CH.EQUITY,X601628.CH.EQUITY,X2881.TT.EQUITY,X2882.TT.EQUITY,X2883.TT.EQUITY,X2888.TT.EQUITY,MKRturn,RealEstateDiff
X000001.CH.EQUITY,0,0.0176117970100737,0,0,-0.153050875889248,0,0.10852465469034,0.0047221935084126,0,0.50458018065279,0,0,-0.0517773096665446,0,0,-6.93889390390723e-18,0,-0.0162333615926045,0,0,0,0,0,0,0,0.049765029011271,0,0.00881815263057348,0,0,0,0,0,0,0,0,0.224065908902719,0,0,0,0,0,0,0.181669946796719,0,0,0,0,0,0.0475293836439417,0,0
X002142.CH.EQUITY,0.119368496541143,0,0,0,0,0.244954431845732,0,0,0,0,0,0,0,0.211274151638756,0.271363644001766,0,0,-0.0812099863529581,0,0,0,0,0.0323648446318833,0,0,0,0,0.112854991008173,0,0,0,0,-0.0860272608647492,-0.17887440974307,0,0,0,0,0,0,0,0,0,0,0.043656995878181,0,0,0,0,0,0.0956330010464275,0
X600000.CH.EQUITY,0.0253392184569881,0.182835993880598,0,0,0,0.148408921777943,0,0.0794178542917585,0.106845361506086,0,0,0.144044392650536,0,0.00154866383304813,0,0,0,0,0,0,0,0.0227569995380734,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.278757614560523,0,0,0,0,0,0,0,0,0,0.0260310617936036
X600015.CH.EQUITY,0,0,0.153591432692676,0,0,0,0.0246136397934565,0,0,0,0,0,0,0.222756778532444,0,0.171598544804783,0,0,0,0,0,0.00696360474831284,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.156264751290858,0,0,0,0,0,0.00346469908949853,0,0
X600016.CH.EQUITY,0,0,0,0,0,0,0.197033381309553,0,0,0,0,0,0,0,0.103898647315076,0,0,0,0.279061864580507,0,0,0,0,0.340562164262525,0,-0.135961292281282,0,0,-0.160588271344109,0,0.0672360244364088,0,0,0,0,0,0,0,0,0,-0.0866319514917017,-0.340982404512299,0,0,0.341136950676935,0,-0.12763824814505,0,0,0,-0.0431098307479739,-0.074375040312633
X600036.CH.EQUITY,0,0,0,0,0,0,0,0,0,0.4241571552656,-0.0913976452726793,0,0,0,0,0,0,0,0.41025128130401,0,0,0,0,0,0,0,0.0862549832187872,0,0,0,0,0,0,0.231061191658405,0,0,0,0,0,0,0,0.123717083192903,0,0,0,0,0,0,0,0.0144518175702454,0.0497230647693811,0
X600919.CH.EQUITY,0.240569284958161,0.214710405103966,0,0,0,0,0,0.228667301492147,0,0,0,-1.73472347597681e-18,0,0.402292601873179,0,0,0.02328117933844,0,0,0.10750302239598,0,0,0,0,0.0810525656157205,0.157896702786517,0,0,0,0,0,-0.115215546289142,0,0,0,0,0,0,0,-0.189171191358417,0,0,0,0,0,0,0,-6.93889390390723e-18,0,0,0,0
X600926.CH.EQUITY,0,0.220207523391166,0,0,0,0.00910388219117369,0.304445869604926,0,-2.16840434497101e-19,0.0281468543500965,0,0,0,0,0,0,0,0,0,0,0,0,0.248632751956733,0,0,0,0,0,0,0,0.0828176571283613,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0234029189527809,0,0,0,0,0.0190697193987391
X601009.CH.EQUITY,0,0.206046646094171,0,0,-0.242497452913511,-0.55720688170167,0,0.267913110616165,0,0,0,0,0,0.210081181188023,0,0.279570985749052,0,0,0,0,0,0,0,0.278154294191671,0,0,0,0,0,0.338652231873875,0,-0.114117344276551,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0570518489492527,0,0.250383031892171,0,0,0.0721212572314613,-0.169438914805819
X601166.CH.EQUITY,0.431220239546514,0,0,0,0,0,0,0,0.364040206235494,0,0,0,0,0,0,0,0,0.111016341503956,0,0.128195212803565,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.235456514919963,0,0,0,-0.183550114849509,0,0,0,-0.105375428111138,-0.0133978793364631
