,X000001.CH.EQUITY,X002142.CH.EQUITY,X002958.CH.EQUITY,X600000.CH.EQUITY,X600015.CH.EQUITY,X600016.CH.EQUITY,X600036.CH.EQUITY,X600919.CH.EQUITY,X600926.CH.EQUITY,X600928.CH.EQUITY,X601009.CH.EQUITY,X601166.CH.EQUITY,X601169.CH.EQUITY,X601229.CH.EQUITY,X601288.CH.EQUITY,X601328.CH.EQUITY,X601398.CH.EQUITY,X601577.CH.EQUITY,X601818.CH.EQUITY,X601838.CH.EQUITY,X601939.CH.EQUITY,X601988.CH.EQUITY,X601997.CH.EQUITY,X601998.CH.EQUITY,X601658.CH.Equity,X601916.CH.Equity,X601077.CH.Equity,X11.HK.EQUITY,X2388.HK.EQUITY,X5.HK.EQUITY,X000166.CH.EQUITY,X000776.CH.EQUITY,X002736.CH.EQUITY,X300059.CH.EQUITY,X600030.CH.EQUITY,X600837.CH.EQUITY,X600958.CH.EQUITY,X600999.CH.EQUITY,X601066.CH.EQUITY,X601211.CH.EQUITY,X601688.CH.EQUITY,X601881.CH.EQUITY,X000627.CH.EQUITY,X601318.CH.EQUITY,X601319.CH.EQUITY,X601336.CH.EQUITY,X601601.CH.EQUITY,X601628.CH.EQUITY,X1299.HK.EQUITY,X267.HK.EQUITY,MKRturn,RealEstateDiff
X000001.CH.EQUITY,0,0,0,0,0,-1.73472347597681e-18,0.0664602661731936,0,0,0,0,0.543424933857758,0,0,0,0,0,0,0.140379633384413,0,0.162156413261753,0,0,0,0,0,0,0.0302629138439442,0,0,0.158636027417409,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.11698656260462,0
X002142.CH.EQUITY,0,0,0,0,0.173338477234012,0,0.314457243762492,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.152158722119214,0,0,0,-0.0386570656018385,0,0,0,0,0,0,0,0.0792066367660296,0,0,0,-0.00795554760064709,0,-0.0215121023440472,-0.0457692380568058
X002958.CH.EQUITY,0.0106840328691361,0,0,0,0,0,0,0,0,0.0332448581911815,0.108170804121599,1.73472347597681e-18,0,0,0,0,0,0,0,0,0,0.0840224040675699,0.0435221476315207,0,0,0.391838333773717,0.275115129559008,0.0585343050231766,0,0,0,0,0.129833669076765,-0.110951593106551,0,0,0.0796201919061432,0,0,0,0,0,0,0,0,0,0,0,0,-0.0447395278002762,0,0
X600000.CH.EQUITY,0,0,0,0,0,0.476449298162406,0.298144182519244,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0720225019816361,0,0,0,0,0,-0.0750572571839901,0,0.223427679693481,0,0,0,0,0,0,0.0932602378121153,0,0,0,0,-0.0591618824506502,0.0854242194999791,0,0,0
X600015.CH.EQUITY,0,0,0,0.0964100128075041,0,0,0,0,0,0,0,0,0,0,0.121776920565467,0.251282134726418,0,0,0,0,0,0.176132288061171,0,0,0,0,0,0,0,0,0.10699970812893,0,0,0,0,0,0,0.0317772721720421,0,0,0,0,0.141946220757482,0.028664643426714,0,0,0,0,0,0,0,0
X600016.CH.EQUITY,0,0.0367693110742651,0,0.0142752978294034,0.260413843134028,0,0,0,0,0,0,0,0,0,0.0641357007203165,0,0,0,0.217681174916792,0,0,0.217959213739984,0,0,0,0,0,0,0,0,0,0,0.259534851974311,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
X600036.CH.EQUITY,0.146419048814533,0.0888219900244694,0,0.418850393183252,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.275551630240691,0,-0.106870399225734,0,0,0,0,0.390381626871495,0,0.113450331311042,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0197665853925656,0.0318483163685386,0,0
X600919.CH.EQUITY,0,0,0,0,0,0,0,0,0,0,0.46227248296162,0,0,0,0,0.020590793619635,0,-6.93889390390723e-18,0,0,0,0,0,0,0.128985653773985,0,0,0,0,0,0.24581475398396,0,0,0.0363470537253204,0.0627141123167853,0,0,0,0,0,0.0416891640422345,0,0,0,0,0,0,0,0,0.0223888747719854,0,0
X600926.CH.EQUITY,0,0,0,0,0,0,0.110882931041816,0,0,0,0.215605025225635,0,0,0,0.0524336472857674,0,0,0,0,0.366710214478667,0,0,0,0,-0.229175476199665,0,0,0.20781231012704,0,0,0,0,0.215253129015543,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0788651679798237
X600928.CH.EQUITY,0,0,0.238648671217948,0,0,0,0,0,0.10045657058381,0,0,0.10200418937201,0,0,0,0,0,0,0,0,0,0,3.46944695195361e-18,0,0,0.313378777620854,0,0,0,0,0.0137711460125957,0,0,0,0,0,0.104759521917777,0,0,0,0,0,0.14161816693219,0,0,0,0,0,0,0,-0.101400090792553,-0.00969208970185626
