,X000001.CH.EQUITY,X002142.CH.EQUITY,X600000.CH.EQUITY,X600015.CH.EQUITY,X600016.CH.EQUITY,X600036.CH.EQUITY,X600919.CH.EQUITY,X601009.CH.EQUITY,X601166.CH.EQUITY,X601169.CH.EQUITY,X601229.CH.EQUITY,X601288.CH.EQUITY,X601328.CH.EQUITY,X601398.CH.EQUITY,X601818.CH.EQUITY,X601939.CH.EQUITY,X601988.CH.EQUITY,X601998.CH.EQUITY,X601916.CH.Equity,X601077.CH.Equity,X11.HK.EQUITY,X2388.HK.EQUITY,X5.HK.EQUITY,X2884.TT.EQUITY,X2886.TT.EQUITY,X2891.TT.EQUITY,X2892.TT.EQUITY,X5880.TT.EQUITY,X000166.CH.EQUITY,X000776.CH.EQUITY,X002736.CH.EQUITY,X300059.CH.EQUITY,X600030.CH.EQUITY,X600837.CH.EQUITY,X600999.CH.EQUITY,X601066.CH.EQUITY,X601211.CH.EQUITY,X601688.CH.EQUITY,X601881.CH.EQUITY,X388.HK.EQUITY,X601318.CH.EQUITY,X601319.CH.EQUITY,X601336.CH.EQUITY,X601601.CH.EQUITY,X601628.CH.EQUITY,X1299.HK.EQUITY,X2881.TT.EQUITY,X2882.TT.EQUITY,X267.HK.EQUITY,MKRturn,RealEstateDiff
X000001.CH.EQUITY,0,0.223585825597362,0,0.178374847055942,0,0,0,0,0,0,0.126485257486935,0,0,0,0,0,0,0,0,0.169249899237995,0,-0.123525545413976,0,0,6.93889390390723e-18,0.194358864161658,0.107996700833639,0,0,0,0,0,0,0.14015076728319,0.21613789480519,0,0,-0.240801211979673,0.048888990051822,0,0,0,0,0,-0.0318304992572491,0,-0.164047552328996,0,0,-0.038896732562086,-0.171236429863765
X002142.CH.EQUITY,0.225021869639461,0,0,0,0,0.138705358148067,0,0,0.0214229652257561,0,0,0,0,0,0,0,0,0,-0.126138905970265,0,0,0,0,0,0,0,-0.106676911147253,0,0,0,0,0.185902419402819,0,0,0,0,0,0,0,0,0.15671490272827,0,0.0717701129982402,0,0,0,0,0,0,-0.0925306048179718,-0.134631590161486
X600000.CH.EQUITY,0,0,0,0,0.0485434123377638,0.118480558830965,0,0,0,0,0,0,0.425850643229294,0,0.18110276315999,0,0,0.0014358115068122,0,0.102614263705095,0,0,0.0236485009545501,0,0,0.256366006759369,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0221439731512381,0,-0.0633671110965156,0.011949905635479,0,0,0,0.0583751297327969
X600015.CH.EQUITY,0,0,0,0,3.46944695195361e-18,0,0,0,0,0.262169486289955,0.00928980829873534,0,0,0,0.382942379180679,0,0,0.0140368686645568,0.0104560117121192,0,0,4.33680868994202e-19,0,0,0,0,0,0,0,0,0,0,0.0694083969146558,0,0.103728627224027,0,0,0,0,0,0,0,0.0528602507970221,0,0,0,0.0704389362993373,0,0,0,0
X600016.CH.EQUITY,0,0.0174614043350236,0,0,0,0,0,0,0,0,0.178230291244705,0,0.338744591677298,0,0,0,0,0,0,0,0,0,0,0,0,0.0677615221189973,0,0,0.128208192863185,0,0,0,0,-6.93889390390723e-18,0.313831115532471,0,0,0,0.0828879412127391,-0.030402159320887,0,0,0,0,0,0,0,0,0,0,0
X600036.CH.EQUITY,0.101471747100611,0.197646514458765,0.157360528296148,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.106287663488223,0,0,0,0,0,0.111108278426365,0,0.035815588238266,0.248142204626826,0,0,0,0.0393343044610356,0,0.0457510991352987,0
X600919.CH.EQUITY,0,0,0,0,0,0,0,0,0,0.30554793310932,0.0183695643262656,0,0,-4.33680868994202e-19,0,0.18760910200874,0,0.0555890620602034,0,0,0,0,0,0,0,0,0,0,0.0112643378707212,0,0,0,0,0,0,0,0,0,0,0,0,0.104162698288251,0,0,0.130541762073114,0,0,0,0,0,0
X601009.CH.EQUITY,0.11987327995899,0,0,0.443573259736989,0,0,0.119119617961012,0,0,0,0.0585379402430693,0.0529769646103452,0,0.0729836274697817,0,0,0,0,0,0,0.122703954149885,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0156805243499689,0,0,0,-0.166090123189332
X601166.CH.EQUITY,0.0427552214387528,0.20060973784979,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.293150981524646,0,0,0,0,0,0,0,0,0,0,0,0,0,0.245377234044404,0,0,0,0,0,0,0,0.0581041319749411,0,0,0,0.187559186503259,0.472720889570502,0,0,0,0,0,0,0
X601169.CH.EQUITY,-0.0232015841007373,0.0708476221670763,0.207058085064063,0.45278289699626,0,0,0,0,0,0,0,0,0.263190476758342,-0.0287477286314538,0.0623513438656839,0,0,0,0,0,0,0,0,0,0,0,-0.087865459294606,0,0,0,0,0,0,0,0,0,0,0.00607786531050047,0,0,0.0918923165341894,0,0,0,0,0,0,0,0.0759832290653194,0,0
