,X000001.CH.EQUITY,X002142.CH.EQUITY,X600000.CH.EQUITY,X600015.CH.EQUITY,X600016.CH.EQUITY,X600036.CH.EQUITY,X601009.CH.EQUITY,X601166.CH.EQUITY,X601169.CH.EQUITY,X601229.CH.EQUITY,X601288.CH.EQUITY,X601328.CH.EQUITY,X601398.CH.EQUITY,X601818.CH.EQUITY,X601939.CH.EQUITY,X601988.CH.EQUITY,X601998.CH.EQUITY,X601658.CH.Equity,X601916.CH.Equity,X11.HK.EQUITY,X2388.HK.EQUITY,X5.HK.EQUITY,X2884.TT.EQUITY,X2886.TT.EQUITY,X2891.TT.EQUITY,X2892.TT.EQUITY,X000166.CH.EQUITY,X000776.CH.EQUITY,X002736.CH.EQUITY,X300059.CH.EQUITY,X600030.CH.EQUITY,X600837.CH.EQUITY,X600999.CH.EQUITY,X601066.CH.EQUITY,X601211.CH.EQUITY,X601236.CH.EQUITY,X601688.CH.EQUITY,X601788.CH.EQUITY,X601881.CH.EQUITY,X600918.CH.Equity,X388.HK.EQUITY,X601318.CH.EQUITY,X601319.CH.EQUITY,X601336.CH.EQUITY,X601601.CH.EQUITY,X601628.CH.EQUITY,X1299.HK.EQUITY,X2881.TT.EQUITY,X2882.TT.EQUITY,X267.HK.EQUITY,MKRturn,RealEstateDiff
X000001.CH.EQUITY,0,0.198687673203847,0,0,0,0.0173589391015666,0,0,0,0,0,0,0,0,0,0.0672015344408627,0.145185905625353,0,0,0,0,0.0409310415762464,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.206185926019782,0,0.0517039801044043,0.191241452184506,0,0.0348961480802348,0,0,0,0.112231603535812,0
X002142.CH.EQUITY,0.108963050992496,0,0,0,0,0.895896690891328,-0.116384340961823,0,0,0.118396241104997,0,-0.355407218383949,0,0,0,0,0.073823772673945,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0218952900763695,0,0,0,0,0,0,-0.0342025685415387,0.19066288455454,6.93889390390723e-18,0,0,0,0,0,-0.0109910468314185,0,0,0,0
X600000.CH.EQUITY,0,0,0,0,0.0617066874332556,0,0,0.299540816611718,0.142103615292684,0,0.207087275665865,0,0,0,0,0.028242585226398,0,0,0,0,0,0.0806210434671576,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
X600015.CH.EQUITY,0,0,0,0,0,0,0.398713043528974,0,0,0,0.0807160273417671,0,0,0,0.0413592695042855,0,0,0,0,0,0,0.0544288298496083,0,0.356553734294774,0,0,0,0,0,0,0,0,0,-0.208934894599075,0,0,0,-0.224247039523506,0,0,0,0,0,0,0,0,0,0,0,0.205173295574132,-0.0624786865504643,0
X600016.CH.EQUITY,0,0,0,0,0,0,0,0,0.196520082243369,0.0439210000145651,0.556075995567781,0,0,0,0,0.119419497568561,0.0791063645500325,0,0,0.0330993493567755,0,0,0,0,0,0,0.0800008398627514,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0820746226277248,0,0,0,0,0,0,0,0,0,0,0.0695875856508325
X600036.CH.EQUITY,0.0513397385655041,0.256599097751969,0,0,0,0,0,0.230034891617049,0,0,0,0,0,0,0.110554784879967,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0144076153539851,0,0,0,0,0.0560256023293757,0.237824165574915,0.0882095516018654,0,0,0,0,0
X601009.CH.EQUITY,0,0,0,0.737677313835317,0,0,0,0,0,0.129198773426575,0,0,0,0,0,0,-0.0106319301600526,0.0690557944432513,0,0,0,0,0,0,0,0,-0.030421101432669,0,0,0,0,0,0,-0.0191152673310296,0,0,0,0,2.16840434497101e-19,0,-0.0304962415471039,0,0,0,0,0,0,0,0,-0.0922324439779608,0,-0.0207161353988691
X601166.CH.EQUITY,0.123441629086281,0.0124728551392659,0.454191725743199,0,0,0,0,0,0,0,0,0,0,0,0.177070817810911,0.0195460566351457,0,0.0211898729036742,0,-0.00157871896975948,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0108857733247259,0,0,0,0.00149341679009964,0,0,0,0,0,0,0,0
X601169.CH.EQUITY,0,0.188130839756592,0.156764470539049,0.610045760580451,0.0901235029545277,0,0,0,0,-0.131781331271263,0,0,0,0,1.73472347597681e-18,0,0,0,0.0681126380804689,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0258108269242719,0,0,0,0,0,0,0,0,0,0,0,8.67361737988404e-19,0,0,0,0,0
X601229.CH.EQUITY,-0.131815435929639,0.440264353322012,0.246546527089967,0,0.133384292438777,0,0,0,0,0,0,-0.0734464478424298,0,0,0,0,0,0,0,0,0,-0.155425119056769,0,0,0,0.036611037139788,0,0,0,0,0,0,0,0,0,0,0,-0.0581420022487934,0,0,0,0,0.125198684166275,0,0,0,0,0,0,-0.224048124705811,0.164369152109611,0.132801610672919
