,X000001.CH.EQUITY,X002142.CH.EQUITY,X600000.CH.EQUITY,X600015.CH.EQUITY,X600016.CH.EQUITY,X600036.CH.EQUITY,X600919.CH.EQUITY,X601009.CH.EQUITY,X601166.CH.EQUITY,X601169.CH.EQUITY,X601229.CH.EQUITY,X601288.CH.EQUITY,X601328.CH.EQUITY,X601398.CH.EQUITY,X601818.CH.EQUITY,X601939.CH.EQUITY,X601988.CH.EQUITY,X601998.CH.EQUITY,X601658.CH.Equity,X601916.CH.Equity,X11.HK.EQUITY,X2388.HK.EQUITY,X5.HK.EQUITY,X2884.TT.EQUITY,X2886.TT.EQUITY,X2891.TT.EQUITY,X000166.CH.EQUITY,X000776.CH.EQUITY,X002736.CH.EQUITY,X300059.CH.EQUITY,X600030.CH.EQUITY,X600837.CH.EQUITY,X600958.CH.EQUITY,X600999.CH.EQUITY,X601066.CH.EQUITY,X601211.CH.EQUITY,X601236.CH.EQUITY,X601688.CH.EQUITY,X601881.CH.EQUITY,X601696.CH.Equity,X388.HK.EQUITY,X601318.CH.EQUITY,X601319.CH.EQUITY,X601336.CH.EQUITY,X601601.CH.EQUITY,X601628.CH.EQUITY,X1299.HK.EQUITY,X2881.TT.EQUITY,X2882.TT.EQUITY,X267.HK.EQUITY,MKRturn,RealEstateDiff
X601818.CH.EQUITY,0,0.0586688578872499,0,0.0121620069165665,0,0,0,0,0.352882281036714,0,0,0,0,0,0,0,0,0.592051949261197,0,0,0,0,0,0,0,0,0,0,0,0,-0.0645998352045011,0,0,0,-0.00342902769551522,0,0,0,0,0.0400054743521844,0,0,0,0,0,0,0,0,0,0,0,0
X601939.CH.EQUITY,0,0,0.472561210002214,0,0,0.0314559696324515,0,0,0,0,0,-3.46944695195361e-18,0,0.445122675945702,0,0,0,0,0.0628590222058181,0,0,0,0,0,0.072598084324148,0,0,0,0,0,0,0,0.0193713856259093,0,-0.0397036938743552,0,0,0,0,0,-0.0868897229173498,0,0,0,0,0,-0.0634339973863288,0,0,0,0,0.00814603900117853
X601988.CH.EQUITY,0.0988248284251836,0.0287095374119564,0,0.118175469446408,0.0311203692457041,0,0,0.0555551796518329,0,0,0,0.241356188654351,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0702598712794635,0,0,0.155556122882489,0,0,0,0,0,0,0,0.154905215113458,0,0,0,0,0,0,0,0.0517583789426386,0,0
X601998.CH.EQUITY,0,0,0.0624634963912505,0.0674254206646973,0.0706442915708691,0,0.5227703387731,0,0,0,0,0,0,0,0.153062562162253,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0657188039945629,0,0.138845676428484,0,0,0,-0.0189011074161056,0,0,0,0.109095354651877,0
X601658.CH.Equity,0,0,0,0,0,0,0,0.163265934581173,0,0,0,0,0,0,0,0,0,0,0,1.10859730947186,0.159046844921798,0,0,0.045047638122641,0,0,0,0,0,0,0,0,0,0,0,0,-0.222720071041498,0,0,0.0630085652883694,0,0,0,0,0,0,0,0,0,0,0,0.249216431604071
X601916.CH.Equity,0,0,-1.38777878078145e-17,0,0.289996857593708,0,0.0710533760603472,0.263220617499959,0,0.235824649627783,0,0,0,0,0,0,0,0,0.142013272406206,0,0,0,0,-0.0243588059812614,0,0,0,0,0,0,0,0,0,0,0,0.0323152795354981,0,0,0,0.0622847685279705,0,0,0,0,0,0,0,0,0,0,0,0
X11.HK.EQUITY,0.130717949330852,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1.38777878078145e-17,0,0.64538267410198,0.328981623723193,0,0,0,0,0,0,0,0,0,0,-0.024680836598446,0,0,-0.161777468682491,0,0,0,0.0606914822107828,0,0,0,0,0,0.0911153231036421,0,0,0,-0.0801841410818297,-0.253835996188564
X2388.HK.EQUITY,0,0,-1.38777878078145e-17,0.0714606524266337,0,-0.189293754043309,0,0,0,0,0.00729745245861404,0,0,0,0,0,0,0,0,0,0.369292416282256,0,0.0348486809758687,0,0,0.184189972187045,0,0,0,0,0,0,0,0,0,0,0,0.126997298409649,0,0,0.304795241692629,0,0,0,0,0,0.0407168729041944,0,0.136265974965633,0,0.052971678268839,0
X5.HK.EQUITY,0,0,0,0,0,0,0,0,0,0,-0.267713732400307,0,0,0,0,0,0,0,0.208369675935588,0,0,0.42779573627294,0,0,-0.302258525685227,0,0,0,0,0,0,0,0,0,0.141093212908565,0,0,0,0.149920961600229,-0.0918681577813125,0,0,0,0,0,0,0.0956131723523821,0,0.458685246142705,0,0.127242514376371,-0.0320844971445528
X2884.TT.EQUITY,0.418479649633083,0.0797963394055714,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.074452551291634,0,-0.071201803343618,0,-0.176320675431685,0,0,0.798694397751301,0,0,0,0,0,-0.0124856498889889,0,0,0,0,0,0,0,0,0.00883928569697426,0,0,0,-0.176707683178644,0,0,0,0.0371166353547658,0,-0.0341167812120833,-0.0241030578483873
X2886.TT.EQUITY,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0899251048445514,0,0,0,0.0148004987511521,0,0,0,0,0.401533053558449,0,0.167963939628466,0,0,0,-0.00571239434778931,0,0,0,0,0,0,0,0,0,-0.0190736856879653,0,0,0,0,-0.0430603764795046,-0.036729267462667,0,0.508544226061962,0,-0.0608995860535703,0,0.0929124133469388
X2891.TT.EQUITY,0,0,0,0.498115898229202,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0807663095881093,0,0,0.0677504032370233,0,0.197043696695239,0.326504856618972,0,0,0,0,0,0,0,0,0,0.0303618557918655,0,0,0,0.0439848058471243,-0.115058978637507,0,0.00539726585094543,0,0,0,0.0514422066296375,0,0.152989994468621,0,0,0.113517906116627,0
X000166.CH.EQUITY,0,0,0.0294369859186637,0,0,0,0,0,0,0,0.0806356582960023,0,0,0,0,0,0,0,0,0,0,0,0.0519144471672342,0,0,0,0,0,0.124587690100141,0,0.0345770666670082,0.322727452893255,0.333309183046831,0.00432941593242053,0,0.0571408322903303,0,0,0,-0.0616964134848357,0,0,0,0,0,0,0,0,0,0,0,0
X000776.CH.EQUITY,0,0,0,0,0,0,0.276809623254366,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0227020363246433,0,0,0,0.0214490869378974,0,0,0,0,0.185674672532602,0.15566307955714,0.240034545345962,0.0740196169511283,0,0.0742005774869938,0,0,0,0,0,8.67361737988404e-19,0,0,0,0,0,0,0,-0.0177963773144366,0
X002736.CH.EQUITY,0,0,0,0,0,0,0,0,0,0,0.120210929670119,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.135254015809586,0,0,0.144165621302033,0,-6.93889390390723e-18,0.188795830215246,0,0.0551945781925315,0,0,0.204575725168486,0,0,0,0,0.0610357491165443,0,0.129698896035622,0,0,0,0,0,0,0
X300059.CH.EQUITY,0,0,0,0,0,0,0,0,0,0,0.0689255415452035,0,0,0,0,0,0,0,0,0,0.101072706500757,0,0.020114939666228,0,0,0,0,0,0,0,0,0,0,0.230358628897144,0.13143008375279,0,0.119069120195531,0.193438139661333,0.12082083651954,-0.140578266560357,0,0,0,0,0,0,0,0,0,0,0,0
X600030.CH.EQUITY,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.24023247348933,0.211689946733149,0,0.00833545658282734,0,0,0,1.73472347597681e-18,0,0.198146249265083,0,0.244284862673009,0,0,0,0,0,0.0265969290851803,0,0,0,0,0,0,0,0
X600837.CH.EQUITY,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0649161628920913,0,0,0.0697215275832785,0.148734365165729,0,0,0.142856859453946,0,0.0208163346153028,0,0,0.0964674108840781,0,0.3565301705703,0,0,-0.0518011570569334,0,0.0650209843897288,0,0,0,0,0,0.158515530694939,0,0,0
