,X000001.CH.EQUITY,X002142.CH.EQUITY,X600000.CH.EQUITY,X600015.CH.EQUITY,X600016.CH.EQUITY,X600036.CH.EQUITY,X600919.CH.EQUITY,X600926.CH.EQUITY,X601009.CH.EQUITY,X601166.CH.EQUITY,X601169.CH.EQUITY,X601229.CH.EQUITY,X601288.CH.EQUITY,X601328.CH.EQUITY,X601398.CH.EQUITY,X601577.CH.EQUITY,X601818.CH.EQUITY,X601838.CH.EQUITY,X601939.CH.EQUITY,X601988.CH.EQUITY,X601997.CH.EQUITY,X601998.CH.EQUITY,X601658.CH.Equity,X601916.CH.Equity,X601077.CH.Equity,X11.HK.EQUITY,X2388.HK.EQUITY,X5.HK.EQUITY,X2880.TT.EQUITY,X2884.TT.EQUITY,X2886.TT.EQUITY,X2891.TT.EQUITY,X2892.TT.EQUITY,X5880.TT.EQUITY,X600030.CH.EQUITY,X600837.CH.EQUITY,X601211.CH.EQUITY,X601688.CH.EQUITY,X2885.TT.EQUITY,X601318.CH.EQUITY,X601319.CH.EQUITY,X601336.CH.EQUITY,X601601.CH.EQUITY,X601628.CH.EQUITY,X1299.HK.EQUITY,X2881.TT.EQUITY,X2882.TT.EQUITY,X2883.TT.EQUITY,X2888.TT.EQUITY,X267.HK.EQUITY,MKRturn,RealEstateDiff
X601398.CH.EQUITY,0,0,0,0,-8.67361737988404e-19,0,0,0,0,2.16840434497101e-19,0,0.274289449687228,0.11150872253648,0,0,0,0,2.16840434497101e-19,0.416761852894828,0,0,0,0,-8.67361737988404e-19,0,0,0,0.0833196308597386,0.013582733616233,0,0,0,0,0,0,0,0,0,0,-0.00748927919890184,0,0,0,0,0,0,0,0,0.0441939904408187,0,-0.0602941107716439,0
X601577.CH.EQUITY,0,0,0,0.104987937392943,-2.77555756156289e-17,0,0,0,0,0.00980763264929283,0,0.158857272682912,0,0.0994145390426374,0,0,0.0362235151684857,0,0,0,0.448834905680719,0,0,0,0.0958127461537739,0,0,0,0,0.065052730813889,0,0,0,0.0588243610177552,0,0,0,0,0,0,0.0128271320617139,0,0,0,0,1.73472347597681e-18,0.01312337805338,0,0,0,0,0
X601818.CH.EQUITY,0,0,0,0.16114682700648,0.311754070640997,0,0,0,0,0.0223585628774489,0,0,0,0,0,0,0,0,0,0,0,0.0642429840965557,0,0.22314938970108,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0583535679604111,0,0,0,0.105660007400665,0,0,0,0,0.0799663075510996,0,0.0215872746752804
X601838.CH.EQUITY,0,0,0,0,0,0.198135274712203,0.252817583823688,0,0,0.112962029463901,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.131919474484964,0.122646326647136,0,-0.0769852900236969,0,0,0,0.206403527057935,0,0,0.0754685158178006,0,0,0,0,0,0,-0.0997201066948352,0.0464311076927458,0,0,0,-0.0829327598642221,0.0591947626287917,0
X601939.CH.EQUITY,0,0,0,0,0.117804549449436,0,0,0,0.00338829592706061,0.0469146087506737,0.0740099060653155,0,0,0,0.138618542552919,0,0,0,0,0,0,0,0.227955471739511,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1.73472347597681e-18,0,0,0,0,0,0,0,0,0,0,0
X601988.CH.EQUITY,0.0701389411176901,0,0,-6.93889390390723e-18,0,0.0537416096845949,0,0,0,0,0,0.122043078998171,0.459687904979835,0.0545475174922762,0.0585179994745112,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0775128414181704,0,0,0.0321626632752134,0,0,0,0,0,0,0,0,0.0672326530290558,0,0,0,0,0,0,0,0
X601997.CH.EQUITY,0,0,0,0,0,0,0,0,0,0,0.1664822651502,0.276955716388995,0.0460307842197827,0,0,0.210375794384386,0,0,0,0,0,0,0,0.110775232292632,0,0,0,0,0,0,0,0,0,0,0,0,0,0.151309750664465,0,0,0,0,0,0,0.10301505318156,0,0,0,0,0,0,0
X601998.CH.EQUITY,0,0,0,0,0.123669110697443,0,0,0,0.110744343508467,0,0,0,0,0.0296211967297554,0,0,0.0251829220403489,0,0,0,0,0,0.0375172990034686,-3.46944695195361e-18,0,0,0,0,0,0,0,0,0,0,0.0168248437540049,0.0172404680050349,0,0,0.00567596545625434,0.11832256736635,0,0,0.111124567982872,0,0,0,0,0,0,0,0,0
X601658.CH.Equity,0,0.248594778272469,0,0,0,0,0.0582716845046811,0,0.133020443861235,0,0,0,0,0,0,0,0,0.0231565719692586,0,0.0546750010835388,0,0,0,0,0,0,0.266680221544594,0,0,-0.140560627635188,0,0,0,0,0,0,0,0,0,0.119878229820854,0,0.178157670221797,0,0,0,-0.0364963682089226,0,0,0,0,0.0528434567343635,0.0485163070910668
X601916.CH.Equity,0,0,0,0,0.0750258729764786,0,0.177173105590695,0,0,0,0,0.0591264542035168,0,0,0,0,0.339499208761782,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0168952427972966,0.311083494631283,0,0,0,0,0,0,0,0,0,0,-0.0932108597126854
