,X000001.CH.EQUITY,X002142.CH.EQUITY,X600000.CH.EQUITY,X600015.CH.EQUITY,X600016.CH.EQUITY,X600036.CH.EQUITY,X600919.CH.EQUITY,X601009.CH.EQUITY,X601166.CH.EQUITY,X601169.CH.EQUITY,X601229.CH.EQUITY,X601288.CH.EQUITY,X601328.CH.EQUITY,X601398.CH.EQUITY,X601818.CH.EQUITY,X601939.CH.EQUITY,X601988.CH.EQUITY,X601998.CH.EQUITY,X11.HK.EQUITY,X2388.HK.EQUITY,X5.HK.EQUITY,X2884.TT.EQUITY,X2886.TT.EQUITY,X2891.TT.EQUITY,X2892.TT.EQUITY,X000166.CH.EQUITY,X000776.CH.EQUITY,X002736.CH.EQUITY,X300059.CH.EQUITY,X600030.CH.EQUITY,X600837.CH.EQUITY,X600958.CH.EQUITY,X600999.CH.EQUITY,X601066.CH.EQUITY,X601211.CH.EQUITY,X601688.CH.EQUITY,X601881.CH.EQUITY,X388.HK.EQUITY,X601318.CH.EQUITY,X601319.CH.EQUITY,X601336.CH.EQUITY,X601601.CH.EQUITY,X601628.CH.EQUITY,X1299.HK.EQUITY,X2881.TT.EQUITY,X2882.TT.EQUITY,X000069.CH.EQUITY,X267.HK.EQUITY,MKRturn,RealEstateDiff
X000001.CH.EQUITY,0,0.192997407094614,0,0.132273498637812,0,0,0,0,0,0.102271726001383,0,0,0,0,0,0,0.111350264858225,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.104370709105058,0,0,0,0,0.0375827920419405,0,0,0,0.117188959237929,0.051242073349556,0,0,0,0,0,0,0
X002142.CH.EQUITY,0.321483473741262,0,0,0,0,0.350977682290237,0,0,0,0,0,0,-0.204715318541745,0,0,0,0,0,0,0,0,0,0.0402910487787806,0,0,0,0,0,0,0,0,0,0,0,0.0677757962994959,0,0,0.0543227413089876,0.217934264538931,0,0.00253772707146994,0,0.165896170380215,0,0.0813728447977229,0,0,0,0,0
X600000.CH.EQUITY,0,0,0,0,0,0.072298950808234,0.0608700897225333,0,0.287696668314671,0,0.0625712726907544,0,0.239000528491008,0,0,0,0,0,0,0,0,0,0.113384431342572,0.0184872366292543,0.185933977704356,0,0,0,-6.93889390390723e-18,0,0,0,0,0,-0.0378641499440778,0,-0.0649945293437359,0,0,0,0,0,0,0.11291120995597,0,-0.0287804764952247,0,0,0,0
X600015.CH.EQUITY,0,0,-0.077373096345678,0,0,0.468473707772879,0,0,0,0,0,0,0,0,0.18384776171676,0.0327876641884852,0,0.631067824304393,0,0,0,0,-0.0241124705547611,-0.331659811856746,0,0,0,0,0,0,0,0,0,0,0.00016185413789448,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.090127322411369
X600016.CH.EQUITY,0.124079919806217,0.0437937692027217,0.0903946414243388,0.270304161016785,0,0,0.0614236637728267,0,0,0,0,0,0.242362780303839,0,0,0,0,0,0,0,0,0,-0.0853369668516929,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0154602727830206,0,0,0,0,0,0.0297931591104023,0
X600036.CH.EQUITY,0,0.175057251188953,0,0.219277709689906,0,0,-0.110566094383925,0,0,-0.0501103967659788,0,0,0.468598386571648,0,0.0627765682389665,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0623773792023759,0.0365337380364264,0,0,0,0,0,0.0658422386977614,0,0.056365004548931
X600919.CH.EQUITY,0,0,0.0133925975402362,0.0175143305433866,0,0,0,0.193620642949833,0,0.142120638576566,0.101142085746441,0,0,0,0,0,0,0.271155131321541,0,0.198322983716539,0,0,0,0,0,0,3.46944695195361e-18,0.00151039410797543,0,0,0,0,0,0,0,0,0,0.00086033416846529,0,-0.0375222923924746,0,0,0,0,0,0,0,0,0,0
X601009.CH.EQUITY,0.401907173377633,0,0,0,0,0,0.321414576967774,0,0.0495574605719333,0,0,0,0,0,0,0,-0.0685363686234742,0,0,0.0449474473957209,0,-0.114958499817544,0,-0.12814715575142,0,0,0,0,0,0,0,0,0,0,0,0,-0.138986019115148,0,0.129657995287681,0,0,0,0,0,-0.104521591604345,0,0,0.167696655646783,0.0782006589500472,0.0292132088802677
X601166.CH.EQUITY,0,0,0.318776325474929,0,0,0,0.0425022182571485,0.0571728352809634,0,0,0,0.231192730779925,0.0927041708261795,0.0916602652066581,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00920540914135449,0,0.0852487977703063,0
X601169.CH.EQUITY,-1.38777878078145e-17,0,0,0,0,0.0916116817435091,0,0,0,0,0.230922073410497,0.132265533104886,0,0,0,0,0,0.189226665103809,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00740578272980328,0,0,0.146792358778762,0,0,0,0.0430011653400802,0,0,0,0.00831355008905481,0.062333525094196,0,0.0847214440095885,0.0163719784147493,0,0,0
