,X000001.CH.EQUITY,X002142.CH.EQUITY,X002958.CH.EQUITY,X600000.CH.EQUITY,X600015.CH.EQUITY,X600016.CH.EQUITY,X600036.CH.EQUITY,X600919.CH.EQUITY,X600926.CH.EQUITY,X600928.CH.EQUITY,X601009.CH.EQUITY,X601166.CH.EQUITY,X601169.CH.EQUITY,X601229.CH.EQUITY,X601288.CH.EQUITY,X601328.CH.EQUITY,X601398.CH.EQUITY,X601577.CH.EQUITY,X601818.CH.EQUITY,X601838.CH.EQUITY,X601939.CH.EQUITY,X601988.CH.EQUITY,X601997.CH.EQUITY,X601998.CH.EQUITY,X601658.CH.Equity,X601916.CH.Equity,X601077.CH.Equity,X11.HK.EQUITY,X2388.HK.EQUITY,X5.HK.EQUITY,X000166.CH.EQUITY,X000776.CH.EQUITY,X002736.CH.EQUITY,X600030.CH.EQUITY,X600837.CH.EQUITY,X600958.CH.EQUITY,X600999.CH.EQUITY,X601066.CH.EQUITY,X601211.CH.EQUITY,X601688.CH.EQUITY,X601881.CH.EQUITY,X388.HK.EQUITY,X000627.CH.EQUITY,X601318.CH.EQUITY,X601319.CH.EQUITY,X601336.CH.EQUITY,X601601.CH.EQUITY,X601628.CH.EQUITY,X1299.HK.EQUITY,X267.HK.EQUITY,MKRturn,RealEstateDiff
X000001.CH.EQUITY,0,0,0,0,0,0.107466313182719,0.065481945169797,0,0,0,0.0530648081914551,0.360690797226613,0,0,0,0,0,0,0,0,0,0,0,0,0.0197151022466193,0,0,0,0,0,0.0254734482486479,0,0,0,0,0,0.0136307424479009,0,0,0,0.0251767036112031,0,0,0,0,0.15730247339554,0.0788443465384964,0,0,0,0,0
X002142.CH.EQUITY,0,0,0,0,0,0,0.173479234151579,0,0.0336195845144032,0,0,0.357039854256237,0,0,0,0,0,0,0,0.208343026518372,0,0,0,0.0303553968502578,0,0,0,0,0,0,-0.125863616040143,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.25745390818693,0,0.0548578432301695,0.00390129455021616,-3.85155309195408e-05,0.00251171073449813,0.0212318921479839
X002958.CH.EQUITY,0,0,0,0,0,0,0,0,0,0.0716827810773688,0,0,0,0,0,0,0,0.450673739382592,0,0,0,0,0,-1.73472347597681e-18,0.0263353333903658,0.0207958328811047,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1.38777878078145e-17,0,0.173030607286161,0.0154946635480533,0,0,0,0,0,0,0.0629479469715149,0
X600000.CH.EQUITY,0,0,0,0,0,0,0.0773664079450807,0,0,0,0,0,0,0.472962708360858,0.078169005688882,0.156220274872875,0.148498952264956,0,0.0365545392499282,0,0,0.00263522403217619,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.124070288211855
X600015.CH.EQUITY,0,0,0,0,0,0.109511816611098,0,0,0,0,0,0,0.23076505307523,0.248767124336592,0,0,0,0,0,0,0,0.0542451153871612,0.0825840854814093,0,0,-0.0707401525548149,0.347776044309496,0,0.0998692414159545,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0757744872414662,0,0,0,0,-0.125070406995853,-0.0431709272237149,0.00229350670584528
X600016.CH.EQUITY,0.148771963026903,0,0,0,0.216229228935061,0,0,0,0,0.0809442838638508,0,0,0,0,0,0,0.035317126168498,0.283168136417974,0,0,0,0,0,0,0,0.176047010491352,0,0,0,0,0,0,0,0,0,0,0,0.061328375522255,0,0,0,0,0,0.0297836550783957,0,0,0,0,0,0,0,0
X600036.CH.EQUITY,0.391290255491156,0.104831015037444,0,0.021057506427649,0,0.113245495406691,0,0,0,0.0417785752562102,0,0.144309914664925,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0978454379997581,0,0,0,0,0,0,0,0,0,0,0,0,0.00138601790019756,0,0,0,0,0,0,0,0,0.0140239141361448,0
X600919.CH.EQUITY,0,0.0659073868935998,-0.00310654970090054,0,0.244701322529388,0,0,0,0.532130083905787,0,0,0,0,0,0,0.0551706837648835,0.0691496710999947,0,0,0,0.0593390266510919,0,0,0,0,0,0,0,0,-0.0977985328481316,0,0,0,0,0,0,0,0,0,0,0,0,-0.00562653795733493,0,-0.121382309436214,0,0,0,0,0,-0.0692607939183961,0
X600926.CH.EQUITY,0,0,0,0,0,0,0,0.312379482275277,0,0,-1.0842021724855e-19,0,0,0,0.00291698204286804,0.294211523473097,0,0,0,0.23211933538907,0,0,0,0,0,0,0,0,6.93889390390723e-18,0,0,0.118346599955729,0,0,0,0,0,-0.216827127378366,0,0,0,0.0443888943248311,0,0,0,0,0,0,0.218593879540231,0,0,0.0561704896125582
X600928.CH.EQUITY,0,-0.0415936840017503,0.197057745144232,0,0,0,0,0,0,0,-0.0241704916142801,0,0.0255171854429289,0,0,0,0.134929531548778,0.125783866676843,0.150012930423712,0,0,-0.0781226264854235,0.386628758495179,0,0,0,0,0,0,0,0.0623586891519363,0,0,0,0,0,0,0,0,0,0.0113720196358541,0,4.33680868994202e-19,0,0,0,0,0,0,0,0,0
