,X000001.CH.EQUITY,X002142.CH.EQUITY,X600000.CH.EQUITY,X600015.CH.EQUITY,X600016.CH.EQUITY,X600036.CH.EQUITY,X600919.CH.EQUITY,X600926.CH.EQUITY,X601009.CH.EQUITY,X601166.CH.EQUITY,X601169.CH.EQUITY,X601229.CH.EQUITY,X601288.CH.EQUITY,X601328.CH.EQUITY,X601398.CH.EQUITY,X601577.CH.EQUITY,X601818.CH.EQUITY,X601838.CH.EQUITY,X601939.CH.EQUITY,X601988.CH.EQUITY,X601997.CH.EQUITY,X601998.CH.EQUITY,X601658.CH.Equity,X601916.CH.Equity,X601077.CH.Equity,X11.HK.EQUITY,X2388.HK.EQUITY,X5.HK.EQUITY,X2880.TT.EQUITY,X2884.TT.EQUITY,X2887.TT.EQUITY,X5880.TT.EQUITY,X000166.CH.EQUITY,X000776.CH.EQUITY,X600030.CH.EQUITY,X600837.CH.EQUITY,X601211.CH.EQUITY,X601688.CH.EQUITY,X601881.CH.EQUITY,X2885.TT.EQUITY,X601318.CH.EQUITY,X601319.CH.EQUITY,X601336.CH.EQUITY,X601601.CH.EQUITY,X601628.CH.EQUITY,X1299.HK.EQUITY,X2882.TT.EQUITY,X2883.TT.EQUITY,X000002.CH.EQUITY,X267.HK.EQUITY,MKRturn,TED,RealEstateDiff
X000001.CH.EQUITY,0,0,0,0,0,0.241823442511949,0,0,0,0.122072430121146,0,0,0,0,0,0,0,0,0,0,0,0,0.122135977950001,0,0,0,0,0.0310072009490469,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.321505351458106,0,0,0.0200509638284905,0,0,0.0548396557087513,0,0,-0.0391984523927717,-0.0491739777334311
X002142.CH.EQUITY,0.0822496553134176,0,0,0,0,0.0801120498062716,0,0,0,0.220662680029305,0,0,0,0,0,0.133326545000831,0,0,0,0,0,0,0,0,0,0,-0.0240075715972526,0,0,0,0,0,0,0,0,0,0,0,-6.93889390390723e-18,0,0,0,0,0,0,0.0175978617396816,0,0,0.107682374262819,0,0,0,0
X600000.CH.EQUITY,0,0,0,0.200128930804534,0,0.0832963414568592,0,0,0,0,0,0.171917973377939,0,0.179691441776909,0,0,0.140068271315358,0,0.0255132465196988,0,0,0,0,0,0,0,0,0.115369400886074,0,0,0,0,0,0,0,0,0,0.0640033470035932,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
X600015.CH.EQUITY,0,0,0.253935830073797,0,0,0,0,0,0,0,0.182452630285218,0,0,0.0481724088800814,0.0373031635536286,0,0,0,0.0745358838427346,0,0,0,0,0,0.437563337341444,0,0,0,0.0545722020059983,0,0,0,-0.124926414649757,0,0,0,0,0,0,0,0,0,0,0,0,-0.00965050654880657,0,0,0,-0.0725701601019866,-0.0578932001672852,0,0
X600016.CH.EQUITY,0,0,0.0229751495110494,0.170928484293405,0,0.0633817546050479,0,0,0,0,4.33680868994202e-19,0,0,0,0.209331350484545,0,0,0.208060488653176,3.46944695195361e-18,0,0.149246073398841,0,0,0.123569434953602,0,0,0,0,0.00362917792224104,0,0,0,0.0631043641650925,0,0,0,0,0,0.043054258615194,0,0,0,0,0,0,0,0,0,0,0,0,0,0
X600036.CH.EQUITY,0.186366926679068,0.312491545414149,0,0,0.0254211740577317,0,0,0,0,0.0507145748414341,0,0,0,0,0,0,0.0438077164362861,0.105040813811604,0,0,0,0,0,0,0,0,0.171768045580609,0,0,0,0.128814776209887,0.00852078920127591,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
X600919.CH.EQUITY,0,0.061808748971552,0,0,0.124165098446663,0,0,0,0.220004406630324,0,0,0,0,0.229993976827702,0.0425498001233294,0.0305669896477617,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0299750477774884,-0.0419233719406539,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
X600926.CH.EQUITY,0,0,0,0,0,0,0,0,0.269012716410095,0,0,0,0,0.214212853350311,0,-0.00399258338924227,0,0,0,0,0,0,0,0,0,0.0634933439808229,0,3.46944695195361e-18,-0.0326397176457232,0,0,0,0,0,0.085267770728058,0,3.46944695195361e-18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
X601009.CH.EQUITY,0,0,0,0.0175456784786637,0,0,0.252204168964552,0.187077137774908,0,0.312908693661468,0,0,0,0,0,0,0,0,0,0.00135992936123669,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0204040409525545,0.0408965405944961,0.12671330182769,0,0.0106253674473087,0,0,0,0,0.0916011206542791,-0.226236320746632,0,0
X601166.CH.EQUITY,0,0.090424134634905,0,0,0,0.0953141827575106,0,0,0.209491082306257,0,0,0,0.200168205606536,0,0,0,0,0,0,0.133353397526944,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0213656144466287,0,0.0117117199433205,0,0
