,X000001.CH.EQUITY,X002142.CH.EQUITY,X600000.CH.EQUITY,X600015.CH.EQUITY,X600016.CH.EQUITY,X600036.CH.EQUITY,X601166.CH.EQUITY,X601169.CH.EQUITY,X601229.CH.EQUITY,X601288.CH.EQUITY,X601328.CH.EQUITY,X601398.CH.EQUITY,X601818.CH.EQUITY,X601939.CH.EQUITY,X601988.CH.EQUITY,X601998.CH.EQUITY,X11.HK.EQUITY,X2388.HK.EQUITY,X5.HK.EQUITY,X2886.TT.EQUITY,X000166.CH.EQUITY,X002736.CH.EQUITY,X600030.CH.EQUITY,X600837.CH.EQUITY,X600999.CH.EQUITY,X601066.CH.EQUITY,X601211.CH.EQUITY,X601688.CH.EQUITY,X388.HK.EQUITY,X601318.CH.EQUITY,X601319.CH.EQUITY,X601336.CH.EQUITY,X601601.CH.EQUITY,X601628.CH.EQUITY,X1299.HK.EQUITY,X2881.TT.EQUITY,X2882.TT.EQUITY,X000002.CH.EQUITY,X001979.CH.EQUITY,X600048.CH.EQUITY,X1109.HK.EQUITY,X1113.HK.EQUITY,X12.HK.EQUITY,X16.HK.EQUITY,X1997.HK.EQUITY,X2007.HK.EQUITY,X267.HK.EQUITY,X688.HK.EQUITY,X823.HK.EQUITY,MKRturn,TED,RealEstateDiff
X000001.CH.EQUITY,0,0,0,0,0,0,0.0417747868518142,0,0,0,0,0,0,0,0.151371391693306,0,0,0,0,-0.0254869347756554,0,0,0,0,0,0,0.225909434993284,0,0,0.209996982868562,0,0.0354591925527251,0,0,0,0,0,0.0290481689027183,0,0,0,0,0.0290663291945302,0,0,0,0,0,0,0,0,0
X002142.CH.EQUITY,0.200405751470763,0,0,0,0,0,0,0,0.0576255501229314,0,0,-0.0862024355105219,0,0.247556279860201,0.00627767561315317,0,0,0,0,0.0113340296520456,0,0,0,0,0,0,0,0,0,0.304790688807774,0,0.134981425371355,0,0,0,0,-0.084808242525576,0.0241836038107252,0,0,-0.218913670913118,0,0,0,0,0,0,0.0261191534161302,0,0,0,0
X600000.CH.EQUITY,0,0,0,0,0,0.239015694236919,0.424770274951161,0,0,0,0.167291995820358,0,0,0.187954455977251,0,0.026672642525244,0,0,0,0.32086705174815,0,0,0,-0.213023893357764,0,-0.0567948016862988,0,0,-0.030484191930274,0,-0.0126497228999673,0,0,0,0,0,-0.0388771643962582,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0369122338863112,-0.0390235575527832
X600015.CH.EQUITY,0,0,0.178860463730848,0,0.0705204954409658,0,0,0.469846913221674,0,0,0,0,0,0,0,0.0671838745834348,0,0,0,0,0.0259482809250091,0,0.197972481045428,0,0.0495689282425495,0,0,0,0,0,0,0,0,0,0,0,0,0.0161264951618745,0,0.101201290084089,0,0,0,0,0,0,0,0,0,0,0,0
X600016.CH.EQUITY,0,0,0.0754044456651995,0.502689740745413,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0206128305594746,0,0,0,0,0,0,0,0,0,0,0
X600036.CH.EQUITY,0,0,0.104724129234211,0,0,0,0,0,0,0,0.487732749944735,0,0.117266313026353,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.216540259292141,0,0,0,0,0,0,0,-0.0101375320915571,-0.201309667971154,0,0,0,0,0,0,0,0.243026266186743,0,0,-3.46944695195361e-18,0,0.114242835954895
X601166.CH.EQUITY,0,0,0.118597970154052,0,0,0.0136750791649293,0,0,0,0.195362150136452,0,0.0600746163961795,0,0,-0.0291435388429604,0,0,0,0,-0.142743218561493,0,0,0,0,0,-0.226438287260142,0,0,0,0,0,0,0,0.0968433038253244,0,0,0,0,0,0.287238991144173,0,0.131281574737795,0,0,0,0,0,0.0547931876619375,0,-0.13951906415187,0,-0.0630673116655593
X601169.CH.EQUITY,0,-0.0278948635596394,0,0.950884365756317,0,-0.127133336008399,0,0,0,0,0,0,0,0,-0.108552264253919,0,0,0,-0.0355796913713682,0,0,-0.0563376101814371,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.401822873069082,0,0,0,0,0,0,0,0,0,0.0765513799788249,0,0,0
X601229.CH.EQUITY,0,0.189984282851974,0,0,0,0,0,0,0,0,0,0.472618211130253,0,0,0,0.0621055501482853,0,0,-0.0691031881419638,0,0,0,0,0,0.3495662265897,0,0,0,0.0331520545635215,0,0,0,0.0126198523732462,0,0,0.105373605436648,0,0,0,-0.0362294667459813,0,0,0,0,0,0,0,0,0,0,-0.170317443581195,0
X601288.CH.EQUITY,0,0,0,0,0,0,0.743657117127904,0,0,0,0,0,0,0,0,0,-0.0111804540820444,0,-0.348900581309338,-0.109945162721066,0,0,0,0,0,0,0,-0.136007745649668,0,0,0,0,0,0,-0.0989233049131264,0,0,0,0,0,0,0,0,0.0364086229909166,0,0,-0.264697910344833,0,0,0,0.460115303652175,0.21427588629864
