,X000001.CH.EQUITY,X002142.CH.EQUITY,X600000.CH.EQUITY,X600015.CH.EQUITY,X600016.CH.EQUITY,X600036.CH.EQUITY,X601166.CH.EQUITY,X601169.CH.EQUITY,X601229.CH.EQUITY,X601288.CH.EQUITY,X601328.CH.EQUITY,X601398.CH.EQUITY,X601818.CH.EQUITY,X601939.CH.EQUITY,X601988.CH.EQUITY,X601998.CH.EQUITY,X11.HK.EQUITY,X2388.HK.EQUITY,X5.HK.EQUITY,X000166.CH.EQUITY,X002736.CH.EQUITY,X300059.CH.EQUITY,X600030.CH.EQUITY,X600837.CH.EQUITY,X600999.CH.EQUITY,X601066.CH.EQUITY,X601211.CH.EQUITY,X601688.CH.EQUITY,X388.HK.EQUITY,X601318.CH.EQUITY,X601319.CH.EQUITY,X601336.CH.EQUITY,X601601.CH.EQUITY,X601628.CH.EQUITY,X1299.HK.EQUITY,X2881.TT.EQUITY,X2882.TT.EQUITY,X000002.CH.EQUITY,X001979.CH.EQUITY,X600048.CH.EQUITY,X1109.HK.EQUITY,X1113.HK.EQUITY,X12.HK.EQUITY,X16.HK.EQUITY,X1997.HK.EQUITY,X2007.HK.EQUITY,X267.HK.EQUITY,X688.HK.EQUITY,X823.HK.EQUITY,MKRturn,TED,RealEstateDiff
X601939.CH.EQUITY,0,0.497533226078897,0,0,0,0,0,0,0,0,0,0.259671277109478,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0522132492275852,0,0,0.135744701639485,0,0,0,0,0,0,0,0,0,-0.100283586811481,0,0,0,0,0,0,0,0,0,0,0,0,-0.0932869433265345
X601988.CH.EQUITY,0.708935934597936,0,0,0,0,0,0,0,0,0,0,-0.376754731502797,-0.0283994676622663,0,0,0,0,0,0.386449372094414,0,0.131347775140025,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.115819008269989,0,-0.0447412414963296,0,-0.519430498715697,0,0,-0.0465202714628385
X601998.CH.EQUITY,0,0,0.0652219493333556,0,0,0,0,0.250357703907506,0,0,0,0,0,0,0,0,0,0,0,0,0,0.298898387436827,0,0,0,0,0,0,0.0947801932428379,0,0.185677483332061,0,0,0,0,0,0,0,-0.0450060551139512,0,0.025929383501586,0,0,0.138159044930703,0,0,0,0,0,0,0,-0.113151008657996
X11.HK.EQUITY,0.0970648916959923,0,0,0,0,0,0,0,0.181253022679546,0,0,0,0,0.029684106791443,0.0225815878115653,0,0,0.374290937878572,0.176206264005205,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.38777878078145e-17,0,0.0192217676437166,0,0,0,0,0,0,0.434666155845059,0,0,0
X2388.HK.EQUITY,0,0,0,0,0,0,0,0,0,0,0,-0.0765628399288991,0,0,-0.35397710802462,0,0,0,0.759984928636499,0,0,0,0,0,0,-1.73472347597681e-18,0,0,0.112460254971196,0.198769584776572,0,0,0,0,0,-0.0422578857243091,-0.0832907134488379,0,-0.0310762412047513,0.0537234842032982,0,0,0,0,0,0.225587777075128,0,0,-0.14589811314075,0,0,0.292729702971629
X5.HK.EQUITY,0,0,0,0,0,0,0,0,0,0,0,-0.111278406405183,0,0,0.0123155704336684,0,0.0874250777813774,0.351000442470546,0,0,0,0,0,0,0,0,0,0,0.0189336409386117,-0.0318553080962851,0,0,0,0,0.187682703127343,0.12591282438615,0.0532125894219804,0.166939486238043,0,0,0,0,0,0,0,0,-0.0708925556682127,0,0,0,0.243763317059378,-0.0786560264532875
X000166.CH.EQUITY,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0286191882693446,0.0303384668947018,0,0,0,0,0,0,0.370206345940269,0,0.0058141800437682,0.266185395212148,0,0.228448187093013,0,0,0,0.127441521313734,0,0,0,0,0,0,0,0,0.0907247171780133,0,0,0,0,0,0,0,0,0,0,0,0
X002736.CH.EQUITY,0,0.141215510333132,0,0,0,0,0,0,0,0,0,0,0,-3.46944695195361e-18,0,0.046523682254691,0,0,0,0,0,0.256809442868979,0.224555807077719,0,0,0,0,0.0413042907210973,0,0,0,0,0,0,0,0,0,0,0,0.151253448538067,0,0,0,0.221474830359347,0,0,0,0,0,0,0,0.0532733669047195
X300059.CH.EQUITY,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.09674891246824,0,0,0,0.00285050763616144,0.215540532520846,0,0,0.330848675863578,0.0938083653339983,0,0,0,0,0,0.160910264213858,0,0,0,0,0,0,0,0.0946248825936556,0,-0.130646176861041,-0.0123461416737087,0.0195662021017974,0,0.0852640173458936,0,0,0,0,-0.0940576537442125,0,0
X600030.CH.EQUITY,0.0738742832093104,0,0,0,0,0,0,0,0,0,0,0.0309745684144405,0,0,0,0,0,0,0,0,0,0,0,0.477777744279429,0.413709721852121,0,0.0827078319858209,0,0.0114765529479545,0,0.0330518183069314,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0482656828148778,0,0,0,0,0
X600837.CH.EQUITY,0,0,0,0,0,0,0,0,0,0,0,0,-1.73472347597681e-18,0,0,0,0,0,0,0.144923673676275,0,0.138713617132973,0.159736571853698,0,0,0.142931761645068,0,0.129136014423256,-0.0356079596843263,0,0,0,0,0.219415972304198,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0284933352982531,0
X600999.CH.EQUITY,0,0,0,0,0,0,0,0,0.122021381307564,0,0,0,0,0,0,0,0,0.128621651783626,0,0.0777678473670324,0.0310925325111763,0.30779907123529,0.0367200709770052,0,0,0.144689954661383,0.396154603869772,0,0,0,0,0,-0.0281118640566999,0,0,0.00323617421021511,0.0421575433426313,0,0,0,0.102597569050582,0,0,0,0,0,0,0,-0.0251335583140134,0,0,0
X601066.CH.EQUITY,-0.0987824409249152,-0.260797127926416,0,0,0,-0.273148432135941,0,0,0,0,-0.131632176711442,0,0.48950296253749,0,0,0,0,0,-0.200108849047261,0,0.134342524135277,0,0,0,0.194080525950126,0,0,0.0957678681643383,0,0,0,0,0,0,0,-0.118988758757114,0,0,0,0,0,0,0,0,0.0180264887398164,0,0,0,0.0647118267581085,0,0.0481742642096553,0
X601211.CH.EQUITY,0,0,0,0,0,0,0,0,0.0319803525201088,0,0,0,0.058562861355873,0,0,0,0,0,0,0.147321047930101,0,0,0.210964775986412,0.00537044913963683,0.313039911074518,0.0965853715044921,0,0,0,0,0.0686934260190662,0,0,0,0,0,0,0,0,0,0,0,0.0211721113206173,0,0,0,0.0367315221327109,0,0,0.0326501191913868,0,0
X601688.CH.EQUITY,0,0,0,0,0,0,0,0,0,-0.113339010872387,0,0,-0.0509366267021228,0,0,-0.0497572044882445,0,0,0,0.0561044265416271,0,0.26673124606914,0,0.438837647483076,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.14272607301822,0,0,0,0,0,0,0,0,0,0,0,0,-0.108095399631643
X388.HK.EQUITY,0.0249145121973348,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0981251267506964,0,0,0.412342440099303,0,0,0,0.0113620042438858,0,0,0,0,0,0,0,0,0.0658750019797945,0,0,0,0.00553636255236997,0,0,0,0,0,0.140078190291329,0,0,0.0340259949967155,0,0.191322142569256,0.0701321057682864,0,0,0,0.0631099893273403
