,X000001.CH.EQUITY,X002142.CH.EQUITY,X600000.CH.EQUITY,X600015.CH.EQUITY,X600016.CH.EQUITY,X600036.CH.EQUITY,X601166.CH.EQUITY,X601169.CH.EQUITY,X601229.CH.EQUITY,X601288.CH.EQUITY,X601328.CH.EQUITY,X601398.CH.EQUITY,X601818.CH.EQUITY,X601939.CH.EQUITY,X601988.CH.EQUITY,X601998.CH.EQUITY,X601658.CH.Equity,X11.HK.EQUITY,X2388.HK.EQUITY,X5.HK.EQUITY,X000166.CH.EQUITY,X000776.CH.EQUITY,X002736.CH.EQUITY,X300059.CH.EQUITY,X600030.CH.EQUITY,X600837.CH.EQUITY,X600999.CH.EQUITY,X601066.CH.EQUITY,X601211.CH.EQUITY,X601688.CH.EQUITY,X388.HK.EQUITY,X601318.CH.EQUITY,X601319.CH.EQUITY,X601336.CH.EQUITY,X601601.CH.EQUITY,X601628.CH.EQUITY,X1299.HK.EQUITY,X2882.TT.EQUITY,X000002.CH.EQUITY,X001979.CH.EQUITY,X600048.CH.EQUITY,X1109.HK.EQUITY,X1113.HK.EQUITY,X12.HK.EQUITY,X16.HK.EQUITY,X1997.HK.EQUITY,X2007.HK.EQUITY,X267.HK.EQUITY,X688.HK.EQUITY,X823.HK.EQUITY,MKRturn,TED,RealEstateDiff
X000001.CH.EQUITY,0,0.121488630632289,0.12737172392099,0,0,0,0.222431851827378,0,0.0564569179274262,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.73472347597681e-18,0,0,0,0,0,0,0.108982651507873,0,0,0,0.0580661989525414,0,0,0,0,0.149627059459139,0,0,0,0.107209529372561,0,0,0,0,0,0
X002142.CH.EQUITY,0.479325387462241,0,0,0,0,0.0291535365011383,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.148658124686346,0,0,0,0,0.0294430771199046,0,0,0,0,0,0.0324820154411935,0,0,0,0,0,0,0,-0.0694367986100609,0,0.144683988354932
X600000.CH.EQUITY,0,0,0,0,0.237134428625326,0,0,0.271640579404951,0,0,0.235684149774299,0,0,0,0,0,0,0,0.0402779887671509,0,0.008412323639018,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.092535065642057,0.0252135323945525,-3.46944695195361e-18,0,0,0,0,0,0
X600015.CH.EQUITY,0,0,0,0,0,0.150180914339784,0.314209632150083,0.0533160053664085,0,0,0.0420729112404262,0,0,0.180882358846347,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.100715166054267,0.165542508480665,0,0,0,0,0,0,0,0,0
X600016.CH.EQUITY,6.93889390390723e-18,0,1.73472347597681e-18,0,0,0,0,0.334110642564913,0,-6.93889390390723e-18,0.23027706193273,0,0,0.179753752709138,0.208976789297202,0,0,0,0,0,0,0,0,0,0,0,0,0,0.054987852554706,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
X600036.CH.EQUITY,0,0,0,0,0,0,0.566673657539143,0,0,0,0,0,0,0,0,0,4.33680868994202e-19,0,0.150829441743813,0,0,0,0,0.0302388965513232,0,0.0564903557709079,0,0.130382305882011,0,0,0,0,0,0,0,0,0.232647368101658,0,0,0.0121253300640351,0,0,0,0,0,0,0,0,0,0.00353973274351554,0,0,0
X601166.CH.EQUITY,0.208850677288901,0,0.113387753758885,0.0901248153240052,0,0.149821925638118,0,0,0,0,0,0,0.333955523860831,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0876974913345991,0,0,0
X601169.CH.EQUITY,0,0,0,0.160420908784474,0.0344697200079244,0,0,0,0.25796630631509,0,0.0273371507832372,0,0,0,0,0.194753885674275,0,0,0,0,0,0.0386323739809428,0,0,0,1.73472347597681e-18,0,0,0.0817434307410894,0,0,0,0.0932260444938278,0.0470982395808281,0,0,0,0,0,0.0786396483969064,0,0,0,0,0,0,0,0,0,0,0,0,0
X601229.CH.EQUITY,0,0.023640578903886,0.182533895547438,0,0,0,0,-6.93889390390723e-18,0,0.0638785433338822,0.148806802318916,0,0.11075430987565,0,0,0.213898984366099,0.0733657301150605,0,0,0,0,0,0,0,0,0,0.158903423705832,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0196495305569846,0,0,0,0,0,0
X601288.CH.EQUITY,0,0,0,0,0,0,0,0,0,0,0.113401437531894,0.382507903858855,0.0137604563950631,0.00486311159280748,0.374346585614587,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0792182523516523,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0215968739540737,0
X601328.CH.EQUITY,0,0,0.0783986945799471,0,0.0757273439906939,0,0,0.0575952641308798,0,0.277487531502757,0,0.156939533375083,0,0,0,0,0,0,0,0,0,0.0983343525775107,0,0,0,0,0,0,0.0503300401144628,0,0,0,0,0,0,0,0,0.111943341750889,0,0.0696421593367135,0,0,0,0,0,0.117041538661757,0,0,0,0,0,0.0129494762853942,0
