,X000001.CH.EQUITY,X002142.CH.EQUITY,X600000.CH.EQUITY,X600015.CH.EQUITY,X600016.CH.EQUITY,X600036.CH.EQUITY,X601166.CH.EQUITY,X601169.CH.EQUITY,X601229.CH.EQUITY,X601288.CH.EQUITY,X601328.CH.EQUITY,X601398.CH.EQUITY,X601818.CH.EQUITY,X601939.CH.EQUITY,X601988.CH.EQUITY,X601998.CH.EQUITY,X601658.CH.Equity,X11.HK.EQUITY,X2388.HK.EQUITY,X5.HK.EQUITY,X2886.TT.EQUITY,X000166.CH.EQUITY,X300059.CH.EQUITY,X600030.CH.EQUITY,X600837.CH.EQUITY,X600999.CH.EQUITY,X601066.CH.EQUITY,X601211.CH.EQUITY,X601688.CH.EQUITY,X388.HK.EQUITY,X601318.CH.EQUITY,X601319.CH.EQUITY,X601336.CH.EQUITY,X601601.CH.EQUITY,X601628.CH.EQUITY,X1299.HK.EQUITY,X2881.TT.EQUITY,X2882.TT.EQUITY,X000002.CH.EQUITY,X001979.CH.EQUITY,X600048.CH.EQUITY,X1109.HK.EQUITY,X1113.HK.EQUITY,X12.HK.EQUITY,X16.HK.EQUITY,X1997.HK.EQUITY,X2007.HK.EQUITY,X267.HK.EQUITY,X688.HK.EQUITY,X823.HK.EQUITY,MKRturn,TED,RealEstateDiff
X600048.CH.EQUITY,0,0,0,0,0,0,0,0,0.237158306345067,0,-3.46944695195361e-18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0776215001083209,0.019655597268859,0.258505937811344,0.111271377505957,0,0.020862600689521,0,0,0.0648410209473457,0,0,-0.0874988869202246,0.171337021464439,0,0,0,0
X1109.HK.EQUITY,0,0,0,-0.0601777213615042,0,0,0,0,0,0,0,0,0,0,0,0,-0.269795771529003,0,0,0,0,0,0,0,0,0,0.0618561358551145,0,0,0,0,0,0,0.0558660395628733,0,0,0,0,0,0,0,0,0,0,0,0,0.831364327394878,0,0.0154139691848872,0,0,0,-0.0554105017965844
X1113.HK.EQUITY,0,0,0,0,0,0.0930578155627814,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0635541700103248,0,0,0,0,0,0,0,0.12136994619941,0.182156612435987,0.142887402581834,0,0,0,0,0.0808981333232953,-8.67361737988404e-19,0.126099866020626,0,0,0,0.188210433753244,0,0,0
X12.HK.EQUITY,0,0,0,0,0,0,0,0,0.0282749013194867,0,0,0,0,0,0,0,0,0.126760804614129,0.133800781584228,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0785892137859738,0.0512551179633764,0,0,0,0,0,0,0,0.482724846331958,0,0,0.0601169202834662,0,0,0.00741047377261014,0,0,0,0
X16.HK.EQUITY,0,0,0,0,0,0,0,0,0,0.115198719212062,0,0,0,0,0,0,-0.0579802840950686,0,0.232172685978875,0,0,0,0.11276071721899,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.272216847743184,0.121622397837452,0,0,0,0,0,0.0891229494606154,0,0.0111813346060715,-0.075328880962862
X1997.HK.EQUITY,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0414667933380409,0,0,0.0570668408768841,0.0877702676377324,0,0,0.0669484955684836,0,0,0,0,0,-0.109316658135838,0,0,0,0.0241166989741137,0,0,0,0,0,0,0,0,0,0,0,0.431427456234723,0.313590541394058,0,0,0,0,0,0,0,0,0.0246412708185869
X2007.HK.EQUITY,0,0,0,0,0,0,0,0,0.0678011439718746,0,0,0,0.0839750536511487,0,0.0969612478486903,0,0.0150240906972435,0,0.00885151309058065,0.137171734645507,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0912512788743546,0,0.218002406124799,0,0,0,0.109241524804204,0,0.0791416167818989,0.105052081888354,0,0.0298083433917419,0,0
X267.HK.EQUITY,0,0,0,0,0,0.0829020550154117,0.0449993480984807,0,0,0,0,0,0,0,0.000375604833307834,0,0,0,0.126119742962432,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0516578850730763,0,0,0.0684896580324781,0,0,0,0,0.0827127541978598,0,0,0,0.115837921851079,0,0.16764069557942,0.242944282998784,0,0,0
X688.HK.EQUITY,0,0,0,0,0,0,0,0,0,0.0362747936925692,0.0491471697771194,0,0.0434914445861059,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.171781846268922,0,0,0,0,0,0,0.674320705463324,0,0,0,0,0,0,0,0,0,0,0
X823.HK.EQUITY,0,-0.036424556303171,0,0,0,0,0,0,0,0,0,0,0,0,0.0392116082670462,0,-0.0470558987326889,0.310807183716569,0,0,0.0104555972416696,0,0,0,0,0,0,0,0,0.0919762347069482,0,0,0,0,0,0,0,0,0,-0.125101936557557,0,0,0,0,0.0570753955444761,0.594818127550379,0,0,0,0,0,0,-0.0498615052821897
MKRturn,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0437186005848995,0,0,0.906950214587816,0.205107237127446,0,0,0,0,0,-0.581149638340545,0,0.118269406248005,0,0,0,0,0,0,0.162060923738073,0,0,0,0,-0.275948737208616,0.00979073152889074,0,0,0,0,0,0,0,0,0,0,0
TED,0,0,0,0,0,0,0,-0.193243662521116,0,0,0,-0.0294579677301006,0.206169448279046,0,0,0,0,0,0.240005258228198,0,0,0,0,0,0,0,0,0,0,-0.0321011579259289,0,0.100973577983849,0,0.0685271843409068,0,0,0,-0.132472860996269,0,0,0,0,0,0,0,0,0,0,0,0.0295044859004155,0,0,0.105162915745094
RealEstateDiff,0,-0.0080155900602613,0,-0.263952738558581,0,-0.175412243636122,0,0,0,0,0,0,0,0,0,0,0.772969121008394,0,0,0,0,0,0,0,0,0,-0.106681459169541,0,-0.10144090215118,0,0,-0.0317720732456943,0,0,0,0,0,-4.33680868994202e-19,0,0,0,0,0,0,0,0,0,-0.00379820456335804,0,0.221574726845427,0,-0.0444082140480071,0
