,X000001.CH.EQUITY,X002142.CH.EQUITY,X600000.CH.EQUITY,X600015.CH.EQUITY,X600016.CH.EQUITY,X600036.CH.EQUITY,X601166.CH.EQUITY,X601169.CH.EQUITY,X601229.CH.EQUITY,X601288.CH.EQUITY,X601328.CH.EQUITY,X601398.CH.EQUITY,X601818.CH.EQUITY,X601939.CH.EQUITY,X601988.CH.EQUITY,X601998.CH.EQUITY,X11.HK.EQUITY,X2388.HK.EQUITY,X5.HK.EQUITY,X2886.TT.EQUITY,X2891.TT.EQUITY,X000166.CH.EQUITY,X600030.CH.EQUITY,X600837.CH.EQUITY,X600999.CH.EQUITY,X601066.CH.EQUITY,X601211.CH.EQUITY,X601688.CH.EQUITY,X388.HK.EQUITY,X601318.CH.EQUITY,X601319.CH.EQUITY,X601336.CH.EQUITY,X601601.CH.EQUITY,X601628.CH.EQUITY,X1299.HK.EQUITY,X2881.TT.EQUITY,X2882.TT.EQUITY,X000002.CH.EQUITY,X001979.CH.EQUITY,X600048.CH.EQUITY,X1109.HK.EQUITY,X1113.HK.EQUITY,X12.HK.EQUITY,X16.HK.EQUITY,X1997.HK.EQUITY,X2007.HK.EQUITY,X267.HK.EQUITY,X688.HK.EQUITY,X823.HK.EQUITY,MKRturn,TED,RealEstateDiff
X000001.CH.EQUITY,0,0,0,0,0,0.283985766323592,-6.93889390390723e-18,0,0.0120249162269455,0,0,0,0,0,0,0.133094191530173,0,0,0,0,0,0,0,0,0.011867550523273,0.111685989913441,0,0,0,0,0,0,0.12285563238525,0,0,0,0,0,0,0,0.132761812743039,0,0,0,0,0,0.0943999185196518,0,-0.261566327735819,0,0,-0.146050531389219
X002142.CH.EQUITY,0.21628363024611,0,0,0,0,0.184805568690615,0.0595826732325586,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8.67361737988404e-19,0,0,0,0,0.165655844028341,0.0666660454415189,0.0387518875327189,0,0.116205787633114,0,0,0,0,-0.0814862731117763,0,0,0,0,0,0,-0.0623619637163996,0,0,0,0,0,-0.107103219662115,-0.149668338487804,-0.222096887979346
X600000.CH.EQUITY,0.0527101910439403,0,0,0,-1.73472347597681e-18,0.112449781947819,0,0,0,0,0.47176374530135,0,0.0510740839022853,0,0,0,0,0,0,0,0.21440051216319,0,0,0,0.0178755881866864,0,0,0,0,0,0,0,-0.0354989346213045,-0.00781632362367613,0,0,0,0,0,0.0767754314962702,0,-0.00431454415848138,0,0,0,0,0,0,0,0,0,0.119680427491489
X600015.CH.EQUITY,0,0,0,0,0,0,0,0.238608199317336,0.0243070480367542,0,0,0,0.365219803697939,0,0,0.0694613800511894,0,0,0,0,0,0,0,0.0915493023387896,0.084149896201109,0,0,0,0,0,0,0.0554603886234354,0,0,0,0.068547782133983,0,0,0,0,0,0,0,0,0,-0.00469518132978084,0,0,0,0,0,0
X600016.CH.EQUITY,0,0,0,0,0,0,0,0.151087718051099,0.11279594884155,0,0.279964951808347,0,0,0,0,0,0,0,0,0,0,0.143019336234183,0,0,0.31684895982457,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
X600036.CH.EQUITY,0.172151905105448,0.16693619997548,0.123100800271819,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.092275274043089,0,0,0,0,0,0,0.044976698854642,0,0.0448223418155416,0,0,0.214841821488729,0,0.00440048681956915,0.133555540304736,0,0,0,0.0441299245108773,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0175780439773273,0
X601166.CH.EQUITY,0.023785439709093,-6.93889390390723e-18,0,0,0,0.345218519834296,0,0,0,0,0,0.200706490933999,0.0524036635453761,0,0.0257022278158418,0,0,0,0,0,0,0,6.93889390390723e-18,0,0,0.00933357603583469,0,0,0,0,0,0,0.510097988635009,0,0,0,0,0,0,0,0,0,0,0,0,0.0335936915149792,0,0,0,0,0,0
X601169.CH.EQUITY,0,0.0385066121412216,0.274661936168747,0.411173653492591,0,0,0,0,0,0,0.245426431665584,0,0,0,0.10935783709143,0,0,0,0,0,0,-0.0710446466128238,0,0.0493114363788808,0,0,0,0.0116599348087917,0,0.0610091053858885,0,0,0,0,0,0,0,0,-0.0533645770787098,0,0,0,0,0,0,0,0,0.0144250307371274,0,0,0,0
X601229.CH.EQUITY,-0.0598694974569018,0,0,0,0,-0.0732807090325531,0,0,0,0.184931586507184,0,0,0,0.366833905004024,0,0,0,0,0.0101294438810916,0,-0.124555972018918,0,0.128879593625961,0,0,0.269605764567503,0,0,0,0,0,0,0.207174250298658,0,0,0,-0.138279602692006,0,0,0.200068755404111,0,0,0,0,0,-0.0913809974917976,0,0,0,-0.093590779047878,0,0
X601288.CH.EQUITY,0,0,0,0,0,0,0,0,0.220592950812956,0,0,0.496447201815756,0,0.138272384193282,0.0422132428264789,0,0,0,0,0,0,0,0,0.158574696319506,0,0,0,0,0,0,0,0,-0.0131540498018248,0.0234389504387303,0,0.0353865395966487,0,0,0,0,0,0,0,0.00974105856746206,0.135978215887066,0,-0.00374697971712162,0,0,-0.00735825015313956,0,0.0730346519016076
