,X601398.CH.EQUITY,X601939.CH.EQUITY,X601318.CH.EQUITY,X601288.CH.EQUITY,X601988.CH.EQUITY,X600036.CH.EQUITY,X1299.HK.EQUITY,X5.HK.EQUITY,X601628.CH.EQUITY,X601658.CH.Equity,X601328.CH.EQUITY,X601166.CH.EQUITY,X600000.CH.EQUITY,X388.HK.EQUITY,X000002.CH.EQUITY,X600030.CH.EQUITY,X16.HK.EQUITY,X000001.CH.EQUITY,X688.HK.EQUITY,X600016.CH.EQUITY,X601319.CH.EQUITY,X601601.CH.EQUITY,X2388.HK.EQUITY,X11.HK.EQUITY,X601066.CH.EQUITY,X601998.CH.EQUITY,X1109.HK.EQUITY,X2007.HK.EQUITY,X267.HK.EQUITY,X600048.CH.EQUITY,X601818.CH.EQUITY,X1113.HK.EQUITY,X002142.CH.EQUITY,X601688.CH.EQUITY,X601211.CH.EQUITY,X12.HK.EQUITY,X001979.CH.EQUITY,X823.HK.EQUITY,X2882.TT.EQUITY,X300059.CH.EQUITY,X600837.CH.EQUITY,X601336.CH.EQUITY,X601229.CH.EQUITY,X600999.CH.EQUITY,X000166.CH.EQUITY,X601169.CH.EQUITY,X2881.TT.EQUITY,X600015.CH.EQUITY,X2886.TT.EQUITY,X000776.CH.EQUITY,macro_return_add
X601398.CH.EQUITY,0,0.434900061011447,0.0598358536452156,0.115445776404809,0,0.0387825583510204,0,0,0.236120940235204,-0.0718661533615524,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0905500983443284,0,0,0,0,0,0,0,0,0,0,0,0,0,0.028120252094971,0,0,0,0,0,0,0,0,0,0,0.0903605065217895,0,0
X601939.CH.EQUITY,0.511155018769956,0,0,0.105241605135186,0,0,-0.113824533380738,0,0,0,0.0181570140320608,0,0.375724227563244,0,-0.00998195126275608,0,0,0,0,0,0,-0.151187787861142,0,0,-0.000508290429266522,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.101777593915041,0,0,0.00525026351277172
X601318.CH.EQUITY,0,0,0,0,0.22293029084622,1.73472347597681e-18,0,0,0,0,0,0,0,0,0.047251481686904,0,0,0,0,0,0,0.196567441164418,0,0,0,0,0,-8.67361737988404e-19,0,0,0,0,0,0,0,0,0,0.239102325383929,0,0,0,0,0.212081920345115,0,0,0,0,0,0,0.0760830145673651,0
X601288.CH.EQUITY,0.500935299677371,0,0,0,0.198609271370876,0,0,0,0,0,0,0,0.0745486636300399,0,0,0,0,0,0,0.0127408502846931,0.116977547115044,0,0,0,0,0,0,1.73472347597681e-18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0502460196988639,0,0,0,0,0,0,0,0
X601988.CH.EQUITY,0,0,0,0.541986970026487,0,0,0,0,0,0.259382417718339,0,0,0,0,0,0.257874589614155,0,0.0171787499804334,0,0,0,0,0,0,0,0,0.0933509074508067,0,0,0,0,0,0,0,0,0,-0.379196202480482,0,0,0,0,0,0,0,0,0,0,0,0,0,0.202992328767587
X600036.CH.EQUITY,0,0,0,0,0,0,0,0,0,0,0,0.300686705191929,0,0,0,0,0,0.0724604689350727,0,0,0,0,0,0.00853626591015676,0,0,0,0,0,0.0441994807917676,0.186446478193822,0,0.0788253616536151,0,0,0,0,0.00294248937629493,0,0,0,0.180418140618874,0,0,0,0,0.111096686992425,0,0.0165711700927363,0,0
X1299.HK.EQUITY,0.0764880102191912,0,0,0,0,0,0,0,0.135198194827801,0,0,0,0.101687123123064,6.93889390390723e-18,0,0,0,0,0,0,0,0,0.0102383267098726,0,0,0,0,0.226861800567872,0,0,0,0,0,0,0,0.17602956029544,0,0,0,0,0,0,0.0714894945542434,0,0,0,0.107194738635974,0,0,0,0
X5.HK.EQUITY,0,-0.0986187102874643,0,0,0,0,0,0,0,0,0,0,0.215748581675817,0,-0.156689437596667,0,0,-0.295941912441674,0,0,0.13018606979325,0,-0.289366113410832,0.553027177337175,0,0,0,0,0.688402166259773,0,0,0,0,0,0,0,0,0,0.322142595426057,0,0,0,0,-0.264749037904531,0,0,0,0,0,0,0
X601628.CH.EQUITY,0,0,0,0,0,0,-0.0127157763022433,0,0,0,0,0,0,0,0,0,0,0,0,0,0.13939202121682,0.215669413535016,0,0,0.0108499677858279,0,0,0.116935372177563,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.271104774756736,0.150647989995359,0,0.0153273611940102
X601658.CH.Equity,0,0,0,0.0690440490346391,0.0713109487355458,0,0,0,0,0,0,0,0.254138616414298,-0.0390143858406682,0,0,0,0,0,0,0.0156500700130416,0,0,0,0,0,0.210728198065959,0.121756788388054,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.361962170873937,0,0,0
