,X601398.CH.EQUITY,X601318.CH.EQUITY,X601939.CH.EQUITY,X601288.CH.EQUITY,X5.HK.EQUITY,X601988.CH.EQUITY,X600036.CH.EQUITY,X1299.HK.EQUITY,X601628.CH.EQUITY,X601328.CH.EQUITY,X601166.CH.EQUITY,X600000.CH.EQUITY,X601319.CH.EQUITY,X11.HK.EQUITY,X16.HK.EQUITY,X000002.CH.EQUITY,X388.HK.EQUITY,X601601.CH.EQUITY,X2388.HK.EQUITY,X267.HK.EQUITY,X688.HK.EQUITY,X600016.CH.EQUITY,X601998.CH.EQUITY,X600030.CH.EQUITY,X000001.CH.EQUITY,X2007.HK.EQUITY,X1109.HK.EQUITY,X601818.CH.EQUITY,X1113.HK.EQUITY,X823.HK.EQUITY,X12.HK.EQUITY,X001979.CH.EQUITY,X600048.CH.EQUITY,X601688.CH.EQUITY,X1997.HK.EQUITY,X601211.CH.EQUITY,X601336.CH.EQUITY,X601066.CH.EQUITY,X600837.CH.EQUITY,X601229.CH.EQUITY,X601169.CH.EQUITY,X002142.CH.EQUITY,X600015.CH.EQUITY,X000166.CH.EQUITY,X2882.TT.EQUITY,X17.HK.EQUITY,X2881.TT.EQUITY,X002736.CH.EQUITY,X600999.CH.EQUITY,macro_return_add
X601166.CH.EQUITY,0.214297932320536,0,0.0270658045832858,0,0,0,0.249172110302851,0,0,0.00958331195127795,0,0.265601601269184,-0.0392900903141704,0,0,0.00841801961686747,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.144357839370939,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
X600000.CH.EQUITY,0,0,0.158788158921003,0,0.0961694949802476,0,0,0,0,0.122623881166078,0.500964988901777,0,0,0,0,0,1.38777878078145e-17,0,0,0.0643311842851251,0.198683881468693,0,0,0,0,0,0,0,0.197690232294111,0,0,0,0,-0.14099242950221,0,-0.203576886512237,0,0,0,0.0648445922887589,0,0,0,0,0,-0.159804234632364,0,0,0,0
X601319.CH.EQUITY,0,-1.73472347597681e-18,0,0.133755156050018,-0.207440265417681,0,-0.0596970129302663,0,0,0,0,0,0,0.106136995191585,0,0,0,0,0,0.272446630793089,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.128211152445797,0,0.118114622903569,0.0407217464979781,-0.0416186712371745,-0.0537214512877227,0,0,0,0.0809486225054441,0,0,0,0.395382167524655,0,0
X11.HK.EQUITY,0,0,0,0,1.38777878078145e-17,0.197614789675103,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0863010988750865,0,0,0,0,0.193978020776537,0.0263684028411425,0,0,0,0.595235078830319,0,0,0,0,0,0,0.126164120550131,0,0,0,0,0,0,0.138762896357923,0,0.106809950279389,0,0,0,0
X16.HK.EQUITY,0,-0.0795077202958212,0,0,0,0,0,0,0,0,0,0,-0.0319319369308694,0,0,0,0,-0.23823229812448,0,0,0,0,0,0,0,-0.102843290286185,0,0.0307029112143063,0,0.200079180284337,0.220474526105071,0,0.214094471297902,0,0.670312823524293,0,0,0,0,0,0,0,0,0,0,0,-0.101161910293646,0,0,-0.0110773173564664
X000002.CH.EQUITY,0,0,0,0,0,0.0324699969798543,0.0353146889837375,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.040350557212582,0.0120931811834058,0,0,0.738940296587261,0,0,0.0667004043406413,0,0,0.0590201537529816,-0.0598721592448355,0,0,0,0,0,0,0.142666283103674,0,2.16840434497101e-19,0
X388.HK.EQUITY,0,0,0,0,0,0,0,0.401311026342373,0.22929853189575,0,0,0.292377935433571,0,0,0,0,0,0,0.165426775715576,0,0,0,0,0,0,0,0.064446253190747,0,0,0.0936445767581333,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0201435391289422,0
X601601.CH.EQUITY,0.0130226295852072,0.100311083108972,-3.46944695195361e-18,0,0,0,0.0491643155845093,0,0.221777905237406,0,0,0,0,0.10392012003595,0,0,0,0,0,0,0,0.154559470857601,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.293425731013489,0,0,0,0,-8.67361737988404e-19,0,0,0,0,0,0,0,0.0215787718883396
X2388.HK.EQUITY,0,0.234143457803158,0,-0.0857840177430708,0.305526818049079,-0.519136193431675,0,0,0,0,0,0,0,0,0,0,0.500737254148495,0,0,0,0,0,0,0,0,0.129947936441511,0.243851240084789,0,-0.193267747398284,-0.201026123446422,0,0,0,0,-0.0358783923840414,0,0,0,0,0,0,0.104222867030028,0,0,-0.110210855412643,0,-0.0459422077521636,0,0,0
X267.HK.EQUITY,0,0,0,0.0941817957970656,-6.93889390390723e-18,0,0,-0.040238472331154,0,0,0,0,0,-0.149605247037208,0,0,0,-0.352018862964065,0,0,0,0,0,0,0,0,0,0,0,0.339581221868165,0,0,0,0,0,0,0,0.0272747882305426,0,0.352377720517813,0.312753330510513,0,0,0,-0.0225615247555978,0.295504239438438,-0.23907751353749,0,0,0
X688.HK.EQUITY,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0473461928921899,0,0,0,0,0,0.0702251592316538,0,0,0,0,0,0,0.376230555503164,0,0.148142659415178,0,-0.169236673521635,0,0.13174961881849,0,0,0,0,0,0,0,0,0.128329422494264,0,0,-0.180983581524232,0.107684624780346,0,0,0,0.0966011217459921
X600016.CH.EQUITY,0,0,0,0.104518046646287,0,0,0,0,0,0.0281971033393413,0,0.310901545528021,0,0,0,0,0,0.114201338633427,0,0,0,0,0,0,0.0133995748817254,0,0,0,0,0,0,0,0,0,0.00160862638805465,0,0,0,0,0.129277294303284,0.0558610089832538,0.075450752426483,0.197885819452199,0,0,0,0,0,0,0
X601998.CH.EQUITY,0.124738420302597,0,-1.73472347597681e-18,0.102707054978045,0.0206283990500621,0,0,0,0,0.0966879541148167,0.147117270165977,0,0,0,0,0,0,0,0,0.0367650026140368,0,0,0,0,0.175369862565845,0,0,0,0,0,0,0,0.0919297878902731,0,0,0,0,0,0,0,0,0,0.0828845028419235,0,0,0,0,0,0,-0.0518267875923154
X600030.CH.EQUITY,0,0,0.0301941756928383,0,-0.0107720117841535,0,0,0,0,0,0,0,0.136259485210894,0,0,0.0559163057825287,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0955691797018203,0.119781259859059,0,0.219483635972961,0.0200194742830933,0,0.396682401877362,0,0,0,0,0,0,0,0,0.0200697181282571,-8.67361737988404e-19,0
X000001.CH.EQUITY,0,0.0555444299139634,0,0,0,0.120634509790637,0.0701066760281237,0,0.0947751674180302,0,0,0,0,0,0,0,0.012480557976391,0.0745065323660956,0,0,0,0,0,0,0,0,0,0.0520585448503011,0,0,0,0.0757718501285013,0,0,0,0,0,0,0,0,0,0.132625824511412,0.0670697585543924,0,0,0,0,0,0.132914923225279,0
X2007.HK.EQUITY,0,0.250740550916811,0,-0.188886321332772,0.0843215016755647,0,0,0,0,0,0,0,0,0.0849955257252386,0,0.195206992953834,0,0,0.0287526412930212,0.0456302331089448,0,0,0,0,0,0,0,0,0.240359792016178,0,0,-1.73472347597681e-18,0,0,-0.0747819192188801,0,0,0,0,0.111767766091466,0,0,0,0,-0.144060366737879,0,0,0,0,0
X1109.HK.EQUITY,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0400162856165082,0,0.14762185745778,0,0.0274322734384554,0,0.282979456024749,0,0,0,0,0,0,0.282109873812718,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0583000834947087,0,0,0,-0.29343592674216
X601818.CH.EQUITY,0,0,0,0,0,0,0.207791628700641,0,0,0.307146531561358,0,0,0,0,0.00374769107598287,0,0,0,0,0,0,0.423571471219412,0,0,0,0,0,0,0,0,0,-6.7762635780344e-21,0,0,0,0,0,-0.0275456730657914,0,0,0,0,0,0,0,0,0,0.133086608421898,0,0
X1113.HK.EQUITY,-0.120107355893916,0,0,0,0,0,0,0.0952717146751738,0,0,0,0,0,0,0,0.124310326433147,0,0,0,0,0.0270575094163412,0,-0.0903282444830051,0,0,0.160334746035559,0,0,0,0,0,0,0,0,0.190029598566644,0,0,0,0,0,0,0,0,0,0,0.17120995099249,0,0,0,-0.069462400156695
X823.HK.EQUITY,0,0,0,0,0,0,0,0,0,0,0,-0.211800091214157,0,0,0.221392410151129,0,0.121784246900426,0,0,0,0,0,0,0,0,0,0,0,0.120618569848972,0,0,0,0,0,0.0956649503101096,0,0,0,0,0,0,0,0,0,0,0.0883813915495899,0,0,0,-0.00032708546936926
X12.HK.EQUITY,0,0,0,0,0,-0.190851236338273,0,0.425000027872225,0,0,0,0,0,0,0,0,0,0,0,-0.213871566778664,-0.0290892395354337,0,0,0,0,0,0,0,0.0489735683712568,0.336258367984328,0,0.660466186597632,0,0,0,0,0.449226104029639,0,0,0,0,0,0,0,0,0.0923847896247723,-0.0801164646779453,0,0,0.0527110200007107
X001979.CH.EQUITY,0,0,0,0.106105392380849,0,0,0,0,0,0,0,0,0,0,0,0.197486432454498,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0823550833873956,0.0412659556841517,0,0.186357580031263,0,0,0,0,0,0.166383758116011,0,0,0,0,0,0,0,-0.043446410909611,0,0.105269413779929,0
