,X601398.CH.EQUITY,X601318.CH.EQUITY,X601939.CH.EQUITY,X601288.CH.EQUITY,X5.HK.EQUITY,X601988.CH.EQUITY,X600036.CH.EQUITY,X1299.HK.EQUITY,X601628.CH.EQUITY,X601166.CH.EQUITY,X601328.CH.EQUITY,X600000.CH.EQUITY,X000002.CH.EQUITY,X000001.CH.EQUITY,X16.HK.EQUITY,X601601.CH.EQUITY,X388.HK.EQUITY,X11.HK.EQUITY,X688.HK.EQUITY,X601319.CH.EQUITY,X601998.CH.EQUITY,X600016.CH.EQUITY,X267.HK.EQUITY,X2388.HK.EQUITY,X600030.CH.EQUITY,X1109.HK.EQUITY,X2007.HK.EQUITY,X601818.CH.EQUITY,X600048.CH.EQUITY,X1113.HK.EQUITY,X12.HK.EQUITY,X601066.CH.EQUITY,X823.HK.EQUITY,X002142.CH.EQUITY,X001979.CH.EQUITY,X601688.CH.EQUITY,X601211.CH.EQUITY,X600837.CH.EQUITY,X601229.CH.EQUITY,X2882.TT.EQUITY,X601336.CH.EQUITY,X1997.HK.EQUITY,X601169.CH.EQUITY,X600015.CH.EQUITY,X000166.CH.EQUITY,X2881.TT.EQUITY,X600999.CH.EQUITY,X2891.TT.EQUITY,X2886.TT.EQUITY,macro_return_add
X601398.CH.EQUITY,0,0.19755116294197,0,0.0211406359554968,0,0,0,0,0,0,0.344060158112698,0.166333663899418,0,0,0,-0.129252413773332,0,0,0,0,0,0,0,0,0,0,0,0.00941234609535672,0.0274545237703468,0,0,0,0.221498755293731,0,0,0,0,0,0.0466101819529532,0,0,0.0834478581377533,0,0,0,0.0237930759007147,0,0,0,0
X601318.CH.EQUITY,0,0,0,0,0,0.0929878048352413,0,0,0.271267782779253,0,0,0.321186259974579,0,0,0,0.106174689547831,0,0,-0.0326887930229078,0,-0.0631071679961763,0,0.0482388512273397,0,0,0,0,0,0,0,0,0,0,0.110173185191321,0,0,0,0,-0.276574730727242,0,0.138213812297011,0.00940577490848778,0.127032493972942,0,0,0,0,0.0328523980084982,0,0
X601939.CH.EQUITY,0.485917870774059,0,0,0,0,0.180746641834253,0,0,0,0,0,0,0,0.0693197104255569,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.368027022543766,-0.110984964383359,0,0,0.0439857188211433,0,0,-0.0473907665563347,0,0,0,0
X601288.CH.EQUITY,0.531653581543715,0.091237949581736,0.17087249574756,0,0.0691200722447962,0.0048391887807936,0,0,0,0,0,0,0,0,0.00341230154176324,-0.0686735244767935,0,0,0,0,0,0,-0.0644707946978556,0,0,0,0.0247828787516781,0,0,0,0,0.0925633105063519,0,0,0,0,0,0.0952951178584027,0.190313331934139,0,0,0.0395847377840295,0,0,0,0,0,0,0,-0.0364525766725842
X5.HK.EQUITY,0.00730824887272632,-0.0379151920724746,0.130353860776112,0,0,0.0911229955226162,0,-0.138687989408858,0,0,0.0985378147907609,0.202845575780175,0,0,0,0,0,0.662907677836512,0,0,0,0,0,0,0,0,-0.183616734562754,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.121734705297298,0,0,0,0
X601988.CH.EQUITY,0.129599065611286,0,0.185347367852099,0.0813604367378004,0,0,0,0,0.0954901738389137,0.0912472594176504,0.138599166200457,0,-0.281187035266178,0,0,0,0,0,-0.0307118160088965,0,0,0.224172452584316,0,0,0,0,0.16812493835356,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
X600036.CH.EQUITY,0,0.273182837055047,0,0,0,0,0,0,0,0,0,0.0873570354404138,0,0.174245624340209,0,0.103592773134579,0,0,0.0056441280019499,0,0,0,0,0.0816831798859355,0,0,0,0,0,0,0,0,0,0.161227303571681,0,0,0,0,0,0.0903944483867983,0.0010016230103314,0,0,0,0,0,0.0663973230741196,0,0,0
X1299.HK.EQUITY,0,0,0,0,0,-0.0294964027262942,0.125579517006289,0,0,-3.46944695195361e-18,0,-0.00879039502396283,0,-0.0131875550833098,0,0,0.139136658008447,0.234361459623637,0,0,0,0,0.177166306515126,6.93889390390723e-18,0,0,0.22296602968946,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.165979299667775,0
X601628.CH.EQUITY,0.237381692695802,0.289628369543644,0,0.0140292451593782,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00421498768448692,0,0,0,0,0,0,0,0.0608878774802487,0,0,0,0,0.0892224941602484,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0390309550532305,0,-0.177265056763073,0,0.214323699552833
X601166.CH.EQUITY,0.200706490933999,0,0,0,0,0.0257022278158418,0.345218519834296,0,0,0,0,0,0,0.023785439709093,0,0.510097988635009,0,0,0,0,0,0,0,0,6.93889390390723e-18,0,0.0335936915149792,0.0524036635453761,0,0,0,0.00933357603583469,0,-6.93889390390723e-18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
