,X601398.CH.EQUITY,X601318.CH.EQUITY,X601939.CH.EQUITY,X600036.CH.EQUITY,X601288.CH.EQUITY,X601628.CH.EQUITY,X1299.HK.EQUITY,X601988.CH.EQUITY,X5.HK.EQUITY,X601166.CH.EQUITY,X388.HK.EQUITY,X601658.CH.Equity,X000001.CH.EQUITY,X600030.CH.EQUITY,X601601.CH.EQUITY,X000002.CH.EQUITY,X601328.CH.EQUITY,X600000.CH.EQUITY,X601066.CH.EQUITY,X16.HK.EQUITY,X601319.CH.EQUITY,X300059.CH.EQUITY,X11.HK.EQUITY,X2388.HK.EQUITY,X600016.CH.EQUITY,X601998.CH.EQUITY,X002142.CH.EQUITY,X600048.CH.EQUITY,X601818.CH.EQUITY,X1109.HK.EQUITY,X2007.HK.EQUITY,X600999.CH.EQUITY,X688.HK.EQUITY,X601688.CH.EQUITY,X601336.CH.EQUITY,X601211.CH.EQUITY,X600837.CH.EQUITY,X267.HK.EQUITY,X1113.HK.EQUITY,X2882.TT.EQUITY,X12.HK.EQUITY,X002736.CH.EQUITY,X823.HK.EQUITY,X000166.CH.EQUITY,X2881.TT.EQUITY,X601229.CH.EQUITY,X600918.CH.Equity,X000776.CH.EQUITY,X001979.CH.EQUITY,X601169.CH.EQUITY,macro_return_add
X000002.CH.EQUITY,0,-0.15772878158702,0,0.121827518075993,0,0,0,0,0,0,-0.0172808793372714,0.111792919269924,0,0,0,0,0,0,0,0,0,0,0.0288311181208788,0,-0.181681477853167,0.284687367130109,0,0.591926284388559,0,0,0.0442350889439922,0,0,0,0,0,0,0,0,0,0,0,0,0.0395755399713291,0,0,0,0,0,0,0
X601328.CH.EQUITY,0,0,0,0,0,0,0,0,0,-4.33680868994202e-19,0,0.139468463291324,0,0,0,0,0,0.291005210919177,0,0,0,0,0,0,0.126914098320353,0,0,0,0,0,0,0,0,0,0,0,0,0.148640105605047,0,0.0191852107572308,0,0,0,0,0,0,0,0,0,0,0
X600000.CH.EQUITY,0,0.160265393320356,0,0.048522047228681,0,0,0,0,0,0.0353963284809764,0,0,0,0,0,0,0.418168992512755,0,0,0,0,0,0,0.0574118765357346,0,0.0860256419640435,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0282891322254479,0,0,0,0,0,0.0297019096158807,0,0,0
X601066.CH.EQUITY,0,0,0,0,0,0,0,0,0,0,0,0.119579581946114,0,0.778816019764122,-0.0118333877683442,0,0,0,0,0,0,0,-0.0984909963512962,-0.176314701309436,0,0.105907297130934,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1.38777878078145e-17,0,0,0,0.00732361982363352,0,0,0,0,0.150549005922642
X16.HK.EQUITY,0,0,0,0,0,0,0.0668738753389905,0,0,0,0,-0.00576251866249301,0,0,0,0,0,0,0,0,0,0,0,0.0553049603693584,0.15362937564722,0,0,0,0,0.254669669311979,0,0,0,0,0,0,0,0,0.0510242208774664,0,0.288413884631529,0,0.160929376958007,0,-0.0745075590830537,0,-0.223879154697061,-0.449821145912376,0.00792645796492802,0,0
X601319.CH.EQUITY,0,0,0.073484460627587,0.0610538117084999,0,0,0,0,0,0,0,0,0.19887103271245,0,0,0,0,0,0,-0.0234251279228976,0,0,0,0,0,0,0,0,0,0,0,0,0.106032343580282,0,0.218483078749523,0,0,0,0,-0.0048019618876177,0,0,0,0,0,0.324159427481783,0.282815517773698,0,0,0,0
X300059.CH.EQUITY,0,0.0661025891641821,0,0,0,0,0,0,0,0,0.117962666701257,0.019226611185145,0,0.245546775008592,0,0,-0.0617750135662174,0,0.00781765933783713,0,0,0,-0.044666952216998,0,0,0,0,0,0,-0.00462351069946716,0.0196532759860975,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.00903380104264703,0.396955537611788,0.236972210909199,0,0,0.0342444480029931
X11.HK.EQUITY,0,0,0,0,0.0937715417640265,0.0223031182651266,0,0.0612123702605059,0.572141167769726,0,0.0650491010076071,0,0,0,0,0,0,0,0,0,0,0,0,0.290087297091078,0,0,0,0,0,0,0,0,0.125186167282387,0,0,0,0,0.0764955613687474,0,0,0,0,0,0,0,0,0,0,0,0,0.0330744163825057
X2388.HK.EQUITY,0,0,0,0,0,0,0,0,0.000547193726610778,0,0,0.158034210547011,0,0,0,0,0,0,-0.0544613017363966,0,0,0,0.380648499434711,0,0,0,0,0,0,0,0,0,0,0,-0.0746513246082902,0,0,0,0,0,0,0,0,0,0,0,-0.00459425477126696,0,0.449094687965434,0.0176406093233272,0
X600016.CH.EQUITY,0,0,0.0886066476722348,0,0,0.123354540801541,0,0,0,0,0,0,0,0,0,0,0.131467538961557,0,0,0.00863100614581642,0,0,-0.149541236463491,0,0,0,0,0.0709943981159156,0.0726046666061477,0.0353060360203537,0.103499822725841,0,0,0.52007198075083,0,0,0,0,0,0,0,0,0,-0.425156186099549,0,0,0,0,0.119902329365281,0.290470027793895,0
