,X601398.CH.EQUITY,X601939.CH.EQUITY,X601318.CH.EQUITY,X601288.CH.EQUITY,X601988.CH.EQUITY,X600036.CH.EQUITY,X1299.HK.EQUITY,X5.HK.EQUITY,X601628.CH.EQUITY,X601658.CH.Equity,X601328.CH.EQUITY,X388.HK.EQUITY,X601166.CH.EQUITY,X600000.CH.EQUITY,X000002.CH.EQUITY,X600030.CH.EQUITY,X16.HK.EQUITY,X000001.CH.EQUITY,X601601.CH.EQUITY,X688.HK.EQUITY,X601319.CH.EQUITY,X600016.CH.EQUITY,X11.HK.EQUITY,X2388.HK.EQUITY,X601066.CH.EQUITY,X601998.CH.EQUITY,X1109.HK.EQUITY,X267.HK.EQUITY,X2007.HK.EQUITY,X601818.CH.EQUITY,X600048.CH.EQUITY,X002142.CH.EQUITY,X1113.HK.EQUITY,X601688.CH.EQUITY,X12.HK.EQUITY,X601211.CH.EQUITY,X001979.CH.EQUITY,X2882.TT.EQUITY,X823.HK.EQUITY,X300059.CH.EQUITY,X601336.CH.EQUITY,X600837.CH.EQUITY,X601229.CH.EQUITY,X2881.TT.EQUITY,X600999.CH.EQUITY,X000166.CH.EQUITY,X601169.CH.EQUITY,X2886.TT.EQUITY,X600015.CH.EQUITY,X2891.TT.EQUITY,macro_return_add
X601398.CH.EQUITY,0,0.500675139207666,0.152334268748543,0,0,0.05130656716065,0,0,0,-0.0669800544507196,0.0662360125474,0,0,-0.0424279783852338,0,0,0,0,0.0180626485636082,0,0,0,0,0,0,0,0,0,0,0,0.0188090433860741,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0324132990790529,0.0895957483011692,0
X601939.CH.EQUITY,0.433182267543973,0,0,0.167252430835522,0,0,0,0,-0.0234034964574755,0,0.137770360549731,0,0,0,-0.0805924908715434,0,0,0,0,0,0,0,0,0,-0.0065765126586507,0.180278058114798,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0829579000196788,0,0.0225899962969435
X601318.CH.EQUITY,0,0,0,0,0.198156499375944,0.0621907706688688,0,0,0,0,0,0,0,0,0.128575101110016,0,0,0,0.298399979833065,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.128483813635319,0,0,0,0.137835043980967,0,0,0.0024695014786768,0,0,0,0,0
X601288.CH.EQUITY,0.297081833964794,0.0954127431847005,0,0,0.176906390421788,0,0,0,0,0,0.00184361818037141,0,0,0.190645191951853,0,0,0,0,0,0,0,0.0461792391479366,0,0,0,0,0,0,0,0,0,0,0,0.123601586814752,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
X601988.CH.EQUITY,0,0,0,0.339851081763651,0,0,0,0,0,0.290964807990231,0,0,0,0,0.0515896284498125,0.130932986998055,0,0.0873389925956063,0,0,0.116985118464039,0,0,0,0,0,0.053024443608788,0,0,0,0,0,0,0,0,0,-0.517932412705345,0,0,0,0,0,0,0,0,0,0,0,0,0,0.344941907313535
X600036.CH.EQUITY,0,0.0701118346679264,0,0,0,0,0,0,0,0,0,0,0.18396127327313,0,0,-8.67361737988404e-19,0,0,0.283824188576534,0,0,0.00828139764261702,0,0,0,0,0,0,0,0,0,0.283086402270445,0,0,0,0,0,0.0052079454609105,0,0,0.0664105403404516,0.050951553294716,0,0.0209815783199251,0,0,0,0.0947448818286069,0,0,0
X1299.HK.EQUITY,0,0,-4.33680868994202e-19,0,0,0,0,0,0,0,0.0886131500631273,0,0,0.182195509932174,0,0,0.292118501785189,0,0,0,0,0,0,0.136809405439325,0,0,0,0,0.0906373082281115,0,0,0,0,0,0,0,0,0,0.150536458713782,0,0.0365261062105145,0,0,0,0,0,0,0,0,0,0
X5.HK.EQUITY,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.255933440845894,0,0,-0.222294616554644,0,0,0,0,0.269289882469945,-0.150280726947219,0,0.226036449711313,0,0.799355476071714,0,0,0.0930466751433813,0,0,0,0,0,0,0,-0.0295136175365718,0,0,0,0,0,-0.158507003413962,0,0,0.271652909233044,0,0,0
X601628.CH.EQUITY,0,0,0,0,0,0.0952948309693887,0,0,0,0,0,-0.160990493052536,0,0,0,0,0,0,0.300796044530681,0,0,0,0,0,0,0.0302533294847215,0,0,0,0,0,0,0,0,0,0,0,1.73472347597681e-18,0,0,0.220918933645635,0,0,0,0,0,0,0.196431132298501,0,0,0
X601658.CH.Equity,0,0,0,0.155744591757361,0.171207074669665,0,0,0,0,0,0,0,0,0.152467565031151,0,0,0,0,-0.0861556681442413,0,0.0636013653629592,0,0,0,0,0,0.0038156220510627,0,0.0841581885746572,0,0,0,0,0,0,0,0.0135363606179796,0.258254614269168,0,0,0,0,-0.0196009277510184,0,0,0,0,0,0.392779185217229,0,0
X601328.CH.EQUITY,0.224338750485118,0,0,0.355040033122213,0,0,0,0,0,0,0,0.0315034905324757,0,0,0,0.139030251754196,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0801805628395616,0.0231329973875126,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.102962764917888,0.0632018113431013,0
X388.HK.EQUITY,0,0,0.42000412364133,0,0,0,0,0,0,0,0,0,-2.16840434497101e-19,0,0,0,0.0893080789991289,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0413410741803954,0,0,0,0,0,4.33680868994202e-19,0,0,0,0,0,0,0,0,0.0021705106182284,0,0,0
X601166.CH.EQUITY,0,0,0,0,0,0.376004845316488,0,0,0,0,0.0477412566336685,0,0,0,0,0,0,0.037649550775754,0,0,0,0.0297324886049064,0,0,0,0,0,0,0,0.243014308419214,0.0292330537602801,0,0,0,0,0,0,0,0,0,0,0,0.0415502073809442,0.0143610322903888,0,0,0,0.0789536587593618,0.106945501037003,0,0
X600000.CH.EQUITY,0.0459806613209071,0.137481300713684,0,0.068817399300579,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0876502918371142,0,0,0.0841676094399026,0.157931616160475,0,0,0,0,0,0,0.0107365630257392,0,0,0,0,0.0878353303726699,0,0,0,0,0,0,0,0,0,0.157755449050676,0,0,0,0,0,0,0
