,X601398.CH.EQUITY,X601318.CH.EQUITY,X601939.CH.EQUITY,X601288.CH.EQUITY,X5.HK.EQUITY,X601988.CH.EQUITY,X1299.HK.EQUITY,X600036.CH.EQUITY,X601628.CH.EQUITY,X601328.CH.EQUITY,X601166.CH.EQUITY,X601319.CH.EQUITY,X600000.CH.EQUITY,X16.HK.EQUITY,X000002.CH.EQUITY,X11.HK.EQUITY,X601601.CH.EQUITY,X388.HK.EQUITY,X2388.HK.EQUITY,X267.HK.EQUITY,X688.HK.EQUITY,X600030.CH.EQUITY,X601998.CH.EQUITY,X600016.CH.EQUITY,X000001.CH.EQUITY,X2007.HK.EQUITY,X1109.HK.EQUITY,X1113.HK.EQUITY,X601818.CH.EQUITY,X12.HK.EQUITY,X823.HK.EQUITY,X601688.CH.EQUITY,X600048.CH.EQUITY,X001979.CH.EQUITY,X601211.CH.EQUITY,X601336.CH.EQUITY,X600837.CH.EQUITY,X1997.HK.EQUITY,X601066.CH.EQUITY,X601229.CH.EQUITY,X002142.CH.EQUITY,X601169.CH.EQUITY,X000166.CH.EQUITY,X600015.CH.EQUITY,X2882.TT.EQUITY,X002736.CH.EQUITY,X17.HK.EQUITY,X600999.CH.EQUITY,X2881.TT.EQUITY,macro_return_add
X601398.CH.EQUITY,0,0,0,0,0,0,0,0.0408085680998841,0,0,0.353127822194273,0,0,0,0,0,0.113236396158699,0,0,0.221859437491268,0,0,0,0,0.106950201250989,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.308314755890202,0,0,0,0,0,0,-0.0426065507993532,0,0,0.0688275742151389
X601318.CH.EQUITY,0,0,0,0,0,0,0,0,0.141480331682252,0,0,0,0,0,0,0,0.0384007365437677,0,0.0707816838019153,0,0.0517154087291653,0,0,0,0,0.122169885057459,0,0.0508556091347616,0,0,0,0,0,0,0,0.24909112012985,0,0,0,0.232077007412554,0,0.00658760274344609,0,0,0.0338522337290218,0,0,0,0,-0.0128970870604318
X601939.CH.EQUITY,0.250015605611567,0,0,0,0,0,0,0,0,0.0429108473340802,0,0,0,0,-3.46944695195361e-18,-0.00824577068894384,0,0,0,0,0,0,0.0600499274815506,0,0,0,-0.156451488841145,0,0,0,0,0,-0.00267695909860477,0,0,0,0,0.0431115710618022,0,0.0698962101696106,0.501037037414529,0,0,0,0,0,0,0,0,0.124909420352168
X601288.CH.EQUITY,0,0,0,0,-0.243659265220167,0,-0.238297650612801,0,0,0,0.81774066851266,0,0,0,0.0470827115723099,0,0,0,0,-0.148648342154085,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.010120986040099,0,0,0.103390341915207,0,0,0,0,0,0,0,0,0,0,0,0
X5.HK.EQUITY,0,0,0,0,0,0.13554354596771,0.403617008278313,0,0,0,0,0,0,0,0.182256882464104,0,0,0,0,0,0,0,0.0608214016145801,0,0,0,0.0351162583274041,-0.133452549334939,0,0,0,0,0,0,0,0,0,0.0692512637712889,0,0.158506869098188,0,0,0,0,0,-0.171524268598332,0,0,0.118247356903255,0
X601988.CH.EQUITY,0,0,0,0,0.241377484045862,0,0.021099083745316,0,0.0115864916734835,0,0.131670641266197,0,0,0,0.141092223931446,0,0,0.0190224826624688,0,0,0,0,0,0,0,0,0,0,0,0,-0.233692772823678,0,0.22902534033966,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.00901735204278779,0
X1299.HK.EQUITY,0,0,0,0,0.28478095375953,0,0,0,0,0,0,0,0,0,0,0,0,0.129035148863774,0,0,0.0602015320329666,0,0,0,0,0.0682783905583142,0,0.12063442656428,0,0.0946052713658361,0,0,0,0,0,0,0,0.311333415384802,0,0,0,0,0,-0.202470517415798,0,0,0,0,0,0
X600036.CH.EQUITY,0,0.115559086786121,0,0,0,0,0,0,0,0.375651028105935,0,0,0,0,0,0.111911986187278,0,0,0,0.27809981851909,0,0,0,0,0,0,0,0,0.166735415380878,0,0,0,0,-0.124545313881977,0,0,-0.148458739555816,-0.159665325050068,0,-0.0852324810171833,0,0,0,0.265910399681729,0,0,0,0,0,0.0158146809495092
X601628.CH.EQUITY,0,0.181414858771571,0.0166011976547827,0.0831044512789919,0,0,0,0,0,0,0,0,0,0,0,0,0.212998193644576,0,0,0,0,0,0,0,0.0389195646847712,0,0,0,0,0,0,0,0,0,0.229306187400509,0.0192352925623409,0,0,0,0,0,0.0970762940012218,0,0.0930516463309144,0.112904177768903,0,0,0,0,0
X601328.CH.EQUITY,0,0,0.0676223171456169,0,0,0,0,0.758056093205742,0,0,0,0,0,0,0,0,0,0,0,0.0991147739398879,0,0,0,0.0170661388278526,0,0,0,0,0,0,0,0,0,0.0285063213495652,0,0,0,0,0,0,0,0,0,0.00913710311001553,0,-0.158235410890712,0,-0.0409958822577647,0,0
