,X601398.CH.EQUITY,X601318.CH.EQUITY,X601939.CH.EQUITY,X601288.CH.EQUITY,X5.HK.EQUITY,X601988.CH.EQUITY,X600036.CH.EQUITY,X1299.HK.EQUITY,X601628.CH.EQUITY,X601166.CH.EQUITY,X601328.CH.EQUITY,X600000.CH.EQUITY,X601319.CH.EQUITY,X000001.CH.EQUITY,X601601.CH.EQUITY,X000002.CH.EQUITY,X16.HK.EQUITY,X11.HK.EQUITY,X388.HK.EQUITY,X601998.CH.EQUITY,X267.HK.EQUITY,X600016.CH.EQUITY,X600030.CH.EQUITY,X688.HK.EQUITY,X2388.HK.EQUITY,X601818.CH.EQUITY,X1109.HK.EQUITY,X2007.HK.EQUITY,X600048.CH.EQUITY,X1113.HK.EQUITY,X601066.CH.EQUITY,X12.HK.EQUITY,X601688.CH.EQUITY,X001979.CH.EQUITY,X823.HK.EQUITY,X002142.CH.EQUITY,X601211.CH.EQUITY,X600837.CH.EQUITY,X601229.CH.EQUITY,X601336.CH.EQUITY,X600015.CH.EQUITY,X601169.CH.EQUITY,X2882.TT.EQUITY,X1997.HK.EQUITY,X000166.CH.EQUITY,X600999.CH.EQUITY,X2881.TT.EQUITY,X300059.CH.EQUITY,X002736.CH.EQUITY,macro_return_add
X601398.CH.EQUITY,0,0,0.146923399000468,0,0,0.373042226719409,0,0,0,0,0,0.267235122020627,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0657064480983647,-0.0866620645872763,0,0.0887575207063237,-0.110579758540741,0,0,0,0,0.0292430737113114,0,0,0,0,0.0679819846138145,0,0,-0.132035573005123,0,0,0
X601318.CH.EQUITY,0,0,0,0,0,0,0.149144382869287,0,0.00812846156529257,0,0.00469102616548439,0,0,0.172294283787862,0,0.0474699880790019,0,0,0,0,0,0,0,0.0583978035573061,0,0,0,0,0.0629254836625457,0,0,0,0,0,0,0,0,0,0,0.554006576503656,0,0,0.0352844885985496,-0.0758638550602329,0,0,0,-0.0300757999974247,0,-0.0385076827419521
X601939.CH.EQUITY,0.197872501785419,0,0,0,0,0,0,0,0,0.0286140852949316,0,0,0,0,0,0,0,0,0,0.0719859345843385,0,0,0,0,0.0207739379759978,0,0,0,0,0,0,0,0,0,0.0414784446886868,0.353576544197147,0,0,0,0,0.0319709539269445,0,0,0,0.0747634231547308,0,0,0,0,0
X601288.CH.EQUITY,0,0,0,0,0,0.250004513492812,0,0,0,0,0.00939536946297426,0,0.0378739315665183,0,0,0,0,0,0,0,0.0766885129881962,0,0,0,0,0.211476724541196,0,0,0,0,0,0,0,-0.0474025904610732,0,0,0,0.0791174350787194,0,0.312447052652701,0,0.066888399283209,0,0,0,0,0,0,0,0
X5.HK.EQUITY,-0.0910765770039065,-0.0987468955881255,0,0.0401019986272116,0,0,0,0,0,0.0567644399473524,0,0,0,0,0,0.292728614683273,0,0.354092461052489,0,0.15279492094824,0,0,0,-1.73472347597681e-18,0.30343443487458,0,-0.051439972803239,0,-0.227266947345481,0,0,0,0,-0.1415825478518,0,0,0,0,0,0,0.0789532923289969,0,0.244536507070765,-0.136831827290117,0,0,0,-0.181823309766253,0,0
X601988.CH.EQUITY,0.178249849594705,0,0,0.40805430306079,0,0,0,0,0,0.11165533287512,0,0,0.157512309683908,0,0,0,0,0,0.0305723687209987,0,0,0,0,0,0,0,0,0.0154113433617709,0.0213230057413181,0,0,0,0,0,0,0.126346441295867,0,0,0,0,0,0,0,0,0,0,0,-0.00654960295850966,0,0.13764288242333
X600036.CH.EQUITY,0,0.648312658290531,0.0316343644317224,0,0,0,0,0,-0.00778166548265424,0.0380651844303513,0,0,-0.170660194063867,0,0,0,0,0,0.168465578310732,0,0,0,0,0,0,0,0,0,0.0720025437523109,0,0,0,0,0,0,0,0,0,0,0,0,0,0.247210684974418,0,0,0.0571075292344662,0,0,-0.149706015032817,0.240208706293752
X1299.HK.EQUITY,0,0,1.73472347597681e-18,0,0,0,0,0,0,0,0,0,0,-0.136955727043115,0,0,0,0.369103136229318,0.103680046712198,0,0.20285388041954,0,0,0,0.0310244810737761,0,0.219123928179862,0,0,0,0,0,0,0,0,0.0523584936106662,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.1026056420241
X601628.CH.EQUITY,0,0.160896478917401,0,0,0,0,0,0,0,0,0,0,0.00327484354400473,0,0.274386505311352,0,0,0,0,0,0.00729773329691672,0,0,0.163264317619431,0,0,0,0,-0.0518108030517947,0,0,0,0,0,0,0,0,0.140087700272606,0,0.0989511325442908,0,0,0,0,0,0,0,0,0.109219926204995,0
X601166.CH.EQUITY,0,0,0,0,0,0.325666809406693,0.245948071868236,0,0.0173176264167649,0,0,0,0,0,0.323915945553688,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.242399583276246,0,0,-0.0207014920574996,0,0.335046821023395,0,0,0,0,-0.139319777741223,0,-0.0916442133104009,0,0,0,0,0,0,-0.0441618237244598
