,X601398.CH.EQUITY,X601318.CH.EQUITY,X600036.CH.EQUITY,X601939.CH.EQUITY,X601288.CH.EQUITY,X1299.HK.EQUITY,X601988.CH.EQUITY,X601628.CH.EQUITY,X5.HK.EQUITY,X601166.CH.EQUITY,X388.HK.EQUITY,X601658.CH.Equity,X000001.CH.EQUITY,X601601.CH.EQUITY,X000002.CH.EQUITY,X600030.CH.EQUITY,X600000.CH.EQUITY,X300059.CH.EQUITY,X601328.CH.EQUITY,X002142.CH.EQUITY,X16.HK.EQUITY,X601066.CH.EQUITY,X601319.CH.EQUITY,X601998.CH.EQUITY,X11.HK.EQUITY,X600016.CH.EQUITY,X601818.CH.EQUITY,X2388.HK.EQUITY,X1109.HK.EQUITY,X600999.CH.EQUITY,X2007.HK.EQUITY,X688.HK.EQUITY,X600048.CH.EQUITY,X267.HK.EQUITY,X601688.CH.EQUITY,X601211.CH.EQUITY,X600837.CH.EQUITY,X12.HK.EQUITY,X601229.CH.EQUITY,X601336.CH.EQUITY,X2882.TT.EQUITY,X1113.HK.EQUITY,X823.HK.EQUITY,X002736.CH.EQUITY,X2881.TT.EQUITY,X000166.CH.EQUITY,X1997.HK.EQUITY,X000776.CH.EQUITY,X600926.CH.EQUITY,X601169.CH.EQUITY,macro_return_add
X601398.CH.EQUITY,0,0.00253613419284607,0,0.337312567502222,0.110499479782736,0,0.207654614517523,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.165034761821242,0,0,-3.46944695195361e-18,0,0,0.015893101138753,0,0,0,0.0740009674258547,0,0,0,0,0,0.0457136169757001,0,0.0247965547163993,0,0,0,0,-0.0392302573220817,0,0,0,0
X601318.CH.EQUITY,0,0,0,0.0530015425312394,0,0,0,0,0.188881680909571,0,0,0,0.00443509194199419,0,0.102694109822787,0.0249824020338706,0,0.0456137961163399,0,0,0,0.142881183269233,0.0532669934566492,0,0,0,0,0,0,0.173255556588515,0,0,0.0745371285642346,0,0,0.10243631317519,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
X600036.CH.EQUITY,0,0,0,0,0,0.120726948257842,0,0,0,0,0,0,0.115886742771562,0,0.0105757988736887,0,0,0,0,0,0,0,0,0.0580374764557864,0,0.312080632602147,0.0701701192286331,0,0,0,0,0.0107636753281082,0,0,0,0,0,-0.11590538877121,0,0,0.0974085501566463,0,-0.0430508407932,0,0,0,0,0,0,0.179438120537279,0
X601939.CH.EQUITY,0.578125744821475,0,0,0,0,0,0,0,0.24815214290323,0.0830022981627511,0,0,0,0,0.0209640149098587,0,0,0,0,0,0,0,0,0,0,0,0.112241842084487,0,0,0,0,0,0,0,0,0,0.0885600848788704,0,0,0,-0.0986054504594537,0,0,0.0173356766528454,0,0,0,0,0.158300241575481,0.062224659542231,0
X601288.CH.EQUITY,0,0,0,0.158782194508499,0,0,0.432079995432469,0,0,0.0669804237059602,0,0,0,0,0,0,0.115850546826423,0,0,0,0,0,0,0.0390127363140331,0,0,0.0140488681809856,0,0,0,0,0.0695235100453286,0,0,0,0,-0.0142070409456943,0,0.110633114795098,0,0,0,0,0,0,0,0,0,0,0,-0.0665775088864016
X1299.HK.EQUITY,0,0,0.0447106631215413,0,0,0,0,0,0.0254245309292996,0,0.263376002250708,0,0,0.178165916178297,0.0202232499366176,0,0,0,0,0,0.175636056726766,-0.256387129585993,0,0,0,0,0,0,0.133798739677121,-0.0151442874196352,0,0,0,0,0,0,0,0,0,0,0.14436980885933,0,0,0,0,0,0.166227118017459,0,0.00750602547496968,0,0
X601988.CH.EQUITY,0.176077246488275,0,0,0,0.292003662082566,0,0,0.0756683265123527,0,0,0,0.0359049976018432,0,0,0,0,0,0,0.19911436854679,0,0,0,0,0.191525168267632,0,0,0,0,0,0,0,-0.240131929267412,-1.73472347597681e-18,0,0,0,0,0,0,0,0,0,-0.0149961298326494,0,0,0,0,0,0,0,-0.0533739712156152
X601628.CH.EQUITY,0,0,0,0,0,0,0,0,0,0,0,-0.114949459150713,0,0,0,0,0,0,0.231970311290219,0,0,0,0,0.0561987172926285,0,0,0,0,0,0.116662182136218,0,0,0,0,4.33680868994202e-19,0,0.016831696525532,0,0,0.241082791460944,0,0,0,0,0,0.26838693103238,0,0,0,0,0
X5.HK.EQUITY,0,0.239440037288162,0,0.101998363751125,0,0,0,0,0,0.0501835820611822,-0.12312270686288,0.0774456900579386,0,0,0,0,0,0,0,0,0,0,0,0,0.155078648303265,0,0,0.123533720139692,0,0,0,0,0,0,0,0,0,0.270710740466931,0,0,0,0,0,0,0.0414741793979084,0,0,0,0,0,-0.0875543037244553
X601166.CH.EQUITY,0,0,0,0,0,0,0,0,0.00101972415716494,0,0,3.46944695195361e-18,0.464119861055859,0,0,0,0,0,0,0,-0.0980649682582109,0,0,0,0,0,0.117092526166524,0,0,-0.0809538601964128,0.118805574771085,0,0.156896346473398,0,0,0,0.00699803716097583,0,0,0,0,0,0,0,0.0497551117330976,0,0,0,0.105336460044149,0,-0.109593840202113
