,X601398.CH.EQUITY,X601318.CH.EQUITY,X600036.CH.EQUITY,X601939.CH.EQUITY,X601288.CH.EQUITY,X1299.HK.EQUITY,X601988.CH.EQUITY,X601628.CH.EQUITY,X5.HK.EQUITY,X388.HK.EQUITY,X601166.CH.EQUITY,X601658.CH.Equity,X000001.CH.EQUITY,X601601.CH.EQUITY,X000002.CH.EQUITY,X600030.CH.EQUITY,X600000.CH.EQUITY,X300059.CH.EQUITY,X601328.CH.EQUITY,X002142.CH.EQUITY,X16.HK.EQUITY,X601066.CH.EQUITY,X601998.CH.EQUITY,X601319.CH.EQUITY,X11.HK.EQUITY,X601818.CH.EQUITY,X600016.CH.EQUITY,X2388.HK.EQUITY,X600999.CH.EQUITY,X1109.HK.EQUITY,X2007.HK.EQUITY,X600048.CH.EQUITY,X688.HK.EQUITY,X267.HK.EQUITY,X601688.CH.EQUITY,X600837.CH.EQUITY,X601211.CH.EQUITY,X601336.CH.EQUITY,X12.HK.EQUITY,X2882.TT.EQUITY,X601229.CH.EQUITY,X1113.HK.EQUITY,X823.HK.EQUITY,X002736.CH.EQUITY,X2881.TT.EQUITY,X000166.CH.EQUITY,X1997.HK.EQUITY,X000776.CH.EQUITY,X601169.CH.EQUITY,X600926.CH.EQUITY,macro_return_add
X601398.CH.EQUITY,0,0,0,0.279567140235674,0.115035366700223,0,0.245578496661769,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.199719284769758,0,0,0,0,0,0,0.014722334960818,0,0,0.0185912811187389,0.0962307915358389,0,0,0,0.0891601301249554,0,0,0,0,0,0,0,0,-0.000883810387852773,0,0,0,0
X601318.CH.EQUITY,0,0,0,0.113363633701322,0,0,0,0,0.184321283957295,0,0,0,0.0342286198048801,0,0.0532004515028771,0.208606707738657,0,0.138027385021242,0,0,0,0.134013049186365,0,0.0203128279964363,0,0,0,0,0,0,0,0.0873679735764195,0,0,0,0,0.0496788051400433,0,0,0,0,0,0,0,0,0,0,0,0,0,0
X600036.CH.EQUITY,0,0,0,0,0,0.117234233911162,0,0,0,0,0,0,0.0873259641683603,0,0,0,0,0,0,0,0,0,0.0493305680283708,0,0,0.0779938845365816,0.337459514397289,0,0,0,0,0,0,0,0,0,0,0,-0.117843712555962,0.111646438496614,0,0,-0.0415317175888844,0,0,0,0,0,0.161248188209536,0.0191593874821749,0
X601939.CH.EQUITY,0.616674262950667,0,0,0,0,0,0,0,0.221598160287567,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.114353403537768,0,0,0,-0.0418026896856824,0,0,0,0,0,0.133842137578835,0,0,0.0131263000815801,-0.0207213999153548,0,0,0,0,0,0,0,0,0.140650443698058,0.0191067098678583,0
X601288.CH.EQUITY,0,0,0,0.157485078585961,0,0,0.482985914911665,0,0,0,0.00744237798580213,0,0.0296525053628788,0,0,0,0.0715777007610953,0,0,0.0642014221580482,0,0,0.0663028345175465,0,0,0.0587157592167365,0,0,0,0,0,0,0.123230536924528,0,0,-0.0340820807234552,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0214762871341704,0
X1299.HK.EQUITY,0,0,0.0201856002163304,0,0,0,0,0,0.0724771656311619,0.26472969227216,0,0,0,0.143704712419047,0,0,0,0,0,0,0.188658657135542,-0.250183213876175,0,0,0,0,0,0,0,0.113345693973572,0,0,0,0,0,0,0,0.035597684380614,0,0.144648019096141,0,0,0,0,0,0,0.233861020428678,0,0,0.0235539167115155,0
X601988.CH.EQUITY,0.191573152774035,0,0,0,0.349531840997896,0,0,0.0780822988942334,0,0,0,0.0603821227495654,0,0,0,0,0,0,0.120360290352552,0,0,0,0.0943559351549344,0,0,0,0,0,0,0,0,0,-0.2038809661228,0,0,0,0,0,0,0.0535440595919495,0,0,0,0,0,0.0725166042493423,0,0,0,0,-0.0710960293745728
X601628.CH.EQUITY,0,0,-0.013279366743831,0,0,0,0,0,0,0,0,0,0,0,0,0.142733739596796,0,0,0.198117883649316,0,0,0,0,0,0.071265193837479,0,0.0497944241980889,0,0,-0.052526780274649,0,0.0417176814161451,0,0.0694475216034846,0.330558169457504,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
X5.HK.EQUITY,0,0.150912875462628,0,0.0849187852038212,0,0,0,0,0,-0.14346992924415,0.0862374927464196,0.0543279154737229,0,0,0,0,0,0,0,0,0,0,0,0,0.252545922660884,0,0,0.136428100883372,0,0,0,0,0.0457113308977583,0,0,0,0,0,0.217030552277674,0,0,0,0.0950473720664831,0,0.11050028029012,0,0,0,0,0,-0.0307159529717431
X388.HK.EQUITY,0,-0.0805148686775222,0,0,0,-3.46944695195361e-18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0904279867148904,-0.171408311268087,0,0,0,0.0168738492986245,0,0,0,0,-0.256756369745605,0,-0.176479909180133,0,0.305420829621616,0,0.336042881870534,0,-0.162495460087906,0,0,0.0957109583481098,0,0,0.52376336491453,0,0,0
