,X000001.CH.EQUITY,X002142.CH.EQUITY,X600000.CH.EQUITY,X600015.CH.EQUITY,X600016.CH.EQUITY,X600036.CH.EQUITY,X600919.CH.EQUITY,X600926.CH.EQUITY,X601009.CH.EQUITY,X601166.CH.EQUITY,X601169.CH.EQUITY,X601229.CH.EQUITY,X601288.CH.EQUITY,X601328.CH.EQUITY,X601398.CH.EQUITY,X601577.CH.EQUITY,X601818.CH.EQUITY,X601838.CH.EQUITY,X601939.CH.EQUITY,X601988.CH.EQUITY,X601998.CH.EQUITY,X601658.CH.Equity,X601916.CH.Equity,X601077.CH.Equity,X11.HK.EQUITY,X2388.HK.EQUITY,X5.HK.EQUITY,X2801.TT.EQUITY,X2880.TT.EQUITY,X2884.TT.EQUITY,X2886.TT.EQUITY,X2891.TT.EQUITY,X2892.TT.EQUITY,X5880.TT.EQUITY,X600030.CH.EQUITY,X600837.CH.EQUITY,X601211.CH.EQUITY,X601688.CH.EQUITY,X2885.TT.EQUITY,X601318.CH.EQUITY,X601319.CH.EQUITY,X601336.CH.EQUITY,X601601.CH.EQUITY,X601628.CH.EQUITY,X1299.HK.EQUITY,X2881.TT.EQUITY,X2882.TT.EQUITY,X2883.TT.EQUITY,X2888.TT.EQUITY,X267.HK.EQUITY,MKRturn,RealEstateDiff
X601229.CH.EQUITY,0,0,0,0,0.0132299191232321,0,0,0,0,0,0,0,0,0.155776533685794,0,0,0.122530357406827,0,0.166880133216109,0,0,0,0,0.325207593081766,0,0,0,0,0,0,0,0,0,0,0,0.225182432011964,0,0,0,0,0,0,0,0,0,0,0,0,-0.0145953705669476,0,0,0
X601288.CH.EQUITY,0,0,0,0,0,0.130501107203462,0,0,0.0259079592053289,0,0.220283716429177,0,0,0,0,0,0,0,0.0152192154335434,0.539765620616807,0,0,0,0,0,0,0,0,0,0,0.11745318449471,0,0,0.00215962606265162,0,0,0,0,0,0,0,0,0,0.0284037449144312,-0.0690145557990769,0,0,0,0,0,0,0.0433599465443526
X601328.CH.EQUITY,0,0.0345520775352595,0,0,0,0,0,0,0,0,0,0.279770896156775,0,0,0.0932945503870523,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0424215993269522,0,0,0,0,0.176313832689275,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.187267223333146,0,0.0258636123843444
X601398.CH.EQUITY,0,0,0.0727505481674995,0,0.0329899948336053,0,0,0.0395490244129516,-0.187755120107866,0,0,0,0,0,0,0,0,0,0.75574208961519,0,0,0,0,0,0,-0.102469707062263,-0.0547946758681545,0,0,0,-0.135864907333661,0,0.0883696431879457,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0616764966234044,0.113284171433422,0,0,0,-0.0992368560201744
X601577.CH.EQUITY,0,0,0,0,0,0,0,0.178500843434347,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0560562284840437,0.458846131179892,0,0,0,0,0,0,0,0,0,0.420269327349737,0,0,0,0,0,0,0,0,0,0,0,0,0,0.107171145547638,0,0.0974936406523676,0.0742530850446721
X601818.CH.EQUITY,0.216105433713095,0,0,0.199175978968842,0.0094703738902146,0,0,0.217108413304668,0.198228992322887,0,0,0,0.0255722448372147,0,0,0.0915471817843822,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0543884238509376,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0980840649832236,0,0.0267422455493921
X601838.CH.EQUITY,0,0.401382350845445,0,0.0658428934858852,0,0,0,0.482071030218858,0,0,0,0,0,0.190066537311864,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0339649886637361,-0.297946867513301,-0.0450311047244282,0,0,0,0,0,0,0,0,0,0,0.0275228435577962,0,0,0,0,0,0,0,0
X601939.CH.EQUITY,0,0,0.0177132573053055,0.0198781710581495,0,0.113769076571312,0,0,0.0429099911307508,0,0.0351064272662768,0.219139476162041,0.0254659459024917,0.0415987871357095,0.4103909113945,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0582342092067151,0,0,0,0.0318736089204874,0.0518925391798101,0,0,0,0,0,0,0,0,0,0.0955769130557474
X601988.CH.EQUITY,0,0,0,0,0,0.0821201314324944,0,0,0,0,0.854499318190543,0,0,0.0392380099311156,0,0,0,0,0,0,0.00990041301688255,0.0153394520292249,0,-0.059475958981079,0,0,0,0,0,0,0,0,0,0,0,0,0.0328766518169119,0,0,0,0,0,0,0,-0.0119620873435293,0,0,0,0,0,0,0
X601998.CH.EQUITY,0,0,0,0,0,0,0,0,0.0157124027571863,0,0,0,0,0,0,0,0,0.0673227853019912,0,0,0,0,0,0,0,0,0.0557407814419908,0,0,0,0,0,0,0,0,0.55134994892457,0,0,0,0,0,0,0.0350866154453116,0,0,-0.184589759409997,0,0,0,0,0,0
X601658.CH.Equity,0.248472501740994,0,0,0,-0.143533800415308,0.729571575425964,0,0,0.0671137320028078,0,0,0,0,0,0,0.129438914152393,0,0.128547139669301,0,0,0,0,0,-0.234284407374192,0,0,0,0,0,0,0.124731996384675,0,0,0,0,0,0,0,0.107588426177329,0,0,0,0,0,-0.0973629576160809,0,0,0.126572953088269,0,0,0.0262368774950363,0
X601916.CH.Equity,0,0,0,0.00472311070106119,0.504991123229608,0,0,0,0,0,0,0,0,-0.0558897864270163,0,0,-0.10581081428552,0,0,0,0,0,0,0,0,0,0.408318057718125,0,0,0.0883273355681549,0,0,0,0.129186604703251,0,0,0,0.167702819301835,0,0,0,0,0.203899481277796,0,0,0,0.0177829679145398,0,0,0,0.213470103154571,0
