,X000001.CH.EQUITY,X002142.CH.EQUITY,X600000.CH.EQUITY,X600015.CH.EQUITY,X600016.CH.EQUITY,X600036.CH.EQUITY,X600919.CH.EQUITY,X601009.CH.EQUITY,X601166.CH.EQUITY,X601169.CH.EQUITY,X601229.CH.EQUITY,X601288.CH.EQUITY,X601328.CH.EQUITY,X601398.CH.EQUITY,X601818.CH.EQUITY,X601939.CH.EQUITY,X601988.CH.EQUITY,X601998.CH.EQUITY,X601658.CH.Equity,X601916.CH.Equity,X11.HK.EQUITY,X2388.HK.EQUITY,X5.HK.EQUITY,X2884.TT.EQUITY,X2886.TT.EQUITY,X2891.TT.EQUITY,X2892.TT.EQUITY,X000166.CH.EQUITY,X000776.CH.EQUITY,X002736.CH.EQUITY,X300059.CH.EQUITY,X600030.CH.EQUITY,X600837.CH.EQUITY,X600999.CH.EQUITY,X601066.CH.EQUITY,X601211.CH.EQUITY,X601236.CH.EQUITY,X601688.CH.EQUITY,X601881.CH.EQUITY,X601696.CH.Equity,X388.HK.EQUITY,X601318.CH.EQUITY,X601319.CH.EQUITY,X601336.CH.EQUITY,X601601.CH.EQUITY,X601628.CH.EQUITY,X1299.HK.EQUITY,X2881.TT.EQUITY,X2882.TT.EQUITY,X267.HK.EQUITY,MKRturn,RealEstateDiff
X000001.CH.EQUITY,0,0.0384106234686091,0,0,0,0,0,0.17853004652801,0,0,0,0,0.0869645938364834,0,0.0624999588948827,0,0,0,0,0,-0.0107320220340769,0,0,0.26404507852864,0,0,0,0,0,0,0,0,0,0,0.0095190750588192,0,0,0,0,0,0,0.342300258347968,0,0,0,0,0,0,0,0,0,0
X002142.CH.EQUITY,0.293146144037902,0,0,0,0,0,0,-0.052560466696157,0,0,0.402980190501891,0,-0.0167127777634553,0,0,0,0,0,0.123216522137587,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0276416182035923,0,0,0,0,0,0,0.0401935432001852,0,0.0334317866108202,0.14418209981722,0,-0.0225908135637626,1.73472347597681e-18,0,0
X600000.CH.EQUITY,0.0498403049078174,0,0,0,0.0404957891491842,0,0,0.185781329715918,0,0,0.0987051785758108,0.0657831177214327,0,0.131887063856137,0,0.094964651341715,0,0,0,0,0,0,0.0269531973348006,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0409712991076991,0,0,0.127008456837891,0,0.0761391040849985,0,0,0,0
X600015.CH.EQUITY,0.0896273195533328,0,0,0,0,0,0,0,0.143017176702675,0.407935349176886,0,0,0.13083859916531,0,0,0,0,0,0,0,0,0,-0.0227859101642641,0,0,0.0542078975530683,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.172385857191943
X600016.CH.EQUITY,0,0,0,0,0,0.0482944425177216,0,0,0,0.0803359788698329,0.0937004732096979,0.312451938709426,0.136605780573478,0.161139387444971,0,0,0.0978458271642654,0,0.0347112599287959,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
X600036.CH.EQUITY,0.0865074848032839,0.266977157965011,0,0,0.0227186382667128,0,0,0,0,0,0,0,0,0,0,0.0720713825266343,0,0,0,0,0.0444043687300028,0,0,0,0,0,0.161871773167523,0,0,0,0,0,0,0,0,0,0,0,0.0420800027752894,0,0,0,0,0.0900451132376283,0.265146115863813,0,0,0,0,0,0,0
X600919.CH.EQUITY,0,0,0,0.032030428000435,0,0,0,0.190317495898814,0,0,0,0,0,0,0,0.094445396713326,0,0.0287699210490896,0.103838342776464,0.0606933504504163,0,0,0,0,0,0,0,0,0,0.0504096754932865,0,0,0,0.0217285776931723,0,0,0,0.126263024654611,0,0,0,0,0,0,0,0,0,0,0,0,0,0
X601009.CH.EQUITY,0.195754617331988,0,0.10285638423974,0.162556544492085,0,0,0,0,0,0.0234908544988179,0.167252864135922,0,0,0,0,0,0.00159496747327991,0,0,0.215974320797512,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1.73472347597681e-18,0,0,0,0,0,0,-0.0167298091422066,-0.000870692959022727
X601166.CH.EQUITY,0.0670180455546362,0,0.0494745452820448,0.030763118806954,0,0.376293838702307,0,0,0,0,0,0.0355771252898254,0,0,0.269132703513541,0,0,0,0,0,0,0,0,0,0,0,0.115634869526593,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0203037262461677,0,0,0,0
X601169.CH.EQUITY,0,0.0960392870007359,0,0.281725455940685,0,0,0.263145218483535,0,0,0,0,0,0,0,0,0,0,0.101252457439421,0.166719164427478,0.0895341157220775,0,0,0,0,0,0,0,0,0,0.0496661655887027,0,0,0,0,0,0.0145951867695255,0,0,-6.93889390390723e-18,0.0302650444331497,0,0,0,0,0,0,0,0,0,0,0,0
