,X000001.CH.EQUITY,X002142.CH.EQUITY,X600000.CH.EQUITY,X600015.CH.EQUITY,X600016.CH.EQUITY,X600036.CH.EQUITY,X600919.CH.EQUITY,X600926.CH.EQUITY,X601009.CH.EQUITY,X601166.CH.EQUITY,X601169.CH.EQUITY,X601229.CH.EQUITY,X601288.CH.EQUITY,X601328.CH.EQUITY,X601398.CH.EQUITY,X601577.CH.EQUITY,X601818.CH.EQUITY,X601838.CH.EQUITY,X601939.CH.EQUITY,X601988.CH.EQUITY,X601997.CH.EQUITY,X601998.CH.EQUITY,X601658.CH.Equity,X601916.CH.Equity,X601077.CH.Equity,X2801.TT.EQUITY,X2880.TT.EQUITY,X2884.TT.EQUITY,X2886.TT.EQUITY,X2891.TT.EQUITY,X2892.TT.EQUITY,X5880.TT.EQUITY,X000166.CH.EQUITY,X600030.CH.EQUITY,X600837.CH.EQUITY,X600999.CH.EQUITY,X601066.CH.EQUITY,X601211.CH.EQUITY,X601688.CH.EQUITY,X2885.TT.EQUITY,X601318.CH.EQUITY,X601319.CH.EQUITY,X601336.CH.EQUITY,X601601.CH.EQUITY,X601628.CH.EQUITY,X2823.TT.EQUITY,X2881.TT.EQUITY,X2882.TT.EQUITY,X2883.TT.EQUITY,X2888.TT.EQUITY,MKRturn,RealEstateDiff
X000001.CH.EQUITY,0,0.337728902222654,0.0860652502680911,0.133187209984747,0,0.11343406911746,0,0.237451464288385,0,0,0,0,0,0,0,0.0220566291848991,0,0,-0.0241186212840141,0,0,0,0,0,0,0,0,0,0,0,0.0493152461231682,0,0,0,0,0.188578094230974,0,0,0,0,0,0,0,-0.0960705436566322,0,0,0,0,0,0,0.104568553262738,0.0170433383279854
X002142.CH.EQUITY,0,0,0,0,0,0.251186719675729,0,0.50114449146821,0,0.00231240701699052,0.13509927746089,0,-0.22034724259496,0,0,0,0,-0.214883092743409,0.245663280743974,0,0,0,0,0,0,0.0544542387416706,0,0,0,0,0,0,0,0.131429212005634,0,0,-0.112408043240418,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
X600000.CH.EQUITY,0,0,0,0,0,0.163692137670474,0,0.105137470666273,0.213439599673248,0,0,0,0,-0.0134507625505459,0,0,0,0,0,0,0.322099139326759,0,0,-0.0113525321814993,-0.0578552836409495,0,0,0,0,0,0.109578462382175,0,0.17811317632911,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0256555552767089,0
X600015.CH.EQUITY,0.208503311904136,0,0,0,0,0,-1.38777878078145e-17,0,0,0,0.212122995565852,0.05685104329578,0,0.107429251823094,0,0,0.0174940901502229,0.177691262938834,-0.0693425820785049,0,0,0.0855450747439055,0,0,0,0,-0.0567390592085727,0,0,0,0,0,0,0,0,0,-0.0641207033944613,0,0,0,0,0,-0.0139624732622861,0,0,0,0,0,0,0,0,0
X600016.CH.EQUITY,0,0.187673691122754,0.0976077012208068,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.137620090032295,0,0,0,0.0694067091232964,1.01170177305564,0,0.00972211772111198,0,0,0,0,0,0,-0.200904946675987,0,0,0,0,0.141134066660221,0,0,0,0,0,-0.105907032203127,0,-0.170950391050338,0,0,0,0,0
X600036.CH.EQUITY,0,0.165455118368603,0.0541184034010393,0,0,0,0,0,0,0.197834674307438,0,0,0,0,0,0,0.246072686154802,0,0,0,0,0,0,0,0,0.0685046505126045,0,0,0,0,0,0,0,0,0.0600512882357498,0,0,0,0,0,0,0.0626659628918074,0,0,0.174617356112931,0,0,0,0,0,0.00105186162826335,0
X600919.CH.EQUITY,0,0,0,0,0,0.0135363864331179,0,0.242543101897593,0.055631737134456,0,0.0605790479603501,0.133476814575272,0,0,0,0,0,0,0.0797423440753068,0,0.133914481494141,0,0,0,0,0,-0.110284768061124,0,0,0,0,0,0,0,0,-0.0140344555859536,0,0,0,0,0,0,0,0.0574609903282899,0,0,0,0,0,0,-0.0165541887948925,0
X600926.CH.EQUITY,0.181155060534093,0.275742920278577,0,0,0,0,0.0795190704453811,0,0,0,-0.0969454043465142,0,0,0,0,0.366746969816313,0,0,0,0,0,0,0,0.0285543626519277,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0249610257751073,0,0,-0.112165885194229,0,0,-0.0703550436265252,-0.0199964126693727
X601009.CH.EQUITY,0,0.0970187201477027,0,-0.0326949768691456,-0.0814207599250801,0,0,0,0,0,0,0.295703794677701,0,0.0694740856566815,0,0,0,-0.0778091456563294,0,0,0.348025383519913,0,0.106283878173134,0,0,0,0,0,0,0,0,0,0,0.0229640339223568,0,0,0.0825673260039201,0,0,0,0,0,0,0,0,-0.130245377228447,0,0,0,0,0,-0.0859576634771948
X601166.CH.EQUITY,0.237276569468165,0,0,0,0,0.632962930485872,0,0,0,0,-3.46944695195361e-18,0.195370996330575,0,0,0,0,0,0,0,0,0,0,0.0158340074207426,0,0,0,0,-0.0940367451318612,0,0,0,0,0,0,0,0,-0.136379592931584,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0499123061140576
