,X000001.CH.EQUITY,X002142.CH.EQUITY,X600000.CH.EQUITY,X600015.CH.EQUITY,X600016.CH.EQUITY,X600036.CH.EQUITY,X601009.CH.EQUITY,X601166.CH.EQUITY,X601169.CH.EQUITY,X601229.CH.EQUITY,X601288.CH.EQUITY,X601328.CH.EQUITY,X601398.CH.EQUITY,X601818.CH.EQUITY,X601939.CH.EQUITY,X601988.CH.EQUITY,X601998.CH.EQUITY,X601658.CH.Equity,X601916.CH.Equity,X11.HK.EQUITY,X2388.HK.EQUITY,X5.HK.EQUITY,X2886.TT.EQUITY,X2891.TT.EQUITY,X000166.CH.EQUITY,X000776.CH.EQUITY,X002736.CH.EQUITY,X300059.CH.EQUITY,X600030.CH.EQUITY,X600837.CH.EQUITY,X600958.CH.EQUITY,X600999.CH.EQUITY,X601066.CH.EQUITY,X601211.CH.EQUITY,X601236.CH.EQUITY,X601688.CH.EQUITY,X601788.CH.EQUITY,X601881.CH.EQUITY,X600918.CH.Equity,X601696.CH.Equity,X388.HK.EQUITY,X601318.CH.EQUITY,X601319.CH.EQUITY,X601336.CH.EQUITY,X601601.CH.EQUITY,X601628.CH.EQUITY,X1299.HK.EQUITY,X2881.TT.EQUITY,X2882.TT.EQUITY,X267.HK.EQUITY,MKRturn,RealEstateDiff
X000001.CH.EQUITY,0,0.21243605224715,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0915412171891695,0.182395290644324,0,0,0,0,0.0592524725525214,0,0,0,0,0,0,0,0,0,0,0,0,-0.000253966081188613,0,0,0,0,0,0,0.126101301207517,0,0.0928319451209427,0.15870664842108,0,0,0,0,0,0.126410028738333,0
X002142.CH.EQUITY,0,0,0,0,0,0.526992924350612,0,0,0,0,0,-0.529786412693332,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0166918587276632,0.0358140743671053,0,0,0,0,0,0,0,0,0.12521253811194,0,0,0.55503215361771,0,0,-0.017538757079014,-0.0829246030540403,0,0.0970204407032795,0,0
X600000.CH.EQUITY,0,0,0,0,0.182526444765993,0.0480171931444774,0,0.494215931499802,0,0,-3.46944695195361e-18,0.0549070615134667,0,0,0,0,0,0,0,0,0,0.0303540804596594,0.00673001588322598,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0342840833777685,0,0,0,0,0,0.0233814824590517,0,0,0,0,0
X600015.CH.EQUITY,0,0,0,0,0,0,0.556827813119953,0,0,0,0,0,0,0,0,0,0.00715625091448341,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.13984264447542,0,0,0,0,0,0.0401664828311929,0,0,0,0,0.125944212270542,0,0,0,0,0,0.199828377798305,-0.140794971393443,0
X600016.CH.EQUITY,0,0,0,0,0,0,0,0,0.196074020986315,0,0.507347413965208,0,0,0,0,0.184317549158337,0.0319229742361463,0,0,0.0478865755394618,0,0,0,0,0,0,0,0,0,0,0.0521222422441099,0,0,0,0,0,0,0,0,0,0.0549316361684281,0,0,0,0,0,0.00511663444970734,0,-0.0240099146558884,0.0135379656791726,0,0.0167927649883872
X600036.CH.EQUITY,0,0.344481532341778,0,0,0,0,0,0,0,0,0.128406168586223,0,0,0,0.307987353486748,0,0,0,-0.115007285467712,0,0.038271389785782,0.0320833095744722,0.0132271088212968,0,0,0,0,-0.0162855683680499,0,0,0,0,0,0,0,-0.0460072547552076,0,0,-0.0354084675517661,0,-0.0809642627554773,0.115058815094395,0,0,0.0484457744256063,0,0.120063640226026,0,0,0,0,0
X601009.CH.EQUITY,0.0251572930722361,0.0291299753438226,0,0.821145639068131,0,0,0,0,0,0.0145822424031272,0,0,0,0,0,0,0,0.0347311929928576,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.052610032068003,0,0,0,-0.0263311605594138,0,0,0,-0.0377083198956624,0.134135015147924,0,0,0,0,0,0,-0.0759069638340175,-0.0644831966586226,0,-0.0578622394918408
X601166.CH.EQUITY,0.11126352182426,0.00144385604353469,0.517938458610689,0,0,0,0.00368063079648348,0,0,0,0,0,0,0,0.0910309924676642,0.0674093622218024,0.0671441150920205,0.0123953993306066,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.00591942369688174,0,0,0.0165203845275909,0,0,0,0,0,0,0,0,0,0
X601169.CH.EQUITY,0,0,0,0.063552563260899,0,0,0.00327803727637374,0.281840698113093,0,0,0,0,0,0,0,0,0.126188559250539,0,0,0,0,0,0,-0.0713198550178031,0,0,0,0,0,0,0,0,0,0.135790196381078,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.124249402877005,-0.107299559459045,0
X601229.CH.EQUITY,0,0.206224582544918,0,0,0,0.0374491343514463,0,0,0,0,0.432939322445282,0,0,0,0.137731568741313,0,0,0.0646142837336162,-0.354200721396966,0,0,0,-0.00227074612426863,0,0,0,0,0,0,0,0,0,0,0,0,0.136260078838839,-0.0934785851943682,0,0,0,-0.00367454079754989,0,0,0,0,-0.154108823624284,0,0,0,-0.0687884922209062,0.139164049926215,0
X601288.CH.EQUITY,0,0,0,0,0,0.104783585384645,0,0,0,0,0,0.262108054614547,0,0,0.225291681304789,0.318067369349599,0,0,0,0,0,0,-0.0345682106505941,0,0,0,0,0,-0.0208475449661405,0,0,0,0,0,0,0,0,-0.0154307456270027,-0.0767598308227588,0,0.0325883799852878,0,-0.0197249713323676,0,0,0,0.058278627022847,0.00597083804460191,0,0,0,0
X601328.CH.EQUITY,0,0,0.0209550013544188,0,0.135516108570411,0,0,0,0.00276615341596734,0,0.236330826619363,0,0.315450706961062,0.0816166806783961,0,0,0.171236990814649,0,0,0,0,0,0,0,0,0,0,0,0.0654898933156999,0,0,0,0.0334769439867054,0,0,0,0,0,0,0,0,-6.93889390390723e-18,0,0,0,0,0,0,0,-0.0160501663281989,0,0
X601398.CH.EQUITY,0,0.0947651860255314,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.375579682942315,0,0,0,0,0,0.0207824068811415,0,0,0,0,-0.155147193331195,0,0,0,0,0,0,0,0,-0.871035730579863,0,0,0.100111989904765,-0.0606003760537143,0,0,0,0,0,0,0.179576812618477,0,0,0.0250654091021252,0
X601818.CH.EQUITY,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.369624791407021,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.164855095956216,0,0,0,0.0138550090328676,0,0,0,0,0,0,0,0,0,0,0,-0.0164348836955696,0
X601939.CH.EQUITY,0,0,0,0,0,0.0316616537822335,0,0.140153639824412,0.161801264803234,0,0.282905952896907,0.2184510829009,0.0536588702203344,0.0781724924242661,0,0,-1.73472347597681e-18,0,0,0,0,0,0,-0.0672803304757775,0,0,0,0,0,0,0,0,0,0,0.0237597079211325,0,0,0,0,0,0,0,0,0,0,0,1.38777878078145e-17,0,0,0,0,0
X601988.CH.EQUITY,0,0,0,0,0,0,0.136392820303066,0,0,0,0.05632984014187,0,0,0,0.247923340111974,0,0,0.140787051111056,0,0,0,0,0,0.104032160785338,0,0,0,0,0,0,0,0,0.249469995182601,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
X601998.CH.EQUITY,0.0780704908910519,0,0,0.159129250599955,0,0,0.0131100176094388,-1.38777878078145e-17,0.307903597660437,0,0,0,0.265301012387651,0,0,0.0221174438370943,0,0,0,0,0,0.00908034682377271,0,0,0,0.0964599826685129,0,0,0,0,0,0.0154861255306736,0,0,0,0,-0.0407988338863409,0,0,-0.0197516315564081,0,0,0.120581281723545,0,0,0,0,0,0,0,-0.111747355778733,0
