,X000001.CH.EQUITY,X002142.CH.EQUITY,X600000.CH.EQUITY,X600015.CH.EQUITY,X600016.CH.EQUITY,X600036.CH.EQUITY,X600919.CH.EQUITY,X600926.CH.EQUITY,X601009.CH.EQUITY,X601166.CH.EQUITY,X601169.CH.EQUITY,X601229.CH.EQUITY,X601288.CH.EQUITY,X601328.CH.EQUITY,X601398.CH.EQUITY,X601818.CH.EQUITY,X601939.CH.EQUITY,X601988.CH.EQUITY,X601998.CH.EQUITY,X601658.CH.Equity,X11.HK.EQUITY,X2388.HK.EQUITY,X5.HK.EQUITY,X2886.TT.EQUITY,X2891.TT.EQUITY,X000166.CH.EQUITY,X000776.CH.EQUITY,X002736.CH.EQUITY,X300059.CH.EQUITY,X600030.CH.EQUITY,X600837.CH.EQUITY,X600958.CH.EQUITY,X600999.CH.EQUITY,X601066.CH.EQUITY,X601211.CH.EQUITY,X601688.CH.EQUITY,X601788.CH.EQUITY,X601881.CH.EQUITY,X600918.CH.Equity,X601696.CH.Equity,X388.HK.EQUITY,X601318.CH.EQUITY,X601319.CH.EQUITY,X601336.CH.EQUITY,X601601.CH.EQUITY,X601628.CH.EQUITY,X1299.HK.EQUITY,X2881.TT.EQUITY,X2882.TT.EQUITY,X267.HK.EQUITY,MKRturn,RealEstateDiff
X000001.CH.EQUITY,0,0,0,0,0,0.464481165635393,0,0,0,0.363645175381977,0,0,0.0634819739823557,0,0,0.157554234030284,0.0119840663149574,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.103823613379771,0,0,0,0,0,0,-3.46944695195361e-18,0,0,0,-0.172703336368389
X002142.CH.EQUITY,0,0,0,0,0,0.706456934058111,0,0,0,0,0,0,0,0,0,0,0,0.0934059688186492,0,0,0,0,0,0,0.0796791141327726,-0.0585939201177389,0,0.200034846783051,0,0,0,-0.0016648035540247,0,0,0,0,0.0352724969830426,0,0,0,0,0,0,0,0,0,-0.224729392686066,0,0,-0.223124162412767,0.0940192961408423,0
X600000.CH.EQUITY,0,0,0,-1.38777878078145e-17,0,0.434745031998918,0,0,0,0,0,0,0,0.59496440829374,0,0,0,0,0,0.30783995041701,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.225017048137734,0,0,0,-0.150312802134119,0,0,-0.122017971719744,0,0,0,0.0600064938314676,0,0,0.11553280973989,0
X600015.CH.EQUITY,0,0,0.0449365566153185,0,0,0.237485114259252,0,0,0,0.0864503859944824,0,0,0,0,0,0,0,0.0925502081792668,0.0869408827205354,0.219231660372013,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0461459422975165,0,0,0,0,0,0,0,0,0.0111075328575993,0,0,0.0115201413387423,0.0372472818143881,0
X600016.CH.EQUITY,0,0,0,0,0,0,0,0,0,0,0.214856267409841,0.0360708782991269,0,3.46944695195361e-18,0,0,0,0.147447623652013,0.184705580485824,0,0,0,0,0,0,0,0,0,0,0,0,-0.13943750344996,0,0,0,0,0,0,0,0,0,0,0,0.0777415677534836,0,0.207818969214735,0,0,0,0.0753410233310058,0,0
X600036.CH.EQUITY,0.194517222886114,0.133127495512225,0.0887687862164892,0,0,0,0.114631099872092,0,0.083772022038786,0,0,0,0,0,0,0,0,0.0661204499396568,0,0,0.0648692421606294,0.0265777383009225,0,0,-0.0209709453256832,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.25824525244429,0,0,0,0.0237879539257775,0,0,0,0.0639220121049108,0,0
X600919.CH.EQUITY,0,0,0,0,0,0.139383983215273,0,0.0312536761331228,0,0,0,0.583989561535962,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.150820400190551,0,0,0,0,0,0,0,0,0,0,0,0.0124363233646612,0,0.177084336399564,0,0,-0.00471120977297207,0,-0.0197162141192268,0,-0.0894681959412138
X600926.CH.EQUITY,0,0,0,0,0,0,0.101748326172363,0,0,0,0,0,0.265606346134559,0.0792175557089186,0,0,0,0.08464932752401,0,0,0,0,0,0,0,0,0,0,0,0,0.109673440710367,0,0,0.169408391958566,0,0.0147663249395439,0,6.93889390390723e-18,0,0,0,0,0,0,0,0,0,0,0,0,0,0
X601009.CH.EQUITY,0,0,0,0,0,0.395440306111314,0.0262914413013372,0,0,0,0,0,0,0,0,0,0,0.0974922408214581,0,0.177550488817704,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.149948017495647,0,0.0621603180513286,0,0.166610272778968,0,0,0,0,0.197535117858602,0,0
X601166.CH.EQUITY,0.103014330469609,0,0.0575996197159006,-1.73472347597681e-18,0,0,0,0.113233553003318,0,0,0,0.0545717791392968,3.46944695195361e-18,0,0,0.228775600573386,0,0,0,0.0405412623079155,0,0,0,0,0,0,0.181723401384068,0,0,0,0,0,2.16840434497101e-19,0,0,0,0,0,0,0,0,0,0,0,0.107835328083468,0,0,0,0.0773098039990252,0,0,0
