,X000001.CH.EQUITY,X002142.CH.EQUITY,X002958.CH.EQUITY,X600000.CH.EQUITY,X600015.CH.EQUITY,X600016.CH.EQUITY,X600036.CH.EQUITY,X600919.CH.EQUITY,X600926.CH.EQUITY,X600928.CH.EQUITY,X601009.CH.EQUITY,X601166.CH.EQUITY,X601169.CH.EQUITY,X601229.CH.EQUITY,X601288.CH.EQUITY,X601328.CH.EQUITY,X601398.CH.EQUITY,X601577.CH.EQUITY,X601818.CH.EQUITY,X601838.CH.EQUITY,X601939.CH.EQUITY,X601988.CH.EQUITY,X601997.CH.EQUITY,X601998.CH.EQUITY,X601658.CH.Equity,X601916.CH.Equity,X601077.CH.Equity,X11.HK.EQUITY,X2388.HK.EQUITY,X5.HK.EQUITY,X000166.CH.EQUITY,X000776.CH.EQUITY,X002736.CH.EQUITY,X300059.CH.EQUITY,X600030.CH.EQUITY,X600837.CH.EQUITY,X600958.CH.EQUITY,X600999.CH.EQUITY,X601066.CH.EQUITY,X601211.CH.EQUITY,X601688.CH.EQUITY,X601881.CH.EQUITY,X388.HK.EQUITY,X601318.CH.EQUITY,X601319.CH.EQUITY,X601336.CH.EQUITY,X601601.CH.EQUITY,X601628.CH.EQUITY,X1299.HK.EQUITY,X267.HK.EQUITY,MKRturn,RealEstateDiff
X000001.CH.EQUITY,0,0,0,0,0,0,0.0888585340301748,0,0,0,0,0.333189767467314,0,0,0,0,0.073045226867792,0,0.0116547248768268,0,0.167931751735339,0.0239562904251644,0.221172460414807,0,0,0,0,0.13092089518888,0,0,0,0,0,0,0,0,0,0,0,0,-0.0512889789105893,0,0.179260242922594,0,0,0,0,0,0,0,-0.0761889553386204,0
X002142.CH.EQUITY,0,0,0,0,0,0.12972145458721,0.203873195179089,0,0.14854791391067,0,0.0543980710527431,0,0,0,0.0636554189757831,0,0,0,0,0,0,0,0,0,0.0203518075191818,-0.0599469566274464,0,0,0,0,0,0,0,0,0,0,-0.0712456502998852,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
X002958.CH.EQUITY,0,0,0,0,0.403559388066921,0,0,0,0,0,0,0,0,0,0,0,0,0.0685763433604296,0,0,0,0,0.227462520614709,0,0,0.0541064088939698,0,0,0,0,0,0,0.0831862804765953,0,0.0940213756051664,0,0,0,0.030443809673782,0,0,0,0,0.053751312367031,0,0,0,0,0,0,0,0
X600000.CH.EQUITY,0,0,0,0,0,0,0.501683358508147,-0.00862646190507036,-0.199018359105181,0,0,0,0,0,0,0,0,0,0.287705036575614,0,-0.350194584552733,0,0.149448720533932,0,0,0,0,0.0757293184069023,0,0,0,0,0,-0.00219780008375708,0,0,0,0,0,0,0,-0.270240300047769,0,0,0.370161603463909,0,0,0,0,0,0,0
X600015.CH.EQUITY,0,0,0.172802932161684,0,0,0.193135411337645,0,0,0,0,0,0,0.126264484826778,0,0,0,0,0,0,0,0,0.0164950797243395,0.0680740397595885,0.167727652448419,0,0.0892481895262074,0.0287580028777252,0.0546812972395285,0,0,0.0618429258524089,0,0,3.46944695195361e-18,0,0,0.0172826952072808,0,0,0,0,0,0.0224754351818946,0,0,0,0,0,0,0,0,-0.0514831927749403
X600016.CH.EQUITY,0,0.168672343156803,0.0187420430969022,0,0,0,0,0,0,0,0,0,0,0,0.163343645409081,0,0,0.0460133990371656,0.377323239279484,-0.0543903075025376,0,0,0,0.0752897101465333,0,0,0,0,0,0,0,0,0,0,-0.00429448340973348,0,0,0,0,0,0,0.214582451677695,0,0,0,0,0,0,0,-0.0477259417962263,0,0
X600036.CH.EQUITY,-6.93889390390723e-18,0.432156181699114,0,0.14306900364762,0,0,0,0,0,0,0,0,-0.0974670865145714,0,0,0,0.316921774820497,0,0,0,0.111353038798713,0.0393865131736927,0,0,0,0,0,0,0,0,0,0,0,0.465715275269807,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0608746614520775,0.0859178681741985,0,0
X600919.CH.EQUITY,0,0,0,0,0,0,0.0843854843077236,0,0,0,0.433940804164609,0,0,0.0774609451082224,0,0,0.181619239571793,0,0,0.303218382409004,0,0.0576407974629343,0,0,0.0214541543177193,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.108621714221564,0,0.424065593104161,0,0.120702398854989,0,0,-0.329716766259511,0,8.67361737988404e-19,0.130252265975792,0,0.0364371113488167,0
X600926.CH.EQUITY,0,0.323385504282135,0,0,0,0,0,0.254691550131707,0,0,0,0,0,0,0.00195930068625726,0,0,0,0,0.180265485394653,0,0.170570016585091,0,-6.93889390390723e-18,0,0,0,-0.1340978741376,0,-0.106403873815165,0,0,0,0.0436678732712312,0,0,0,0,0,0,0,0,0.0362059913031006,0,0.263745631596764,0,0,0,-0.240608860560409,0,-0.013084884166179,0
X600928.CH.EQUITY,0,0,0.471047470374474,0,0,0,0,0,0.192347290250943,0,0,0,0,0,0,0,0,0,0,0,0,0.00105840548187217,0,-0.137761112023986,0,0.187786771119499,0,0,0,0,0,0,0,0.124333781354935,0,0,0.0764764151035077,0,0,0,0,-0.144952722369689,0,0,0.128855822583962,0,0,0,-0.00801832159055221,-0.00422535374299257,0,-0.174675045492237
