,X000001.CH.EQUITY,X002142.CH.EQUITY,X600000.CH.EQUITY,X600015.CH.EQUITY,X600016.CH.EQUITY,X600036.CH.EQUITY,X600919.CH.EQUITY,X601009.CH.EQUITY,X601166.CH.EQUITY,X601169.CH.EQUITY,X601229.CH.EQUITY,X601288.CH.EQUITY,X601328.CH.EQUITY,X601398.CH.EQUITY,X601818.CH.EQUITY,X601939.CH.EQUITY,X601988.CH.EQUITY,X601998.CH.EQUITY,X11.HK.EQUITY,X2388.HK.EQUITY,X5.HK.EQUITY,X2884.TT.EQUITY,X2886.TT.EQUITY,X2891.TT.EQUITY,X000166.CH.EQUITY,X000776.CH.EQUITY,X002736.CH.EQUITY,X300059.CH.EQUITY,X600030.CH.EQUITY,X600837.CH.EQUITY,X600958.CH.EQUITY,X600999.CH.EQUITY,X601066.CH.EQUITY,X601211.CH.EQUITY,X601688.CH.EQUITY,X601881.CH.EQUITY,X601901.CH.EQUITY,X388.HK.EQUITY,X601318.CH.EQUITY,X601319.CH.EQUITY,X601336.CH.EQUITY,X601601.CH.EQUITY,X601628.CH.EQUITY,X1299.HK.EQUITY,X2881.TT.EQUITY,X2882.TT.EQUITY,X000069.CH.EQUITY,X267.HK.EQUITY,MKRturn,RealEstateDiff
X000001.CH.EQUITY,0,0,0,0.195020129605741,0.0140598822398925,0.124909696449619,0,-1.73472347597681e-18,0.161712553668961,0,0,0,0.120877939858514,0,0,0,0,0,0,0,0,0,0,0,0,6.93889390390723e-18,0,0.00338587600080864,0,0,0,0,0.0191030343300802,0,0,0,0,0,0,0,0,0.0555815557946529,0,0.0991633812061665,0,0,0.0785085074934546,0.0493598790966788,0,0
X002142.CH.EQUITY,0,0,0,0.196426603248592,0,0,0,0.228200469398359,0,0,0.218820299333917,0,0,0,0,0,1.73472347597681e-18,0,0,0,0,0,0,0,0,0,0,0,0,0.0185359938490154,0.161248590605085,0,0,0,0,0,0,0,0,0,0,0,0.0677523199609159,0,0,0,0,0,0,0
X600000.CH.EQUITY,0.0353343428066288,0,0,0,0.139132783587794,0.218782010895741,0,0,0,0,0,0,0.157019365886804,0,0,0,8.67361737988404e-19,0,0,0,0.0216089338078286,0,0,0,0,0.00726914116968118,0,0,0,0,0,0,0,0,0,0,0,0,0.0222408033169687,0,0.0768281163884457,0,0,0.115785406789993,0,0,0,0,0,0
X600015.CH.EQUITY,0,0,0,0,0,0,0.607617298596094,0.0660675563438736,0,0,0.100461478069933,0,0,0,0.0507656629376533,0.0516324739490223,8.67361737988404e-19,0,0,0,0,0,0,0,0.0527760605352117,0,0,0,0.00183765068570857,0,0,0,0,0,0,0.0212879628924963,3.46944695195361e-18,0,0,0,0,0,0,0,0,0,0,0,0,0
X600016.CH.EQUITY,0,0,0.0495614623890373,0.31355009029489,0,0,0,0,0.328902606883896,0,-1.38777878078145e-17,0,0.0473571187438775,0,0,0,0.10671072664433,0,0,0,0,0,0,0.0864071947007553,0,0,0,0,0,-0.0250466444010489,0,0,0,0,0,0,0,0,0,0,0.0392913800855697,0,0,0,0,0,0,0,-0.00180360700936581,-2.16840434497101e-19
X600036.CH.EQUITY,0.422152766406174,0,0.259272295110754,0,0,0,0,0,0,0,0,0,0,0,0.101938573908632,0,0,0,0,-0.0448515802851818,0,0,0,0.0624894216433305,0,0,0,0,0,-0.00767648504483692,0,0,-0.0221321566716552,0,0,0,0,0,0,0,0.0316962823488635,0.123424567053161,0,0,0,0.018498918678121,0,0,0,0.0541472632712191
X600919.CH.EQUITY,0,0,0,0.264104647583243,0,0,0,0,0,0,0,0,0,0,0,0,0.274046221965066,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0875586332941823,0,0.202191928786813,0,0,0.034139450115424,0,0,0.0515748591147133,0,0,0.0142990660695783,0,0,0,0,0,0,0
X601009.CH.EQUITY,0,0.230553585943154,0,0.215895024321889,0,0,0,0,0.369413292880922,0,0,0,0,0,0,0,-6.93889390390723e-18,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0619268067243026,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0335105901939597,0,0.261134422078952,0,0
X601166.CH.EQUITY,0,0.00507754992477479,0,0,0.0920035025712753,0.209620701604326,0,0.0943512604683731,0,0,0,0,0.0802659828289898,0,0,0.0862191461477796,0.06927411160578,0,0,0,0,-0.039122597360016,0,0,0,0,-0.00638652783097065,0,0,0,0,0,0,0,0,0,0,0,0.107141475788191,0,0,0,0.116870794505191,0,0,0,0.0497561909458342,0,0.0331212401132171,0
X601169.CH.EQUITY,0,0,0,0.035709344824853,0,0.0544183842244337,0,0,0,0,0,0,0.0124775463133025,0,0,0,0.200263695400788,0.153436655649945,0,0,0,0,0,0,0,0.0996058264950685,0,0,0.0512270823103622,0,0.0976383420908446,0,0,0,0,0,0,0.0746021953031011,0,0,0.0672244677011712,0,-1.73472347597681e-18,0.0674983880430637,0,0,0,0,0,0
