,X000001.CH.EQUITY,X002142.CH.EQUITY,X600000.CH.EQUITY,X600015.CH.EQUITY,X600016.CH.EQUITY,X600036.CH.EQUITY,X601166.CH.EQUITY,X601169.CH.EQUITY,X601229.CH.EQUITY,X601288.CH.EQUITY,X601328.CH.EQUITY,X601398.CH.EQUITY,X601818.CH.EQUITY,X601939.CH.EQUITY,X601988.CH.EQUITY,X601998.CH.EQUITY,X601658.CH.Equity,X11.HK.EQUITY,X2388.HK.EQUITY,X5.HK.EQUITY,X000166.CH.EQUITY,X000776.CH.EQUITY,X002736.CH.EQUITY,X300059.CH.EQUITY,X600030.CH.EQUITY,X600837.CH.EQUITY,X600999.CH.EQUITY,X601066.CH.EQUITY,X601211.CH.EQUITY,X601688.CH.EQUITY,X388.HK.EQUITY,X601318.CH.EQUITY,X601319.CH.EQUITY,X601336.CH.EQUITY,X601601.CH.EQUITY,X601628.CH.EQUITY,X1299.HK.EQUITY,X2881.TT.EQUITY,X2882.TT.EQUITY,X000002.CH.EQUITY,X001979.CH.EQUITY,X600048.CH.EQUITY,X1109.HK.EQUITY,X1113.HK.EQUITY,X12.HK.EQUITY,X16.HK.EQUITY,X2007.HK.EQUITY,X267.HK.EQUITY,X688.HK.EQUITY,X823.HK.EQUITY,MKRturn,TED,RealEstateDiff
X000001.CH.EQUITY,0,0.0614000056430377,0.076353583429133,0.120837150788899,0,0,0.21691455012646,0,0.157155676653377,0,0,0,0,0,0,0,0.0152309976078865,0,0,0,0,0,0,0,0,0,0.0103603918203652,0.0182127586733085,0,0,0.0652400279088685,0,0,0,0,0,0,0,0,0,0,0,0,0.0563667821746434,0,0,0.216340950331542,0,0,0,0,0.0696586252675035,0
X002142.CH.EQUITY,0.169038870064755,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.313876977450876,0,0.0482567697226503,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.179701049909747,0,0,0,0,6.93889390390723e-18,0,0,0.097899813278331,-0.0680427134601301,0.0599531125618371,0,0,0.122594556679385
X600000.CH.EQUITY,0,0,0,0,0.468971148228927,0,0,0.0687333500536,0.0475238384604464,0,0.0966408391509621,0,0,0,0,0.128522336135521,0,0,0,0,0.0808397685257196,0,0,0,0,0,0,0,0,0.0120346283579927,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
X600015.CH.EQUITY,0,0,0,0,0,0,0.488878839230596,0,0,0,0,0,0,0.186282114494366,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.64769202858006e-06,0,0,0,0,0,0,0,0,0.317905499275884,0,0,0,0,0,0.0214295363540056,0,0
X600016.CH.EQUITY,0,0,0.0214651074477927,0.046582286283624,0,0,0,0.0909290621277718,0.060593530755481,0.0518573505800617,0.271784941360156,0.0270529111776311,0.0616323294298387,0,0,0.357800201528489,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
X600036.CH.EQUITY,0,0,0,0.0414958496957087,0,0,0.464948223008374,0,0,0,0,0,0,0,0,0,0,0,0.107022328865071,0,0,0,0,0.0456997043898225,0,0,0,0.0607245895051257,0,0.0613979004327686,0,0,0,0,0,0,0.206489100944117,0.0766059701327911,0,0,0.0942419373200224,0,0,0,0,0,0,0,0,0,-0.0308110730081365,0,0
X601166.CH.EQUITY,0.20473575712068,0,0,0.157376180375028,0,0.215706760726758,0,0.0497274879528459,0,0,0,0.0105963345945095,0.294371531240128,0.0176965427179591,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0274786489462744,0,0,0,0,0,0,0,0,0,0,0,0.0197369734414138,0,-0.0594696107259171,0
X601169.CH.EQUITY,0,0,0.143924734883156,0.340890601355077,0,0,0,0,0.0528557065882453,0,0,0,0,0,0,0.0981782900771865,0.0237820053478163,0,0,0,0,0,0,-0.00174133685686754,0,0.0697444122683811,0.00357924801421434,0,0,0,0,0,0.0829797060398682,0.128746645606648,0,0,0,0,0,0,0.110957180126426,0,0,0,0,0,0,-0.0223293815553436,0,0,0,0.00041154353599755,0
X601229.CH.EQUITY,0,0.021582635978107,0.219249607935186,0.13323800792285,0,0,0,0,0,0,0,0,0.132518840700369,0,0,0,0.238368192938412,0,0,0,0.237651981060513,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0694493161177062,0,0,0,0,0,0,0,0,0,0,0,0.0849650201716969
X601288.CH.EQUITY,0.031702605530628,0,0,0,0,0,0,0,0.0862400553511682,0,0.092920382913919,0.366326660942785,0,0,0.305150520268388,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0796617690737288,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0253266162127118,0
X601328.CH.EQUITY,0,0,0.28499213380523,0,0.119809939560131,0,0,0.129149578846649,0,0.311961997372192,0,0,0.0232430017600057,0,0,0,0,0,0,0,-8.67361737988404e-19,0,0,0,0,0,0,0,0.0530625231035945,0,0,0,0,0,0,0,0,0,0.0353764957986091,0,0.0749525310582067,0,0,0,0,0,0,0,0,0,0,0.0311698960824638,0
X601398.CH.EQUITY,0.0143602913523561,0,0,0,0,0.0461270215273658,0.151846865844362,0,0,0.421791280094278,0,0,0,0.0959840198230613,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0112549888576673,0,0,0.236539214627731,0,0,0,0,0.0580949299618826,0,0,0,0,0,0,0,0,0,0,0,0
X601818.CH.EQUITY,0,0.045787488710827,0,-1.73472347597681e-18,0,0,0.445018997244687,0,0,0,0,0,0,0,0,0.544324899041538,0,0,0,0,0,0,0,0,-0.0427864787007235,0,0,-0.00657799446243533,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0174230685326066,0,0,0,0,0,-0.027961003818869,0,0,0
X601939.CH.EQUITY,0,0,0.324763843764598,-3.46944695195361e-18,0,0,0.118870335512271,0,0,0,0,0.468641150680588,0,0,0,0,0.0844097173156195,0,0,0,0,0,0,0,0,0,0,-0.0314210384780643,0,0,0,0,0,0,0,0,-0.116557442983922,0.0101826838451028,0,0,0,0.016284224488765,0,0,0,0,0,0,0,0,0,0,0.0413422941814489
X601988.CH.EQUITY,0.157071345462798,0,0,0,0,0,-4.33680868994202e-19,0,0,0.393343596735714,0.208287050621945,0,0,0.054296169894617,0,0,0,0,0,0,0,0,0,0.0821925724585554,0,0,0,3.46944695195361e-18,0,0,0,0,0,0,0,0,0,0,0,0.079386089013433,0,0,0,0.00928271614884079,0,0,0,0,0,0,0,0,0.0764491121110418
