,X000001.CH.EQUITY,X002142.CH.EQUITY,X600000.CH.EQUITY,X600016.CH.EQUITY,X600036.CH.EQUITY,X600926.CH.EQUITY,X601166.CH.EQUITY,X601169.CH.EQUITY,X601229.CH.EQUITY,X601288.CH.EQUITY,X601328.CH.EQUITY,X601398.CH.EQUITY,X601818.CH.EQUITY,X601939.CH.EQUITY,X601988.CH.EQUITY,X601998.CH.EQUITY,X601658.CH.Equity,X11.HK.EQUITY,X2388.HK.EQUITY,X5.HK.EQUITY,X000166.CH.EQUITY,X000776.CH.EQUITY,X002736.CH.EQUITY,X300059.CH.EQUITY,X600030.CH.EQUITY,X600837.CH.EQUITY,X600999.CH.EQUITY,X601066.CH.EQUITY,X601211.CH.EQUITY,X601688.CH.EQUITY,X388.HK.EQUITY,X601318.CH.EQUITY,X601319.CH.EQUITY,X601336.CH.EQUITY,X601601.CH.EQUITY,X601628.CH.EQUITY,X1299.HK.EQUITY,X2881.TT.EQUITY,X2882.TT.EQUITY,X000002.CH.EQUITY,X600048.CH.EQUITY,X1109.HK.EQUITY,X1113.HK.EQUITY,X12.HK.EQUITY,X16.HK.EQUITY,X1997.HK.EQUITY,X2007.HK.EQUITY,X267.HK.EQUITY,X688.HK.EQUITY,X823.HK.EQUITY,MKRturn,TED,RealEstateDiff
X000001.CH.EQUITY,0,0,0,0,0.0312552143930995,0,0.414358048476683,0,0,0,0,0,0.113838899101465,0,0,0,0,0,0.0986845846126812,0,0,0,-0.068639583944527,0,0,0,0.134019760794573,0.102637698932395,0,0,0,0.101727294658437,-0.0459390668353634,0,0,0,0,-0.190249383246418,0,0,0,0,0,-2.16840434497101e-19,0,0,0,0,0,0,-0.127270651756506,0,0
X002142.CH.EQUITY,0.377177516960126,0,0,0,0.00339787822409418,0.146429351682623,0.150367996605916,0,0,0,0,0,0,0,0,0.175119668181665,0,0,0,0,0,0,0.0227456801275435,0,0,0.0365848521892708,0,0,0,0,0,0,0.0337852155777941,0,0.0619279064829255,0,0,0,0,0,0,0,-0.193037692638602,0,0,-0.0214519146943787,1.73472347597681e-18,0,0,0,0,-0.0284273008539087,0
X600000.CH.EQUITY,0.144105356260237,0,0,0.124938712307145,0,0,0,0.1395424722975,0.054351660459141,0,0,0,0,0,0,0,0.0959232807278906,0,0,0,0,0,0,0,0,0,0,0,0.215999530263984,0,-0.00860184163699956,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.152280451843186,0,-0.0419045336715934
X600016.CH.EQUITY,0,0,0,0,0,0,0.139652516242199,0.429434590645908,0,0,0.227569003997201,0,0.0668435014034374,0.0467995569981304,0.00895315735030827,0,0,0,0.0872642731563211,0,0,0,0,0,0,0,0,0,0,0,0,0.100202339329073,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
X600036.CH.EQUITY,0.115886742771562,0,0,0.312080632602147,0,0,0,0.179438120537279,0,0,0,0,0.0701701192286331,0,0,0.0580374764557864,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.120726948257842,0,0.0974085501566463,0.0105757988736887,0,0,0,-0.11590538877121,0,0,0,0,0.0107636753281082,-0.0430508407932,0,0,0
X600926.CH.EQUITY,0,0,0,0,0,0,0.563258406160454,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0241605721944748,0,0.00114258904135289,0,0,-0.0962194440381026,0,0,0,0,-0.154912677235282,0,0,0
X601166.CH.EQUITY,0.268202099646216,0,0,-8.67361737988404e-19,0,0.221753059595831,0,0,0,0,0,0,0.313487283442878,0,0,0,0,0,0,0.00953716067157489,0,0,0,0,0,0.0887904604706151,-0.0734567876799394,0,0,0,-0.0711966485394605,0,0,0,0,0,0,0.0329639559365614,0,0,0.0266171566523412,0,0,0,-0.0784719030060529,0,0.0614348073643001,0,0.0809190883336141,0,-0.0386590497339684,0,0
X601169.CH.EQUITY,0,0,0,0.745907035340402,0.0375166600913317,0,0,0,0,0,0,0,0,0.137273224787015,0,0,0,0,0,0.0913197441542939,0,0,0,0,0,0,0,-0.0612290687858434,0,0,0,0.0539327994279047,0.0589314675994794,0,0,0,0,-0.150152397523519,0,0,0,0,0,0,0,-0.0391123522192282,0,-0.0515925390697317,0,0,0,0,0
X601229.CH.EQUITY,0,0,0,0.148523541389376,0.0712391009104354,0,0,0,0,0,0,0,0,0.0301487378934986,0,0,0.14828021782439,0,0,0,0.0513082737364768,0,0,0,0,0,0,0,0,0.0734700585626941,0,0,0,0,0.117428737474613,0.0133597201911108,0,0,0,0,0.0475515272676951,0,0.174458188651125,0,0,0,0,0,0,0,0,0,0
X601288.CH.EQUITY,-1.73472347597681e-18,0.0394510242572539,0.0586692406600416,0,0,0.013395097850042,0.103335008658659,0,0.0729866914542651,0,0,0,0.0213962831387264,0.175733470432218,0.456236914322758,0.0351666102951589,0,0,0,0,0,0,0,0,0,-0.0255447129044289,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.10409170941601,0,0,0,0
X601328.CH.EQUITY,0,0,0.219226280277648,0.0572744614835197,0,0,0,0,0.145325512264175,0,0,0.121006139259857,0,0.0186879609256233,0.204713570813628,0.0157960775024005,0,0.0173034172068821,0,0,0,0,0,0,0,0,0,0,0.014742047530819,0,0,0,0,0,0.0891529956629718,0.0587611649090918,0,0,0,0,0,0,0,0,0,0,0,0.0569093122807075,0,0,0,0,0
