,X000001.CH.EQUITY,X002142.CH.EQUITY,X600000.CH.EQUITY,X600016.CH.EQUITY,X600036.CH.EQUITY,X601166.CH.EQUITY,X601169.CH.EQUITY,X601229.CH.EQUITY,X601288.CH.EQUITY,X601328.CH.EQUITY,X601398.CH.EQUITY,X601818.CH.EQUITY,X601939.CH.EQUITY,X601988.CH.EQUITY,X601998.CH.EQUITY,X601658.CH.Equity,X11.HK.EQUITY,X2388.HK.EQUITY,X5.HK.EQUITY,X000166.CH.EQUITY,X000776.CH.EQUITY,X002736.CH.EQUITY,X300059.CH.EQUITY,X600030.CH.EQUITY,X600837.CH.EQUITY,X600999.CH.EQUITY,X601066.CH.EQUITY,X601211.CH.EQUITY,X601688.CH.EQUITY,X600918.CH.Equity,X388.HK.EQUITY,X601318.CH.EQUITY,X601319.CH.EQUITY,X601336.CH.EQUITY,X601601.CH.EQUITY,X601628.CH.EQUITY,X1299.HK.EQUITY,X2881.TT.EQUITY,X2882.TT.EQUITY,X000002.CH.EQUITY,X600048.CH.EQUITY,X1109.HK.EQUITY,X1113.HK.EQUITY,X12.HK.EQUITY,X16.HK.EQUITY,X1997.HK.EQUITY,X2007.HK.EQUITY,X267.HK.EQUITY,X688.HK.EQUITY,X823.HK.EQUITY,MKRturn,TED,RealEstateDiff
X000001.CH.EQUITY,0,0.170202597118815,0,0,0.00212388466594995,0.209934818911317,0,0,0,0,0,0.160500192312898,0,0,0,0,0,0.00165515851160449,0,0,0,-0.360335081510699,0,0,0,0,0.310220535730587,0,0,0,0,0.329895782908925,-0.0676190409489122,0,0,0,0,-0.0279679853025155,0,0,0,-0.0810849128115913,0,0,0,0,-0.0323461213442182,-0.130712681502612,0,0,-0.104880349721411,0,0
X002142.CH.EQUITY,0.463372439047048,0,0,0,0.086602960912992,0.209586560745689,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.066176619454922,0,0,1.73472347597681e-18,-0.0451156085696047,0,-0.0546115217649457,0,0,0,0,0
X600000.CH.EQUITY,0.11194457721042,0,0,0,0,0,0.228638327794215,0,0,0.0701271792142191,0,0,0,0,0.0798776850079077,0.121384770373538,0,0,0,0,0,0,0,0,0,0,0,0.242505339613625,0,0,-0.0445770421558769,0,0,0,0,0,-0.0499400395327422,0,0,0,0,0,0,0,0,0,0,0.115540311927753,0,0,-0.203094292648463,0,-0.0206657611417931
X600016.CH.EQUITY,0,0,0,0,0.0106246723502968,0.191568213534163,0.443158114498609,0,0,0.261533064183187,0,0.00394584335505493,0,0,0,0,0,0.106920949810668,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000458253988792823,0,0,0,0,0
X600036.CH.EQUITY,0.0987732282610638,0,0,0.348049986226155,0,0,0.0847117617147754,0,0,0,0,0.135982719794624,0,0,0.0442995454475561,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.136698686721869,0,0,0.0210467796604289,0,0,0,-0.121888960264077,0,0,0,0,0,-0.0569935013558255,-0.08091839922957,0,0
X601166.CH.EQUITY,0.509547762620479,0,0,0,0,0,0,0,0,0,0,0.136697785279356,0.127645940374439,0,0,0,0,0,0,0,0,0,0,0,0,-0.0243838288765891,0,-0.032802905749984,0,0,-0.134279493874118,0,0,0.0102032883764921,0,0,0,0.0757812690592766,0,0,0.102057125993356,0,0,-0.0591194097846771,-0.0595616715245465,0,0.0867639010016495,0,0,0,0,0,0
X601169.CH.EQUITY,0,0,0,0.744633191941626,0.0605076861291606,0,0,0,0,0,-0.0221597247669488,0,0.157303896742145,0,-0.0441316964320157,-0.033583337114439,0,0.0438733740919223,0.0783685747893858,0,0,0,0,0,0,0,-0.0765096268946314,0,0,0,0,0,0.160247911198331,0,0,0,0,-0.14422824404279,0,0,0,0,0,0,0,0,0,-0.112354053552974,0,0,0,0,0
X601229.CH.EQUITY,0,0,0,0.139227861000548,0,0,0,0,0,0,0,0.051921877293697,0.12792429739588,0,0,0.109675654679466,0,0,0,0.133251556880309,0,0,0,0,0,0,0,0,0,0.0613521485678817,0,0,0.0131256818468277,0,0.0441829576402369,0,0,0,0,0,0.00425419772605749,0,0,0,0,0,0,0,0,0,0,0,0
X601288.CH.EQUITY,0,0.0640618554618422,0.0904452184127365,0,0,0.0377766240161165,0,0,0,0,0,0.0513235931713211,0.195077887246836,0.480743983200057,0.00897665642364754,0,0,0,-0.0237017506009137,0,0,0,0,0,-0.027373665383161,0,0,0,0,0,0,0,4.33680868994202e-19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0980546839668742,0,0,0,0
X601328.CH.EQUITY,0,0,0.0368429146953311,0.172057923368151,0,0,0,0.141884116113493,0,0,0.351542625968106,0,0.0257150511107035,0.202307026473987,0,0,0.0173577228564894,0,0,0,0,0,0,0,0,0,0,0.0695592577869962,0,0,0,0,0,0,0.0332739988528791,0.0056241947533871,0,0,0,0,0,0,0,0,0,0.0441391342378153,0,0,0,0,0,0,0
X601398.CH.EQUITY,0,0,0,0,0,0.0165737705715911,0,0,0.112308250426357,0,0,0,0.181199420619484,0.32183589099811,0.230573862577045,0,0,0,0,0,0,0,0,0,0,0.0902781010969791,0,0,0,0.00227691128078393,0,1.73472347597681e-18,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0379727468405638,0,0.0538376411723221,0.105090794540449,0,0,0,0
X601818.CH.EQUITY,0,0.246011295928478,0.271581127983053,0,0,0.121824205247203,0,0,0,0,0,0,0,0,0.128817823328553,0.0740798435617041,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.12029622160128,0,0,0,0,0,0,0,0,0,0,0.0707322397438427,0.0161761964492574,0,0.0941523681333208,0,0.153932211253357,0.0106120240977105
X601939.CH.EQUITY,0,0,0,0,0,0,0.245078131397506,0,0,0,0.589328031892361,0.118618361599804,0,0,0,0,0,0,0.118598886725571,0,0,0,0,0,0.133085724879933,0,0,-0.0671562082955303,0,0,0,0.0617803046382759,0,0,0,0,0,0,0,0.053786816828057,0,-0.0133213809219827,0,0.108534893525846,0,0,0,0,0,0,0.059699220794528,0.0441812825371486,0
X601988.CH.EQUITY,-0.124766056508363,0,0,0,0,0,0,0,0.532363382561542,0.233220678671722,0.0560311189605954,0,0,0,0.0104207007864833,0,0,0,0,0.04266957349385,0,0,0,0,0,0,0.0471561599387024,0,0,0.0292868876636162,0,0,0,0,0,0,0,0,0.0613076340670505,0,0,0,0,0,0,0,0,0,-0.154908760021032,0,0,0,0
X601998.CH.EQUITY,0,0,0,0,0.0870608343294704,0,0,0,0,0,0.446500598987601,0.134749620638661,0,0.174848333249586,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
X601658.CH.Equity,0,0,0.0429666958878022,0,0,0,0,0.0867694528383592,0.421443805813675,0,0,0,0,0,0.0353392472534206,0,0,0.096528067786515,0,0,0,-0.0977324295339315,0,0,-0.0784608137500235,0,0,0,0,0,-0.171237562452496,0,0,0,3.46944695195361e-18,0.139942995504914,0,0,0.0796818264952121,0,0,0,0,0,0,-0.0276518327537313,0,0,0,0,0.277383064550239,0,0.368495479794082
X11.HK.EQUITY,0,0,0,0,0,0,0,-0.00695399968310623,0,0,0,0,-0.0784287195484643,0,0,0,0,0.0926900888192872,0.637676798241594,0,0,0,0,0,0,-0.0467581821566235,0,0,0,0,0,0,0,0,0.0213221857741245,0,0.0328579091913349,0.0497675710777079,0,0,0,0,0,0,0,0,0,0.26494505182058,0.123200550198969,0,0,0,-0.119604631304455
