,X000001.CH.EQUITY,X002142.CH.EQUITY,X600000.CH.EQUITY,X600015.CH.EQUITY,X600016.CH.EQUITY,X600036.CH.EQUITY,X600919.CH.EQUITY,X600926.CH.EQUITY,X601009.CH.EQUITY,X601166.CH.EQUITY,X601169.CH.EQUITY,X601229.CH.EQUITY,X601288.CH.EQUITY,X601328.CH.EQUITY,X601398.CH.EQUITY,X601577.CH.EQUITY,X601818.CH.EQUITY,X601838.CH.EQUITY,X601939.CH.EQUITY,X601988.CH.EQUITY,X601997.CH.EQUITY,X601998.CH.EQUITY,X601658.CH.Equity,X601916.CH.Equity,X601077.CH.Equity,X2801.TT.EQUITY,X2880.TT.EQUITY,X2884.TT.EQUITY,X2886.TT.EQUITY,X2891.TT.EQUITY,X2892.TT.EQUITY,X5880.TT.EQUITY,X600030.CH.EQUITY,X600837.CH.EQUITY,X600999.CH.EQUITY,X601066.CH.EQUITY,X601211.CH.EQUITY,X601688.CH.EQUITY,X2885.TT.EQUITY,X601318.CH.EQUITY,X601319.CH.EQUITY,X601336.CH.EQUITY,X601601.CH.EQUITY,X601628.CH.EQUITY,X2881.TT.EQUITY,X2882.TT.EQUITY,X2883.TT.EQUITY,X2888.TT.EQUITY,X000002.CH.EQUITY,X600048.CH.EQUITY,MKRturn,TED,RealEstateDiff
X000001.CH.EQUITY,0,0,0.288216522127646,0,0,0.297310438962199,0,0.0406310708431554,0,0.257088630090699,0,0.0460692294520296,0,0,0,0,0,0,-0.00805682264551308,0,0,0,0,0,0,-0.168968604285053,0,0,0,0,0,0,0,0,0.13648502031999,0.0530726501809185,0,0,-0.0730357640832809,0,0,0,-0.103754835817301,0,0,0,0,0,0,0,0,0,0
X002142.CH.EQUITY,0,0,0,0,0,0,0,0.342256369744094,0,0,0,0.179791729990165,0,0,0,0,0,-0.293770027753721,0.0145696120099817,0,0,0,0,0,0,0,0,0,0,0,0,0,0.195583443789076,0,0,0,0,0,0,0,0,0,0.216313454962544,0,0,0,0,0,0.0782680864280116,0,0,-0.094760031358019,0
X600000.CH.EQUITY,0.27040542293384,-6.93889390390723e-18,0,0,0.169138431011854,0.0958315028829638,0,0,0,0,0.00868198656020452,0,0,-0.0532029717241643,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0843742700980478,0,0,0,0,0,0,0,0,0.047152445771429,0.23703293240435,0,0,-8.67361737988404e-19,0,0,0,0,0,0,-0.0827669817735986,0,0
X600015.CH.EQUITY,0,0,0.209838369336078,0,0,0,0.105965282805962,0,0,0,0.113598739438328,0.020643393072833,0,0,0,0,0.283630662774589,0,-0.0680453204691135,0,0,-6.93889390390723e-18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0603111160467951,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0356400770569714,0,0
X600016.CH.EQUITY,0.12090243588605,0,0.13228546192089,0.00137395151838354,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.134337533691599,0,0.106599795697123,0.454920399403688,0,0,0,0,0,0.212221214674618,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0155917043924058,0,0.123602067924883,0,0,0,0
X600036.CH.EQUITY,0,0.00923552219079057,0.129998521809142,0,0,0,0.0248584746108107,0,0.0402130560439184,0.238658220279346,0,0,0,0,0,0,0,0,0,0,0.181799445530003,3.46944695195361e-18,0,0,0,0,0,0,0,3.46944695195361e-18,0,0,0.0209205748199224,0.0539181499707431,0,0,0,0,0,0,0.0156716289073447,0,0.12089550335301,0.203066094354619,0,0,0,0,0,0,0,-0.0380596518033652,0
X600919.CH.EQUITY,0,0.0375506621984978,0,0.0241248501064748,0,0.163513932618202,0,0,0.0170826130457485,0,0.130051828568572,0,0.0704982353240349,0,0,0.0536206289618507,0,0,0,0,0.247163139621048,0,0.049372251884244,0.0287047929461318,0,0,0,0,0,0,0,0.119306137312789,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0561920230737488,0,0
X600926.CH.EQUITY,0,0.117324640395433,0,0,0,0,0,0,0,0.54491366723174,0,0,0,-0.150276863606746,0,0.24427378997112,0,0,-0.0483781744750894,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0405541178497751,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.06306930324535,0
X601009.CH.EQUITY,0,0,0,0,0,-3.46944695195361e-18,0.0824088291434656,0,0,0.132345659102246,0,0.210283971465305,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.183879822799916,0,0,0,0,0,0,0,0,0,0,0.0255865114365771,0,0,0.0345978682005172,0,0,0,0,0,0,0,0,0
X601166.CH.EQUITY,0.405623380305483,0,0,0,0,0.185472239102838,0,0.212725655009679,0,0,0,-0.0712330417152174,0,0,0,0,0,0,0,0,0,0,0.24585139430591,0,0,0.0348028656340101,0,0,0,0,0,0,0,0,0,0,-0.0547301475477849,0,0,0,0,0,0,0,0,0.0197460242002173,0,0,0,0.172158993060614,0,-0.0334378119383898,-0.00699615154351736
