,X000001.CH.EQUITY,X002142.CH.EQUITY,X600000.CH.EQUITY,X600015.CH.EQUITY,X600016.CH.EQUITY,X600036.CH.EQUITY,X601166.CH.EQUITY,X601169.CH.EQUITY,X601229.CH.EQUITY,X601288.CH.EQUITY,X601328.CH.EQUITY,X601398.CH.EQUITY,X601818.CH.EQUITY,X601939.CH.EQUITY,X601988.CH.EQUITY,X601998.CH.EQUITY,X11.HK.EQUITY,X2388.HK.EQUITY,X5.HK.EQUITY,X2891.TT.EQUITY,X000166.CH.EQUITY,X600030.CH.EQUITY,X600837.CH.EQUITY,X600999.CH.EQUITY,X601066.CH.EQUITY,X601211.CH.EQUITY,X601688.CH.EQUITY,X388.HK.EQUITY,X601318.CH.EQUITY,X601319.CH.EQUITY,X601336.CH.EQUITY,X601601.CH.EQUITY,X601628.CH.EQUITY,X1299.HK.EQUITY,X2881.TT.EQUITY,X2882.TT.EQUITY,X000002.CH.EQUITY,X001979.CH.EQUITY,X600048.CH.EQUITY,X1109.HK.EQUITY,X1113.HK.EQUITY,X12.HK.EQUITY,X16.HK.EQUITY,X17.HK.EQUITY,X1997.HK.EQUITY,X2007.HK.EQUITY,X267.HK.EQUITY,X688.HK.EQUITY,X823.HK.EQUITY,MKRturn,TED,RealEstateDiff
X000001.CH.EQUITY,0,0.153315416626997,0,0.0324400814632922,0,0,0,0,0.0674258247735047,0,0,0,0,0,0,0,0,0,0,0.308348979958851,0,0,0,0,0,0,-0.0104137544299069,0,0,0,0,0,0,0,0,-0.0740015599584774,0,0.248683339302841,0,0.118378700351071,0,0,0,0,0,0,0,0,-0.267264606558397,0,0,0
X002142.CH.EQUITY,0.176486892121358,0,0,0,0,0.0450008243058356,0,0,0,0,0,0,0,0,0.288800149304716,0,0,0,0,0.0433673317445206,0,0,0,0,0,0,0,0,0,0,0.0551305432511321,0,0,0,0,-0.0592803940499141,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0147864051237687,0,0
X600000.CH.EQUITY,0.132877952085383,0.0630243705793185,0,0,0.123937419775922,0.223088825011353,0,0.104850095680413,0,0.0359179845424853,0.245200386456725,0,0.0110255795730403,0,0,0,0,0,0,6.93889390390723e-18,-0.0589571727492988,0,0,0,0,0,0,0,0.0430605220818069,0,0,0,0,0,0.0585530937584247,0,0,0,0,0,-0.0666206667701074,0,0,0,0,0,0,0,0,0,-0.120540248010259,0.0624908127165229
X600015.CH.EQUITY,0,0,0,0,0,0,0,0.300274542313711,0,0,0,0.0620860162810176,0.379662217635708,0.0336346342106288,0,0,0.0800800540374765,0,0.0776928360858613,0,0,0,0.0651197850765891,0,0,0,0,0,0,0,0.090980943458642,0,0,0,0.0513578381856354,0,0,0.021684979275255,0,0,0,0,0,0,0,-0.0801930240700077,0,0,0,0,0,0
X600016.CH.EQUITY,0,0,0.134822903635632,0.273691788283511,0,0,0,0,0,0,0.240710584993319,0,0,0,0,0,0,0,0,0,0.055998559096808,0,0.0728310374556372,0,0.0372748853213352,0,0,0,0.0376489098864688,0,0.10186158343547,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0174195521878703,0
X600036.CH.EQUITY,0.309206382783049,0.111664365368716,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.211338712282032,0,0,0,0,0,0.0911921804843098,0,0,0,0,0.252552506557487,0,0,0,0,0,0,0.00059282563411996,0,0,0,0,0,0,0,0.138575758905351,0,-0.00807875005246387,0.0176405458548544,0,0,0.0528380122520859,0.0702111266105858,0
X601166.CH.EQUITY,0,0.42404223420742,0,0,0,0,0,0,0,0,0,0,0,0,0.198558727294587,0,0,0,0,0,0,0,0,0,0.0918953790013493,0,0,0,0.0673373329204381,0,0.247613388360397,0.0723625986365818,0.0744346500029067,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.105865749494589,0
X601169.CH.EQUITY,0,0,0.0538111286829572,0.35137233001461,0,0,0,0,0,0,0.404917222045377,-0.190487741665753,0.216738191481691,0,0,0.0333955763302098,0,0.0344885806099959,0,0.0135662574033946,0,0,0,0,0,0,0,0,0.0471237198925962,0,0.0121984101102385,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0710428148601732,0.124650610166287,0,0,0,0
X601229.CH.EQUITY,0,0,-0.151174388861562,0.320916545128431,0,0,0,0,0,0.40633649712978,0,0,0,0.101679475325739,0,0,0,0,0,0,0,0.112908270069204,0,0,0.247090749243561,6.93889390390723e-18,0,0,0,0,0,0.212120022594609,0,0,0,0,0,0,0.0103078617941741,-0.0239917606651291,0,0,0,0,0.172969302731325,-0.242705789889254,0,0,0,-0.111198945014229,-0.0218974609796562,0
X601288.CH.EQUITY,0,0,0,0,0,0,0,0.0216962105464785,0.164115488925164,0,0,0.392845286153439,0,0.206260174261823,0.0740187777862857,0,0,0,0.152013337981123,0,0,0,0.0592746156757478,0,0.0476587725972922,0,0,0,0,0,0,0,0.0445756382778011,0,0,0,0.0213569492134277,0,0,0,0,0,0,0,0,0.073296528872237,0,0,0,0,0,0
X601328.CH.EQUITY,0,0.00996746879949187,0.234151958951088,0.0257167889233737,0.139202674956699,0,0,0.180746015703284,0,0,0,0,0,0,0.110844235826905,0.175805128496091,0,0,0.0773654639121482,0,0.0169642364089305,0,0,0,0,0,0,0,0.0232309271649615,0.0682481604574709,0.0329181812707557,0,0,0,-0.0198020391454717,0,0,0,0,0,0,0,0,0,0,0,-0.180558540816555,0.0744070793418157,0,0,0,0
X601398.CH.EQUITY,0,0,0,0,0.113757067837122,0,0,0,0,0.313334801061943,0.0206314864564231,0,0.138848006627951,0.335979131995698,0,0,0.0426911034127345,0,0,-0.0626761864468172,0,0,0,0,0,0,0,-0.0248053548424122,0,0,0,-0.0353560269158939,-0.0887187552575556,0,0,0,0,0,0,0,-0.10092116749287,0,0,0,0,0,0,0,0,-0.0938527288425973,0,0
X601818.CH.EQUITY,0.223197750695714,0,0.167322905633116,0,0,0,0,0,0,0,0,0,0,0,0,0.420624529082364,0,0.0487673083359786,0,0,0,0,0,0,0,0,0,-0.213171476096815,0,0.114868800995509,0.0184997434730272,0,-0.199674703448003,0,0.0540583610748896,-0.140101587093443,0,0,0.121007370947877,0,0,0,0,0,0,0,0,0,0,0.0228957445444285,0,0.10426004440981
X601939.CH.EQUITY,0.156862201143679,0,0,0.0140701903239969,0,0,0,3.46944695195361e-18,0.316387311705304,0.0615629730736203,0,0.46024051101799,0,0,0,0,0,0.0177663857938798,0.111377045960383,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0319808407788525,0,-0.147396968212402,0,0,0,0,0,0,0,0,0,0,0,0.139574183883003,0,0,0,0,0
X601988.CH.EQUITY,0,0,0,0,0.0470907396616868,0,0.112561782899284,0,0,0.259757559166904,0.283768821646484,0.0223443938861244,-0.0457431097236437,0.144206621574801,0,0,0,0,0,0,0.103928473170681,0,0,0,0,0,0,0,0,0,0,0,0.0797613573539723,0,0,0,-0.334454163526105,0,0,0,0,0,0,0,0,0,0,0,0,0.119053060917871,0,0
X601998.CH.EQUITY,0,0,0,0.0661092006048326,0,0,0,0,0,0,0.312810083167915,0.0282932931483128,0.141177218181487,3.46944695195361e-18,0,0,0,0,0,0,0,0,0,-0.0968749639442499,0,0,0,0,0,0,-3.46944695195361e-18,0,0,0,-8.67361737988404e-19,0.143796975778003,0,0,0.0441390021368081,0,0,0.121003663024166,0,0,0,0,0,0,0,-0.0327688749675726,0,0
X11.HK.EQUITY,0,0,0,0,0,0,0,0,-0.161058226012306,0,0,0.283015413277327,-0.0378389975654819,0,0,0,0,0.370456276544212,0.190329603920935,0,0,0,0,0,-0.0171540755697345,0,0,0,0,0,0,0,0,0.15482054845825,-0.039937417167091,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0252172567333958,0,-0.0915971381650168
