,X000001.CH.EQUITY,X002142.CH.EQUITY,X002958.CH.EQUITY,X600000.CH.EQUITY,X600015.CH.EQUITY,X600016.CH.EQUITY,X600036.CH.EQUITY,X600919.CH.EQUITY,X600926.CH.EQUITY,X601009.CH.EQUITY,X601166.CH.EQUITY,X601169.CH.EQUITY,X601229.CH.EQUITY,X601288.CH.EQUITY,X601328.CH.EQUITY,X601398.CH.EQUITY,X601577.CH.EQUITY,X601818.CH.EQUITY,X601838.CH.EQUITY,X601939.CH.EQUITY,X601988.CH.EQUITY,X601997.CH.EQUITY,X601998.CH.EQUITY,X601658.CH.Equity,X601916.CH.Equity,X601077.CH.Equity,X11.HK.EQUITY,X2388.HK.EQUITY,X5.HK.EQUITY,X000166.CH.EQUITY,X000776.CH.EQUITY,X600030.CH.EQUITY,X600837.CH.EQUITY,X600999.CH.EQUITY,X601066.CH.EQUITY,X601211.CH.EQUITY,X601688.CH.EQUITY,X601881.CH.EQUITY,X601318.CH.EQUITY,X601319.CH.EQUITY,X601336.CH.EQUITY,X601601.CH.EQUITY,X601628.CH.EQUITY,X1299.HK.EQUITY,X000002.CH.EQUITY,X001979.CH.EQUITY,X600048.CH.EQUITY,X1109.HK.EQUITY,X16.HK.EQUITY,X267.HK.EQUITY,MKRturn,TED,RealEstateDiff
X000001.CH.EQUITY,0,0,0,0,0,0,0.225791902069982,0.17260195981325,0,0,0.0367541455259523,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0373252549198929,0,0,0,0,0,0.359322236694569,0,0,0.0219559743283532,0.0567711494163982,0,0,0,0,0,0,0,-0.102086584556987
X002142.CH.EQUITY,0.0177110351219643,0,0,0,0,0,0.28531443639306,0.215989557021106,0,0,0,0,0,0,0,0,0.019010078214906,0,0.0957345427441388,0,0,0,0,0.133088125002837,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0187720484310631,0,0,0,0,0.0204450047648851,0,0.0544113988245957,0,0
X002958.CH.EQUITY,0,0,0,0,0,0,0,0,0.0342784662245141,0,0,0,0,0,0,0,0.244130108502403,0,0,0.224372750975298,0,0,0,0,0.0990627191226906,0.170253152267452,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0642274878087543,0,0,0,0.186924827466855,0,0,0,-0.101605893546969,0,0.0418105044717889,0
X600000.CH.EQUITY,0,0,0.00913131929043717,0,0.158262125419721,0.0205148343849988,0,0,0,0.0631512411649302,0,0,0.198109659022234,0.0523924708507682,0.115118871023109,0,0,0.0937603281842506,0.0495659830222805,0,0,0,0,0,0,0.0766411341483357,0,0,0.0658691819420969,0,0,0,0.0049712388288175,0,0,0,0.0674831443569977,0,0.0958430406044625,0,0,0,0,0,0,0,0,0,0,0,0,0,0
X600015.CH.EQUITY,0,0,0,0.365759032596614,0,0,0,0,0,0,0,0.305928613014239,0,0,0,0,0,0,0,0.147212730341864,0,0,0,0,0,0.132762652802409,0,0.0640621264233655,0,0,0,0,0,-0.0547767968851352,0,0,0,0,0,0,0,0,0.0712435255648467,0,0,0,0,-0.0413870148304125,-0.0660372902645107,-0.0262244849735353,-0.059953044973152,2.71050543121376e-20,0.119429734918102
X600016.CH.EQUITY,0,0,0.0343683379296596,0,0.138184389057813,0,0,0,0,0,0,0,0,0,0,0.201889646127213,0.046441804053441,0,0.216661913486964,0,0,0,0,0,0.186941449887221,0,0,0,0,0.181067859423325,0,0,0,0,0,0,0,0.0556211812764125,0,0,0,0,0,0,0,0.0157235298953642,0,0,0,0,0,0,0
X600036.CH.EQUITY,0.339869057150605,0.0764412598311642,0,0,0,0,0,0,0,0,0.143714377968802,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0643909332425166,0,0,0,0,0,0,0,0,0,0,0,0.158225300883043,0,0,0,0,0,0.0368627246616686,0,0.0134969322072137,0,0.00674416048951861,0,0,-0.00295184579692062,0
X600919.CH.EQUITY,0,0.136621725359398,0,0,0,0,0,0,0,0.209805181427984,0.0352079606652107,0.0449841493418104,0,0,0.185703492784144,0.00677602126415314,0,0,0,0,0,0.165803300315681,0.018391365342719,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0275722452919091,0,0,-2.16840434497101e-19,0,0,0,0,0.0370968456440822,0,0,0,0,0,0
X600926.CH.EQUITY,0,0,0,0,0,0,0,0.0804968417995133,0,0.387861010396471,0,0,0,0.0330882814074261,0.213229653562772,0,-0.0108254731678051,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000643536460317513,0,0,0,0,0,0.0161828263643111,0,0,0,0,-0.0351414574663178,0,0,0,0
X601009.CH.EQUITY,0,0,0,0,0.0508281605549597,0,0,0,0.406655837608834,0,0.279174428206729,0,0,0,0,0,0,-2.16840434497101e-19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.128777913541975,1.73472347597681e-18,0.0364128506626069,0,0,0,0,0,0.0632376903004323,0,0,-0.132317876458623,0,0.00285573458801093
X601166.CH.EQUITY,0,0.189794395953627,0,0,0,0,0.117440333739948,0,0,0.156204498951973,0,0,0,0.00350300236980131,0.18379961763721,0,0,0,0,0,0.00475052299552988,0,0.270206275053931,0,0,0,0,0,0,0.0175090514592775,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0352957950792047,0,0,0,0,0,0,0,0
X601169.CH.EQUITY,0,0,0.093603811788854,0,0,0.0425247935944939,0,0,0,0,0,0,0,0,0,0.00221454846009104,0,0.350913354616997,0,0,0.042874922843847,0.259986300890606,0,0,0,0.206710841128254,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.020034116581144,-0.0459674896819596,-0.0467834602394396,0
X601229.CH.EQUITY,0,0,0.0880757722681421,0.16766469603218,0,0,0,0,0,0,0,0.260667684359743,0,0,0.215601637346302,0,0.0473089395159376,0.0685142040445172,0,0,0,0,0,0,0.0330873737602519,0,0,0.107316889462903,0.0220524306952939,0,0.071005787724724,0,0,0,0.0809486389020832,0.0239470821826778,0,0,0,0,0,0,0,0,0,0,-0.0661885980662113,0,0,0,0,0.0474550052662007,0
X601288.CH.EQUITY,0,0,0,0.0692013905055656,0,0,0,0,0,0,0,0.0487360394961199,0,0,0.377427289898077,0,0,0,0,0.208443174480385,0.154434510551946,0,0,0,0.0705825036765699,0,0,-0.0893849778512667,0,0,0.0706665847179837,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0560518385776781,0,0,0,0
X601328.CH.EQUITY,0,0,0,0,0,0,0,0,0,0,0,0.0683454370559043,0.343401840281237,0.281741035495638,0,0,0,0,0,0,0,0,0,0,0,0,-0.031021085008673,0,0.103389587547963,0.112371134257982,0,0,0,0,0,0,0,0,0,0,0,0.0108310840807977,0,0,0,0.0209098744531222,0,-0.0192864051976834,0,0,0.0404567049931741,0,-0.158761037810086
X601398.CH.EQUITY,0,0,0,0,0,0.066678810877925,0,0,0,0,0,0,0,0,0,0,0.0562520786159006,0,0.0819915963942789,0.394943020767959,0.00303890990215329,0,0.431610364805218,0,0.019449104259023,0,0.00339116636914967,0.0171227137310431,0,0,0,0,0,-0.147793151679778,0,0,0.157347335377451,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.118406873180101,0,-0.00286828952603367
X601577.CH.EQUITY,0,0.352552103767521,0.189848314082655,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0943327471181319,0,0,0.0800536026483257,0,0,0,0,0,-0.0355576354396722,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0434041136283844,0,0,0,0
