,X000001.CH.EQUITY,X002142.CH.EQUITY,X600000.CH.EQUITY,X600015.CH.EQUITY,X600016.CH.EQUITY,X600036.CH.EQUITY,X601166.CH.EQUITY,X601169.CH.EQUITY,X601229.CH.EQUITY,X601288.CH.EQUITY,X601328.CH.EQUITY,X601398.CH.EQUITY,X601818.CH.EQUITY,X601939.CH.EQUITY,X601988.CH.EQUITY,X601998.CH.EQUITY,X601658.CH.Equity,X11.HK.EQUITY,X2388.HK.EQUITY,X5.HK.EQUITY,X2886.TT.EQUITY,X000166.CH.EQUITY,X000776.CH.EQUITY,X300059.CH.EQUITY,X600030.CH.EQUITY,X600837.CH.EQUITY,X600999.CH.EQUITY,X601066.CH.EQUITY,X601211.CH.EQUITY,X601688.CH.EQUITY,X388.HK.EQUITY,X601318.CH.EQUITY,X601319.CH.EQUITY,X601336.CH.EQUITY,X601601.CH.EQUITY,X601628.CH.EQUITY,X1299.HK.EQUITY,X2881.TT.EQUITY,X2882.TT.EQUITY,X000002.CH.EQUITY,X001979.CH.EQUITY,X600048.CH.EQUITY,X1109.HK.EQUITY,X1113.HK.EQUITY,X12.HK.EQUITY,X16.HK.EQUITY,X2007.HK.EQUITY,X267.HK.EQUITY,X688.HK.EQUITY,X823.HK.EQUITY,MKRturn,TED,RealEstateDiff
X000001.CH.EQUITY,0,0,0.0504081943302412,0.00332350268880498,0,0,0,0,0,0,-1.73472347597681e-18,0,0,0,0,0.242911814382773,0,0,0,0,0,0,0,0,0,0,0,0.070194328664899,-8.67361737988404e-19,0,0,0.384471244984573,0,0,0,0,0,0,0.0899399962777157,0.105399974319371,0,0,0,0.0475115381202796,0,0,0,0,0,0,0,0,0
X002142.CH.EQUITY,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.375593030352014,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0154727489878179,0,0,-0.0220358737415677,0.174156795206481,0.0264544006235572,0,0,0,0,0,0,0.17922156110794,0,0.0536255367949251,0,0,0
X600000.CH.EQUITY,0,0,0,0,0.165148845389979,0,0,0,0.122784618883349,0,0.331878151657851,0,0,0,0,0.213366657622197,0,0.00895773653467004,0,0,0,0.113868486380936,0,0,0,0,0,0,0,0.0221062724504072,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
X600015.CH.EQUITY,0,0,0,0,0,0,0.237370071355887,0.11589556193928,0,0,0,0.0214543142138452,0.0951672678561507,0.159530561494425,0,0,0,0,0,0,0.0308652724018714,0,0,0,0,0,0,-0.0812304277110759,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.316632546365002,0,0,0,0,0.0290896957024153,0.0579981774600459,0,0.109826671822398
X600016.CH.EQUITY,-8.67361737988404e-19,0,0.0497695617655623,0.00764978562517274,0,0,0,0.162893306952747,0.148136695891024,0,0.190690698921887,0,0.0363084122642593,0.128968532202433,0.192908825504187,0.0761947163203821,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0151827739633061,0,0,0,0,0,0,0
X600036.CH.EQUITY,0,0.0697248425823521,0,0,0,0,0.358418490806009,0,0,0,0,0,0,0,0,0,0,0.0288249806876291,0,0,0.277578074777303,0,0,0.0523209313252151,0,0,0,0.127351876603329,0,0,0.0319784297278122,0.0498514058650689,0,0.0123949002494009,0,0,0,0,0,0,0,1.73472347597681e-18,0,0,0,0,0,0,0,0,0,0,0
X601166.CH.EQUITY,0.120563983925874,0,0,0.07315287650579,0.045314869936301,0.272406945904977,0,0.100462890201058,0,0,0.0923390538519589,0.0355740028106158,0.147094369184668,0.074301813714708,0,0,0,0,0,0,0.0322992888504076,0,0,0.00397075441639297,0,0,0,0,0,0,0,0,0,0.00218212348764422,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0220654334533628,0,0,0
X601169.CH.EQUITY,0,0.047183415011761,0.0465004304943122,0.400928106902934,0.137748979222121,0,0,0,0,0,0,0,0,0,0,0.0644959506687264,0.0117801703480227,0,0,0,0,0,0,0,0,0.209584509048064,0.0176026633772476,0,0,0,0,0,0,-1.73472347597681e-18,0,0,0,0,0,0,0.0775798303592214,0,0,0,0,0,0,0,0,0,0.0212382333334437,0,0
X601229.CH.EQUITY,0,0.0718988990818281,0.396098903726026,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.154559783839415,0.112726224181265,0,0.113115763712641,0,0,0,0.000540786050980002,0,0,0.0253455785733185,0,0,0,0,0,0,0,0,0.106572474166279,0,0,0,0,0,0,0,0,0,0,0,0
X601288.CH.EQUITY,0,0,0,0,0,0,0,0,0.0708932545564551,0,0,0.471884641458254,0,0,0.258429321147482,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0348846256050974,0.0273533301399159,0,0,0.0872433322661517,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
X601328.CH.EQUITY,0,0,0.0846770084912151,0,0.0895232142754908,0,0,0,0.171572904384718,0.0632936574068139,0,0.232554733051086,0.106300953897455,0,0,0,0,0,0,0,0,0,0,0,0,0.174761324604846,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.10391815436823,0.024931982976374,0,0,0,0,0,0,0,0,0,0,0
X601398.CH.EQUITY,0,0,0,0.0445985713485345,0,0,0.0150668370115422,0,0,0.411309812442021,3.46944695195361e-18,0,0,0.23969481063023,0,0,0,-0.0574228861437069,0,0,0.0104400192671523,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0997556685411124,0.0870764211240075,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.120129514742024,0,0.0324695070952723
X601818.CH.EQUITY,0,0,0,0.086865253030067,0,0,0.267001825869414,0,0,0,0,0,0,0.0645583851242698,0.0873229147190664,0.3210867871896,0,-0.018381303521514,0,0,0,0,0,0,0.0266606127227169,0,0,0,0,0,0,0,0.0190421277030931,0,0,0,0,0,0,0,0,0.139265511742815,0,0,0,0,0,0,0,0,-0.00963588707594827,0,0
X601939.CH.EQUITY,0,0,0.23896241916877,0.147237555814708,0,0,0,0,0,0.161895531251624,0.0321921351123909,0.338277092440136,0,0,0,0.0228216592261072,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0931981045526866,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0239613660188901
X601988.CH.EQUITY,0.0851344061944925,0,0,0,0,0,0,0,0,0.24348338325131,0,0,0,0.244051294796737,0,0,0.265108244212874,0,0,0,0,0,0,0,0.237240264376427,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0591560703250197,0,0,0,0,0,0,0,0,0,0,0.114179883111941,-0.0545407492974057
