,X000001.CH.EQUITY,X002142.CH.EQUITY,X600000.CH.EQUITY,X600015.CH.EQUITY,X600016.CH.EQUITY,X600036.CH.EQUITY,X600919.CH.EQUITY,X600926.CH.EQUITY,X601009.CH.EQUITY,X601166.CH.EQUITY,X601169.CH.EQUITY,X601229.CH.EQUITY,X601288.CH.EQUITY,X601328.CH.EQUITY,X601398.CH.EQUITY,X601577.CH.EQUITY,X601818.CH.EQUITY,X601838.CH.EQUITY,X601939.CH.EQUITY,X601988.CH.EQUITY,X601997.CH.EQUITY,X601998.CH.EQUITY,X601658.CH.Equity,X601916.CH.Equity,X601077.CH.Equity,X11.HK.EQUITY,X2388.HK.EQUITY,X5.HK.EQUITY,X2880.TT.EQUITY,X2884.TT.EQUITY,X2886.TT.EQUITY,X2891.TT.EQUITY,X2892.TT.EQUITY,X5880.TT.EQUITY,X600030.CH.EQUITY,X600837.CH.EQUITY,X601211.CH.EQUITY,X601688.CH.EQUITY,X601318.CH.EQUITY,X601319.CH.EQUITY,X601336.CH.EQUITY,X601601.CH.EQUITY,X601628.CH.EQUITY,X1299.HK.EQUITY,X2881.TT.EQUITY,X2882.TT.EQUITY,X2883.TT.EQUITY,X2888.TT.EQUITY,X000002.CH.EQUITY,X267.HK.EQUITY,MKRturn,TED,RealEstateDiff
X000001.CH.EQUITY,0,0,0.20902309713408,0,0,0.172495143349154,0,0,0,0.245124289098894,0,0,0,0,0,0.034336589008419,0,0,-0.0521672880406518,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.212530402635551,0,0,0,0,0,0,0,0,0,-0.246081289432865,0,0,0,0,-0.0938365685492415,0,-0.0332454264981906,0
X002142.CH.EQUITY,-8.67361737988404e-19,0,0,0,0,0.152686025849617,0,0.418335299138591,0.249348369555236,0,0,0,0,0,0,0,0,-0.145295340059201,0,0,0,0.0360394314966189,0,-0.132932674698523,0,0,0,0,0,0,0,0,0,0,0.133117489482419,0.0405131886903029,0,0,0,0.0140985700824336,0,0,0,0,0,0,0,0,0,-0.113744774213557,0,0,0
X600000.CH.EQUITY,0.254886410336688,0.0442723833233173,0,0,0.0999484132279472,0,0,0.0413848489660665,0,0,0.118810353730909,0,0,0,0,0.139566636224552,0,0.0125815423716469,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.00132098078765673,0,0,0,0.0935302634083799,0,0,0,0,0,0,0,0,0,-0.043928422251999,0,0,0,-0.13648498714847,-0.0427403630296893,0
X600015.CH.EQUITY,0.0133198310765461,0,0,0,0,0,0.242119363477338,0,0,0,0,0.0241039274042358,0,0,0,0.114095213527336,0,0,0,0.0363829809869267,0.173283920960647,0,0,0.0775871236378186,0.120069112989114,0,-0.0271010191338582,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.120426838228001,0,0,0,0,-0.0313703784222227,0
X600016.CH.EQUITY,0,0,0,0,0,0.0441949280300073,0,0,0,0.0691235073140809,0.410630780827174,0,0,0.204562599637929,0,0.129176580303738,0,0,0.0984093948559576,0.0583196743516997,0,0,0,0.0616403562748581,0,0,0,0.0337500967395158,-0.0772671429101341,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.115660341240118,0,0,0,0,0,0.0131190807016836
X600036.CH.EQUITY,0.181185660029587,0,0,0,0.403993067408064,0,0,0,0,0.0966703948538349,0.012440390479888,0,0,0,0,0,0.0657898151614913,0,0,0,0,0.0801616544907588,0,0,0,0,0,0,0,0,0,0,0,-0.00574910822488357,0,0,0,0,0,0,0,0,0,0.116708568422429,0,0,-0.0895683483511847,0,0,0,-0.057271029805811,0,0
X600919.CH.EQUITY,0,0,0,0,0,0,0,0,0.130562078842178,0,0,0,0.179668696839483,0,0,0,0,0,0,0,0.374373208378045,0,0.285466443239105,0,0,0,0,0.0299087791822556,0,0,0.0574335030420176,0,0,0.151721428807965,0,0,0,0,0,0,0,0,0,0,0,0,-0.102582913614567,0.070272521565417,0,0,0,0.212482077898341,0
X600926.CH.EQUITY,0,0.134993789873402,0,-0.0172835127500044,0,0,0,0,0,0.610031125924168,0,0,0,0,-0.275483715750669,-1.0842021724855e-19,0,0.0635238601864961,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
X601009.CH.EQUITY,0.173346934913398,0,0,0.289053445108892,0,0,0,0,0,0.0368590266702917,0,0,0,0,0,0,0.0652736778885857,0,0.151502823959159,0,0.0522073020033261,0.0514087218906916,0,0,0,0,0,0.0469710002209297,0,0,0,0,0,0,0,0,0.0461207948207843,0,0,0,0,0,0,0.0187851553176664,0,-0.0692017688116947,0,0,0.0264619730831439,0,0.0603648829713848,0,0.0324648649366737
X601166.CH.EQUITY,0.48245533469557,0,0,0,0,0.20775321979948,0,0.142651842866281,0,0,0,0,0,0,0,0,0,0.125238982858384,0,0,0,0,1.73472347597681e-18,0,0,0,-0.0670132980988353,0.156876701254041,0,0.0380687863603103,0,0,0,0,0,0,-0.039929436545248,0,0,0,0,0,0,0,0,0.0731887814235748,0,0.0264269351062598,0,0,0,-0.0754852328013047,-0.0584111884384865
X601169.CH.EQUITY,0,0,0,0,0.765788880165963,0.0447872086032257,0,0,0,0,0,0,0,0,0,0,0.0523899085070942,0,0.164325232509362,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.230906283998253,0,0,0.0485899539296037,0,-0.0549273477935534,0,0,0
X601229.CH.EQUITY,0,0.0118619601139408,0,0.39998375309293,0,0.0655546125989558,0,0,0,0,0,0,0,0,0,0.208990669654863,0.0720763596774045,0.0970104279177225,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0263017953629794,0,0,0,0,0.0743962494431572,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
X601288.CH.EQUITY,0,0.0338501281164913,0.0934644772048222,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0341133837726115,0,0.239080054161309,0.485124296965266,0.0407384243868174,0,0,0,0,0,0,0,0,0.0214651156825559,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0381880920641543,0,0
X601328.CH.EQUITY,0,0,0.0639732760483765,0.0912564798138477,0.113802030848053,0,0,0,0,0,0,0.157342434005226,0,0,0.144992925289583,0,0,0,0.0973860738373868,0.24238497904247,0,0,0,0,0.0393468616047121,0,0,0,0,0.0500515570193366,0,0,0,0,0,0,0.0722249156700654,0,0,0,0,0,0.0320775948710626,0,0,0,0,0,0,0,0,0,0
