,X601398.CH.EQUITY,X601318.CH.EQUITY,X601939.CH.EQUITY,X601288.CH.EQUITY,X5.HK.EQUITY,X601988.CH.EQUITY,X600036.CH.EQUITY,X1299.HK.EQUITY,X601628.CH.EQUITY,X601328.CH.EQUITY,X601166.CH.EQUITY,X601319.CH.EQUITY,X600000.CH.EQUITY,X16.HK.EQUITY,X11.HK.EQUITY,X000002.CH.EQUITY,X601601.CH.EQUITY,X388.HK.EQUITY,X267.HK.EQUITY,X2388.HK.EQUITY,X600016.CH.EQUITY,X688.HK.EQUITY,X601998.CH.EQUITY,X600030.CH.EQUITY,X000001.CH.EQUITY,X2007.HK.EQUITY,X1109.HK.EQUITY,X601818.CH.EQUITY,X1113.HK.EQUITY,X601688.CH.EQUITY,X12.HK.EQUITY,X823.HK.EQUITY,X601066.CH.EQUITY,X001979.CH.EQUITY,X600048.CH.EQUITY,X601211.CH.EQUITY,X601336.CH.EQUITY,X1997.HK.EQUITY,X600837.CH.EQUITY,X601229.CH.EQUITY,X002142.CH.EQUITY,X601169.CH.EQUITY,X000166.CH.EQUITY,X600015.CH.EQUITY,X2882.TT.EQUITY,X17.HK.EQUITY,X002736.CH.EQUITY,X600999.CH.EQUITY,X2881.TT.EQUITY,FXI.US.EQUITY,CN210SLOPE
X601398.CH.EQUITY,0,0,0.531498981986307,0,0,0,0.144726055815898,0,0,0.0643592692137967,0.0216080937947509,0,0,0,0.181615661531025,0,0.0318181426863113,0,0,0,0,0,0,0,0,0,0,-8.67361737988404e-19,0,0,0,0,0,0,0,0,0,0,0,0.0234566394414279,0,0,0,0,0,0,0,0,0,0,0
X601318.CH.EQUITY,0,0,0,0,0,0,0,0.0775648798972191,0.314336261944024,0,0,0,0,0,0,0.0244694583896037,0.251463897844838,0,0,0.0855399609391017,0,0.0654886830623538,0,0,0,0.0984066866292679,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0445471018010313,0.00404222618269887,0,0,0,0,0,0,0.00280233446603725,0,0,0
X601939.CH.EQUITY,0,0,0,0.629831709919104,0,0.0652102928445685,0.0161879157185581,0,0,0.230581285975605,0,0,0,0,0,0,0,0,0,0,0,0.0524617070814847,0,0,0,0,0,0.0497922037187983,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
X601288.CH.EQUITY,0,0,0,0,0,0,0,-0.181090836548582,0,0,0.664108662821527,0,0,0,0,0,0,0,-0.0632070094451861,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0451537571537207,0,0.148853212370589,0.00669156903018282,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.156781855114785
X5.HK.EQUITY,0,0,0,0,0,0.157772872204097,0,0.22878043136685,0,0,0.239194246915851,0,0.0153156027991604,0,0,0,0,0,0,0.0173768625539866,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0210720578211863,0,0,0,0,0,0,0,0,0,0,0.12882486603613,0,0
X601988.CH.EQUITY,0,0,0,0,0.325419976797108,0,0,0,0.0263764372960305,0,0,0,0,0,0,0.0187335905195288,0,0.0737328521436352,-0.0608442219987113,0,0,-0.0511257067246254,0,0,0.243990715667696,0,0,0,0,0,0,-0.220624790675412,0,0,0,0,0,0,0,0,0.145791771625844,0,0,0,0,0,0,0,-0.0207056395824732,0.137204364561688,0
X600036.CH.EQUITY,0,0,0,0,0,0,0,0,0,8.67361737988404e-19,0,0,0,0,0,0,0,0.111113228652632,0,-0.136298607333646,0,0,0,0,0.586307582336604,-0.0229377890273629,0,0.0717628381562567,0,0,0.181746052941521,0.00497705245012921,-0.0178015859465517,0,0,0,0,0,0,0,0.0923809853086369,0,0,0.190745698757414,0,0,-0.0261837778123968,0,0.117574598790655,0,0
X1299.HK.EQUITY,-0.00857960151137278,0,0,0,0.191139205151072,0,0,0,0,0,0,0,0,0,0,0,0,0.1451050912648,0,0,0,0.0805748250858581,0,0,0,0.0372890031205235,0,0,0.0509380407926765,0,0.0961094271824718,0,0,0,0,0,0,0.448550768352349,0,0,0,0,0,0,0,3.46944695195361e-18,0,0,0,0,0
X601628.CH.EQUITY,0,0,0,0.000674981279731653,-0.0310377628005363,0,0.00796933465573357,0,0,0,0,0.134472832217871,0,0,-0.0371220046787236,0,0.320112773590306,0,0,0,0,0,0,0,-4.33680868994202e-19,0,0,0,0,0,0,0,0,0,0,0.0627623149811344,0.198011576448375,0,0,0,0,0.236741019498249,0,0.0876841781959649,0.0750367602131954,0,0,0,0,0,-0.00313072359243459
X601328.CH.EQUITY,0.374593491066751,0,0.144531354893673,0,0,0,0,0,0,0,0,0,0.435539191249493,0,0,0,0,0.0408685936582347,0,0,0.119225163989562,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0531952803022532,0,0,0,0,0,0.111558213290348,0,0,0,0,0.0156775144554153,0,0
X601166.CH.EQUITY,0.147266431677768,0,0,0.251803292935511,0,0,0.111548171455624,0,0,2.16840434497101e-19,0,-0.024742011530272,0.221912383917982,0,0,0,0,0,0,0.0347864391885533,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0595753078873054,0,0,0,0,0,0.0596349354700762,0,0,0,0,0,0,0,0,0.0651134867048817,0
