,X601398.CH.EQUITY,X601318.CH.EQUITY,X601939.CH.EQUITY,X601288.CH.EQUITY,X600036.CH.EQUITY,X601628.CH.EQUITY,X1299.HK.EQUITY,X601988.CH.EQUITY,X5.HK.EQUITY,X601166.CH.EQUITY,X601658.CH.Equity,X388.HK.EQUITY,X000001.CH.EQUITY,X600030.CH.EQUITY,X601601.CH.EQUITY,X000002.CH.EQUITY,X601328.CH.EQUITY,X600000.CH.EQUITY,X601066.CH.EQUITY,X601319.CH.EQUITY,X16.HK.EQUITY,X300059.CH.EQUITY,X601998.CH.EQUITY,X002142.CH.EQUITY,X600016.CH.EQUITY,X2388.HK.EQUITY,X11.HK.EQUITY,X601818.CH.EQUITY,X600048.CH.EQUITY,X1109.HK.EQUITY,X2007.HK.EQUITY,X600999.CH.EQUITY,X688.HK.EQUITY,X601688.CH.EQUITY,X601336.CH.EQUITY,X601211.CH.EQUITY,X600837.CH.EQUITY,X267.HK.EQUITY,X002736.CH.EQUITY,X1113.HK.EQUITY,X12.HK.EQUITY,X000166.CH.EQUITY,X2882.TT.EQUITY,X600918.CH.Equity,X000776.CH.EQUITY,X823.HK.EQUITY,X601229.CH.EQUITY,X001979.CH.EQUITY,X601169.CH.EQUITY,X2881.TT.EQUITY,FXI.US.EQUITY,CN210SLOPE
X601398.CH.EQUITY,0,0,0.0501918089861037,0.205846813491888,0,0.0414790812353481,0.0289977133603647,0,0,0,0,0,0,0,0,0,0,0.206047325675386,0,0,0,0,0.0190463310492223,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0610627301564712,0,0,0.027208364257515,0,0,0.101568964571861,0,-0.0360435292592464,0
X601318.CH.EQUITY,0,0,0.108888834911602,0,0.0627320107310619,0,0,0,0.138629590146556,8.67361737988404e-19,0,0,0.0693577881132254,0,0.0440833954300241,0,0,0.0801902036765773,0,0.209237449737396,0,0,0,0,0,0,0,0,0,0,0.100932318926641,0,0,0,0,0,0,0.0775025902213066,0,0,0,0,0,0,0,0,0,0,0,0.0269481350830845,0,-0.0923527441242118
X601939.CH.EQUITY,0,0,0,0.0764808000427222,0,0,0,0,0,0,0.109035191957892,0,0,0,0,4.33680868994202e-19,0,0,0,0,0,0,0.6408179291978,0,0.150097888515375,0,0,0,0.0821469514378918,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
X601288.CH.EQUITY,0.334147527431644,2.16840434497101e-19,0.0333244224230093,0,0,0.0151549808781136,0,0.178278407680855,0,0,0.132044438876178,0,0,0,0,0,0.0244165007291512,0,0,0,0,0,0,0,0,0,0,0.123626609121549,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.127913666775721,0,0,0,0
X600036.CH.EQUITY,0,0.131503972154421,0,0,0,0,0.200209665974475,0.0223896684171995,0,0,0,0,0.173525405370728,0,0,0.127109379912469,0,0,0,0,0,0,0.175573114463141,0.24581865004813,0,0,0.00129239835519209,0,0,0.0372775038913215,0,0,0,0,0,0,0,0.00461091030154494,0,0.0711903844321015,0.0196388484400431,0,0,0,0,0,0,0,0,0,-0.0669115987167229,0
X601628.CH.EQUITY,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0792206062904157,0,0,6.93889390390723e-18,0,-0.0198915702751874,0.214131374346463,0,-0.120384517611215,0,0,0,0,0,0.0422455374428692,-0.000836489226600115,6.93889390390723e-18,0,0,0.686826666302734,-0.0670390988229224,0,0,0,0,0,0,0.0955691347999895,0,0,-0.0762848458931829,0,0.135985211699255,0,0,0,0
X1299.HK.EQUITY,0,0,-0.095628606818148,0,0.114069597546714,0,0,0,0,0,-3.46944695195361e-18,0.19243364748096,0,0,0,0,0,0,0,0,0.138940943145575,0,0,0,0,0,0.164631104557461,0,0,0,0,0,0.0493594759068279,0,0,0,0,0,0,0.0329706095005655,0.132644121436358,0,0.0862605947850579,0,0.0489514733413817,0.118277466677487,0,0,0,0,0,0
X601988.CH.EQUITY,0,0,0,0.663389121461683,0.158431260444205,0,0,0,0,0,-0.00366984676925914,0,0,0,0,0,0,0,0,0,0.0842411720680784,0,0,0.237414258480338,0,0,0.00780200316616022,0,-0.0239296540796454,0,0.100478910283843,0,0.132644088682503,-0.0108010877470031,0,0,0,0,0,0,0,0,-0.0188620461162583,0,-0.0324878925100307,0,0,0,0,0,0,0
X5.HK.EQUITY,0,0,0,0,0,0.00961037431434025,0,0,0,0,0,0,0,0,0,0,0,0,0,0.130990249411734,0,0,0,0,0,0.0858204671225935,0.180476504469758,0,0.0159992274965556,0,0,0,0,0,0,0,0,0,0,0.342836911900017,0,0,0,0,0,0.152702218615471,0,0,0,0,0,0
X601166.CH.EQUITY,0,0,0.0850495104331123,0,0.0419125780722323,0.037663129914964,0,0,0,0,0.0348505672897265,0,0.123163098138554,0,0,0.0439811835512596,0,0,0,0,0,0,0,0.158186236416682,0,0,0,0.391089365189438,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
