,X601398.CH.EQUITY,X601318.CH.EQUITY,X601939.CH.EQUITY,X601288.CH.EQUITY,X5.HK.EQUITY,X601988.CH.EQUITY,X600036.CH.EQUITY,X1299.HK.EQUITY,X601628.CH.EQUITY,X601166.CH.EQUITY,X601328.CH.EQUITY,X600000.CH.EQUITY,X000002.CH.EQUITY,X000001.CH.EQUITY,X16.HK.EQUITY,X601601.CH.EQUITY,X388.HK.EQUITY,X11.HK.EQUITY,X601998.CH.EQUITY,X600016.CH.EQUITY,X601319.CH.EQUITY,X688.HK.EQUITY,X267.HK.EQUITY,X2388.HK.EQUITY,X600030.CH.EQUITY,X1109.HK.EQUITY,X2007.HK.EQUITY,X601818.CH.EQUITY,X1113.HK.EQUITY,X600048.CH.EQUITY,X12.HK.EQUITY,X823.HK.EQUITY,X002142.CH.EQUITY,X601066.CH.EQUITY,X001979.CH.EQUITY,X601688.CH.EQUITY,X601211.CH.EQUITY,X600837.CH.EQUITY,X601229.CH.EQUITY,X601336.CH.EQUITY,X2882.TT.EQUITY,X1997.HK.EQUITY,X601169.CH.EQUITY,X600015.CH.EQUITY,X000166.CH.EQUITY,X2881.TT.EQUITY,X600999.CH.EQUITY,X2891.TT.EQUITY,X601916.CH.Equity,FXI.US.EQUITY,CN210SLOPE
X601398.CH.EQUITY,0,0.143006326150623,0,0.016525392460122,0,0,0,0,0,0,0.280887130451248,0.241913367642296,0,0,0,-0.0939026301149426,0,0,0,0,0,0,0.0185625681399254,0,0,0,0,0,0,0,0,0.262725965361587,0.0247343967368262,0,0,0,0,0,0.0399707915093728,0,0,0.060879242981434,0,0,0,0.0206409859071918,0,0,0,0,0
X601318.CH.EQUITY,0,0,0,0,0,0.0905623481694166,0,0,0.265850585736174,0,0,0.315542650965544,0,0,0,0.106826547430724,0,0,-0.0614620951673302,0,0,-0.0314525055647104,0.0474271751469423,-1.73472347597681e-18,0,0,0,0,0,0,0,0,0.109509909013848,0,0,0,0,0,-0.26966967065253,0.136169318993625,0,0.00946897027301059,0.124040069881646,0,0,0,0,0.0325290331486169,0,0,0
X601939.CH.EQUITY,0.477454819647346,0,0,0,0,0.184476332734481,0,0,0,0,0,0,0,0.0591385463085146,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.365360270086731,0,-0.117497701759252,0,0.0488008446127959,0,0,-0.0455974004882371,0,0,0,0,0
X601288.CH.EQUITY,0.562040047366347,0,0.0926333754683112,0,0.11670752763526,0.0609160055922117,0,0,0,0,0,0,0,0,0,-0.0313746829074524,0,0,0,0,0,0,-0.0356976500875456,0,0,0,0.0403196354778838,0,0,0,0,0,0,0.00966676381579317,0,0.0197121002912078,0,0.0575729471662242,0.231630061974908,0,0,0,0,0,0,0.0135546926800353,0,0,0,0,0
X5.HK.EQUITY,0,0,0.235569147978287,0.0056768305705815,0,0.135654044243706,0,-0.0675959238551667,0,0,0,0.282384074682095,0,0,0,0,0,0.643532258152802,0,0,-0.127256724615746,0,0,0,0,0,-0.202605932344923,0,0,0,0,0,0,0,0,0.0266910305126926,0,0,0,0,0,0,0,0,0,0.134828995524917,0,0,0,0,0
X601988.CH.EQUITY,0.0281357066047717,3.46944695195361e-18,0.144382621518417,0.181050825823453,0,0,0,0,0.1152355415625,0.151687437072623,0.0324513338206333,0,-0.285642500812993,0,0,0,0,0,0,0.352927953595608,0,0,0.00118021088036271,0,0,0,0.0488212901711377,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
X600036.CH.EQUITY,0,0.275374772423917,0,0,0,0,0,0,0,0,0,0.0844145481548824,0,0.172366119061072,0,0.104021652580565,0,0,0,0,0,0,0,0.0782664082780882,0,0,0,0,0,0,0,0,0.167869414612341,0,0,0,0,0,0,0,0.0863402694813203,0,0,0,0,0,0.0648060764518281,0,0,0,0
X1299.HK.EQUITY,0,0,0,0,0,-0.00906000078709433,0.171689400444926,0,0,0.0478004416273506,0,-0.072976740522012,0,-0.083373577761329,0,0,0.335543242404332,0.278500293539018,0,0,0,0,0.108514229185428,0,0,0,0.0547814189640964,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0774631646812647,0,0,0,0,0,0,0,0,0,0
X601628.CH.EQUITY,0.114915124080627,0.38041473365209,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0844688156689877,0,0,0,0,0,0,0,-0.0356256029806359,0,-0.244891888895284,0,0.0839037258213461,0,0,0,0,0,0,0,0.243601381729551,0,0,-0.0909385804221354,0.111373288179701,0,0,0,0,0.150661731522556
X601166.CH.EQUITY,0.167609669798728,0,0,0,0,0.142780407125254,0.105587394879506,0,0,0,0,0,0,0.151676611806598,0,0.555995210613542,0,0,0,0,0,0,0,0,0.073844953051442,0,0.0155707462898926,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0358466396751075
