,X601398.CH.EQUITY,X601318.CH.EQUITY,X601939.CH.EQUITY,X601288.CH.EQUITY,X601628.CH.EQUITY,X600036.CH.EQUITY,X601988.CH.EQUITY,X1299.HK.EQUITY,X5.HK.EQUITY,X388.HK.EQUITY,X601658.CH.Equity,X600030.CH.EQUITY,X601066.CH.EQUITY,X601166.CH.EQUITY,X000002.CH.EQUITY,X601328.CH.EQUITY,X600000.CH.EQUITY,X000001.CH.EQUITY,X601319.CH.EQUITY,X601601.CH.EQUITY,X16.HK.EQUITY,X1109.HK.EQUITY,X600016.CH.EQUITY,X601998.CH.EQUITY,X300059.CH.EQUITY,X688.HK.EQUITY,X2388.HK.EQUITY,X002142.CH.EQUITY,X11.HK.EQUITY,X600048.CH.EQUITY,X2007.HK.EQUITY,X601818.CH.EQUITY,X601688.CH.EQUITY,X267.HK.EQUITY,X600999.CH.EQUITY,X600837.CH.EQUITY,X601211.CH.EQUITY,X601336.CH.EQUITY,X1113.HK.EQUITY,X002736.CH.EQUITY,X001979.CH.EQUITY,X000166.CH.EQUITY,X12.HK.EQUITY,X2882.TT.EQUITY,X601229.CH.EQUITY,X823.HK.EQUITY,X000776.CH.EQUITY,X600918.CH.Equity,X601169.CH.EQUITY,X2881.TT.EQUITY,FXI.US.EQUITY,CN210SLOPE
X601398.CH.EQUITY,0,0,0.124729178769167,0,0,0,0,0,0,-0.133138592656202,0,0,0,0,0,0,0,-8.67361737988404e-19,0,0,-0.129135718865555,0.0764928225705043,0,0.490037123998992,-0.149990791560291,0.549241233232737,0,0,0,-0.045078684153048,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
X601318.CH.EQUITY,0,0,0,0,0,0.195031097180607,0,0,0,-0.0669959546930107,0,-1.38777878078145e-17,0,0.138700028337918,0,0,0,0.0284925285923006,0,0,0.0173316814128696,0,0,0,0,0,0,0,0,0.0146560135790243,0.156665888673165,0,0,0,0,0.243817739043625,0,0.125640724106782,0,0,0,0,0,0,0,0,0,0,0,0,0,0
X601939.CH.EQUITY,0,0.08189565482196,0,0.8022123611689,0,0,0.00154402520764414,0,0,0.0438380526284458,0,0,-0.0103280928820922,0.0144806468374788,0,0,0,0.080081894423051,0,0,0,0,0,0,1.73472347597681e-18,0,0.0256953463403417,0,0,0,0,0,0,0,0,0,0,0.0686870158286845,0,0,0,0,0,0,0,0,0,0,0,0,0,0
X601288.CH.EQUITY,0,0,0.91660667148356,0,-0.0575578883252384,0,0,0,0,0,0,0,0,0,0,0.0101291232699675,0,0,0.146866322861867,0,0,0,0,0,0,0,0.0287946400436059,0,0,0,0,0,0,0,0,0.00888844608957292,0,0,0,-0.0800310322618701,-0.092926316550605,0,0,0,0,0.02891231101845,0,0,0,0,-0.0405651382468729,0
X601628.CH.EQUITY,0.00453997752374571,0,0,0,0,0,0,0,0,0.247653119596272,0,0.219473226009057,0,0,0,0,0,0,0,0.158210784523138,0,0,0.0090506455607976,0,0,0,-0.144293626304971,0,0,0,0,0,0,0,0,0,0,0.390787157745571,0,0,0,0,0,0,0,0.113832969913527,0,0.194189323309047,0,0,0,0
X600036.CH.EQUITY,0,0,0,0.328859916754126,0,0,0.00603443957582312,0,0.0354580878620281,0,0,0,0,0,0,0,0.172008318115292,0.0120347437229992,0,0.0251103433319435,0,0,0,0,0,0,0.0349672973477582,0.170452763150123,0,0,0.113410841607609,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0405970533004662,0,0,0,0,0.0420902663331991,0,0
X601988.CH.EQUITY,0,0,0,0.0770172145911321,-0.0209816711958154,0,0,0,-0.0381147558385031,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0467807675796436,0,0,0,0,0,0,0,-0.0133183573451251,0,0,0,0,0,0,0,0,0,-1.73472347597681e-18,0,-0.12705688406868,0,0.999286534973796,0,0,0
X1299.HK.EQUITY,0,0,0,0,0.103155249330097,0,0,0,0,0.16392556386013,0,0,0,0,0,0,0,0,0,0,0,0.296442632820572,0,-0.0224272051159827,0,0,0,0,0.0755113255568667,0,0,0,0,0.15392090116784,0,0,0.0658235359302191,0,0.103072052108183,0,0,0,0.0984841714217056,0,0,0,0,0.133105678322443,0,0,0,-0.0256836853559039
X5.HK.EQUITY,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0295323428614566,0,0,0.0257054078213701,0,0,0,0,0.176383225837374,0,0.432042875610816,-0.128639701342005,0,0,0,0,0,0,0,-0.142477056768905,0.128780410626298,0,0,0,0,0.0454381469158845,0.0989434299336629,0,0,-0.187957158827731,0,0,0.192894456667705,0.0352208099156775
X388.HK.EQUITY,0,0,0,0,0.298792070090361,0,0,0,0.158395432957006,0,0,0,0,0,0.00832881628485714,0.0580279250309771,0,-0.337633090417905,0,0,0.00304508655741938,0.322840899918034,0,0,0.235184265856744,0,-0.0276986992614748,0.049123079537511,0,0,0,0,0,0.114752674329705,0,0,0,0,0,0,0,0,0.141127120932071,0,0,0,0,0,0,-0.254728908381332,0,0
