,X601398.CH.EQUITY,X601318.CH.EQUITY,X601939.CH.EQUITY,X600036.CH.EQUITY,X601288.CH.EQUITY,X601628.CH.EQUITY,X1299.HK.EQUITY,X601988.CH.EQUITY,X5.HK.EQUITY,X388.HK.EQUITY,X601166.CH.EQUITY,X601658.CH.Equity,X000001.CH.EQUITY,X600030.CH.EQUITY,X000002.CH.EQUITY,X601328.CH.EQUITY,X601601.CH.EQUITY,X600000.CH.EQUITY,X601066.CH.EQUITY,X16.HK.EQUITY,X601319.CH.EQUITY,X300059.CH.EQUITY,X2388.HK.EQUITY,X002142.CH.EQUITY,X601998.CH.EQUITY,X11.HK.EQUITY,X600016.CH.EQUITY,X1109.HK.EQUITY,X601818.CH.EQUITY,X600048.CH.EQUITY,X2007.HK.EQUITY,X600999.CH.EQUITY,X688.HK.EQUITY,X601688.CH.EQUITY,X601211.CH.EQUITY,X600837.CH.EQUITY,X267.HK.EQUITY,X601336.CH.EQUITY,X1113.HK.EQUITY,X002736.CH.EQUITY,X12.HK.EQUITY,X2882.TT.EQUITY,X000166.CH.EQUITY,X823.HK.EQUITY,X000776.CH.EQUITY,X001979.CH.EQUITY,X601229.CH.EQUITY,X600918.CH.Equity,X2881.TT.EQUITY,X601169.CH.EQUITY,FXI.US.EQUITY,CN210SLOPE
X601398.CH.EQUITY,0,0,0.0644689821492416,0,0.450653047158091,0.0975867154385036,0.0963830915790044,0,0,0,0,0,0,0,0,0,0,0.148682317935803,0,0,0,0,-0.069665057709744,0,0,0,0,0.0554227073887021,0,0,0,0,0,0,0,0,0.0881249398152127,0,0,0,0,0,0,6.93889390390723e-18,0,0,0.0701065723603286,0,0.0613578467819322,0.122677532778602,-0.115013696350036,0
X601318.CH.EQUITY,0,0,0,0.273791682900457,0,0,0,0,0.175468110776153,0,0,1.0842021724855e-19,0,0,0,0,0,0.100704129471045,0,0,0.0906862839076086,0.0168578965950654,0,0,0,0,0,0,0.0218551184663305,0.0290719440826572,0.0887599142022008,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.123312742241756
X601939.CH.EQUITY,0,0,0,0,0.137595359482903,0,0,0,0,0,0,0.114465458900982,0,0,0.0699148507480881,0,0,0,0,0.000506969218756065,0,-0.065380875272087,0,0,0.586123474968258,-0.0328603631330224,0.177245394379006,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0455041700906829
X600036.CH.EQUITY,1.73472347597681e-18,0.158863002927517,0,0,0,0,0.0329174596918219,0.139626696273118,0,0,0,0,0.163341506710836,0,0.0128623687819948,0,0,0,0,0,0,0,0,0.238916924133837,0,0,0,0.0449899139125805,0,0.0594063727935989,0,0,0,0,0,0,0,0,0,0,0.0458588865778049,0,0,0,0,0,0,0,0,0,0,0
X601288.CH.EQUITY,0.010158105132038,0,0.241659283965936,0,0,0.0845603267976685,0,0.388467894379973,0,0,0,0.0316793951511449,0,0,-0.0518358106051424,0,0,0,0,0,0,0,0,0,0,0.0989742676737452,0,0,0.0864509865177119,0,0,0,0,0,-0.0112630398604775,0,-0.0810521262012052,0,0,0,0,0,0,0,0,0.222342374181501,0,0,0.0490316054847801,0,0.0221711365134969,0
X601628.CH.EQUITY,0.240543742466807,0,0,0,0,0,0,0,0,0.149350021554334,0,0,0,0,-0.115512777228596,-0.089467576533909,0.0833958279131777,0,0.0286177207521442,-0.0703455217857715,0,0.116616241285385,0,-0.0658794973619765,0,0,0,0,0,0,-0.0217305562491299,0,0,0,0,0,0,0.664178010167426,0,0,0,0,0,0,0,0.0460992835019651,0,0,0.116137867338564,0,0,0
X1299.HK.EQUITY,0,0,0,0,0,0,0,-0.0255820831655786,0,0.187105381755957,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.141576400340236,0,0,-0.0450609915496161,0,0,0,0.0939401304870558,0,0,0,0,0,0.0630143671960368,0,0.0893718862091086,0.0577662259848447,0,0.229782168278681,0.0481238763396819,0,0,0,0,0,0,0
X601988.CH.EQUITY,0,0.00995856140533817,0.0885919181534199,0.092684479049648,0.153567831277128,0,0,0,0,0,0,0,0,0,0,0,0,0.277943434789794,0,0,0,0,0,0.194766265204494,0.0360710455850442,0.32222062965352,0,-0.0204328972581864,0,0,0.174666021025776,-0.113361930479899,0,0,0,0,0,0,0,0.0936519919218196,0,0,0,0,0,0.0342700837543192,0,0,0,0,0,0
X5.HK.EQUITY,0,0,0,0,0,0.0353441188116135,0,0.22229397745012,0,0.0945993924745426,-0.0613140700626044,0,0,0,0,0,0,0,0,0,0.143258065862634,0,0.120833516007874,0,0,0.267034989616439,0,0,0,0.0597415513007294,-0.0650273817598137,0,0,0,0,0,0,0,0.32311494253815,-0.107672081790844,0,0,0,0.111501033685506,0,0,0,0,0.074284627108485,0,0,0
X388.HK.EQUITY,0,0,-0.143643217540859,-0.142843931069171,0,0,0.0700787493876197,0,0,0,0,0,0,0.368159352767234,0,0,0,0,0,-0.110978678517848,0,0.198422000052463,0,0,0,0.297525748637743,0,0,0,0.0304370470549045,0,0.0777287911373285,0,0,0,0,0,0,0,0.0582562208923735,0,0,0,0,0.0403023212933757,0,-0.11267321865283,0,-0.0569763256729058,0,0.169461861844127,-0.116375539831893
