,X601398.CH.EQUITY,X601318.CH.EQUITY,X601939.CH.EQUITY,X601288.CH.EQUITY,X601988.CH.EQUITY,X601628.CH.EQUITY,X600036.CH.EQUITY,X1299.HK.EQUITY,X5.HK.EQUITY,X388.HK.EQUITY,X601658.CH.Equity,X600030.CH.EQUITY,X601166.CH.EQUITY,X601328.CH.EQUITY,X601066.CH.EQUITY,X600000.CH.EQUITY,X000002.CH.EQUITY,X601319.CH.EQUITY,X000001.CH.EQUITY,X601601.CH.EQUITY,X16.HK.EQUITY,X600016.CH.EQUITY,X688.HK.EQUITY,X601998.CH.EQUITY,X11.HK.EQUITY,X300059.CH.EQUITY,X2388.HK.EQUITY,X1109.HK.EQUITY,X2007.HK.EQUITY,X267.HK.EQUITY,X600048.CH.EQUITY,X601818.CH.EQUITY,X002142.CH.EQUITY,X601688.CH.EQUITY,X601211.CH.EQUITY,X1113.HK.EQUITY,X601336.CH.EQUITY,X000166.CH.EQUITY,X600837.CH.EQUITY,X001979.CH.EQUITY,X600999.CH.EQUITY,X12.HK.EQUITY,X2882.TT.EQUITY,X600918.CH.Equity,X601229.CH.EQUITY,X823.HK.EQUITY,X002736.CH.EQUITY,X000776.CH.EQUITY,X2886.TT.EQUITY,X2881.TT.EQUITY,FXI.US.EQUITY,CN210SLOPE
X601398.CH.EQUITY,0,0,0,0.00107276971430285,0,0,0,0,0,-0.0403910023739434,0,0,0,0,0,0,0,0,0,0,0,0,0.530575517153238,0.662297248362325,0,-0.113628428451915,0,0.00758200934504802,0,0,-0.196889083292275,0,0.245743133956582,0,0,0,0,0,0,-0.0546000489655808,-0.309364227695759,0,0,0,0,0,0,0,0,0,0,0
X601318.CH.EQUITY,0,0,0,0,0,0,0.185295178893734,0,0,0,0,0,0,0,0.0934507717412558,0,0,0,0,0.203740076190918,0,0,0,0,0,0,0,0,0.0880836063654964,0.0495349307855067,0,0,0,0,0,0,0.208961790990673,0,0,0,0,0,0,0,0,0,0.0314794677704591,0,0,0,0,0
X601939.CH.EQUITY,0,0,0,0.815020149896354,0.0210132356874787,0.0101506599886096,0.0158530191563792,0,0,0,0,0,0,0,0,0,0,0,0.0588956900579758,0,0,0,0,0,0,0,0,0,0,0,0,0.0351171153536263,0.0395859415867202,0,0,0,0,0,0,0,0,0,0,0.0590377010007068,0,0,0,0,0.0269959854600918,0,0,0
X601288.CH.EQUITY,0.0103876590515509,0,0.889047924532956,0,0,-0.0846211533860507,0,0,0,0,0,0,0,0.0148224262624542,0,0,0.053593510868524,0.115943427092204,0,0,0,0,0,0,0,0,0.0447954425902729,-0.0173366690150946,0,0,0,0,0,0,0,0,0,0,0,-0.136946357225219,0,0,0,0,0,0,0,0,0,0,-0.0380710014997712,0
X601988.CH.EQUITY,0,0,0,0,0,-0.0399565900922375,0,0,0,0,0,-0.0368610808040971,0.969893959755607,0,0,0,0,-0.205491386111034,0,-0.164424350726361,-0.00448169626009644,0,0,0.309070814509276,0,0,0,0,0,0,-0.0316516454227139,-0.0206465805655153,-0.0659711000230022,0,0,0,0,0,0,0,0,0,0,0,0,0,0.175497290657769,0,-0.0138930128040618,0,0.102814475256161,0
X601628.CH.EQUITY,0,0,6.93889390390723e-18,0,0,0,0,0,0,0,0,0.920762486442757,0,0,0,0,0,0,0,0,0,0.0992471701112169,0,0,0,0,0,0,0,0,-0.112356415790949,0,0,0,0,0.000993983105288331,0.0681410833924567,0,0,0,-0.0864698313528402,0,-0.0651268287202761,0,0,0.0130028184313762,0,0,0.0611792834193014,0,0.0646705359856942,0
X600036.CH.EQUITY,0,0.0154941004015825,0.419576785558415,0,0,0,0,0,0.0272298383508073,-0.0055527132694818,0,0,0,0,0,0.106959794181215,0,0,0,0.000416858282472425,0,0,0,0,0,0,0.194778030993458,0,0,0,0,0,0.108300716772552,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
X1299.HK.EQUITY,0,0.0640108497566725,0,0,0,0,0,0,0.00228448511067284,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.105269750178415,0,0,0.234848094570788,0,0.546885320050867,0.111680434443536,0.146409461809918,0,0,0,0,0,0,0,0,0,0,0.0923831660757865,0,0,-0.234336427732336,0,0,0,0,0,0.0932087580673792,0
X5.HK.EQUITY,0,0,0,0,0,0,0,0,0,0,0,0,-0.0813883869152106,0,0,0,0.139010575713153,0,0,0,0,0,0.257332239766151,0,0.129738663259959,0,0.226332396962549,0,0,0,0,0,0,0,0,0.0290031853559671,0,0,0,0,0,0,0.0936433486884963,-0.137891242678983,0,0,0,0,0,0,0.149219913265799,0.221449733576111
X388.HK.EQUITY,0,0,0,0,0,0.241356715387068,0,0,0,0,0,0,0,0.00301484225775072,0,0,0,0,-0.239686337875561,0,0,0,0,0,0,0.0290936473979251,0,0.373168742164181,0,0.0989275820017141,0,0,0,0,0,0,0,0,0,0,0,0,0,0.199758031162211,0,0.0228042005175173,0,0,0.0794227259288923,-0.235914076552375,-0.0383552399052045,0
