,X601398.CH.EQUITY,X601318.CH.EQUITY,X601939.CH.EQUITY,X600036.CH.EQUITY,X601288.CH.EQUITY,X601628.CH.EQUITY,X1299.HK.EQUITY,X601988.CH.EQUITY,X5.HK.EQUITY,X601166.CH.EQUITY,X601658.CH.Equity,X388.HK.EQUITY,X000001.CH.EQUITY,X600030.CH.EQUITY,X000002.CH.EQUITY,X601601.CH.EQUITY,X601328.CH.EQUITY,X600000.CH.EQUITY,X601066.CH.EQUITY,X601319.CH.EQUITY,X16.HK.EQUITY,X300059.CH.EQUITY,X601998.CH.EQUITY,X002142.CH.EQUITY,X2388.HK.EQUITY,X600016.CH.EQUITY,X11.HK.EQUITY,X600048.CH.EQUITY,X601818.CH.EQUITY,X1109.HK.EQUITY,X2007.HK.EQUITY,X600999.CH.EQUITY,X688.HK.EQUITY,X601336.CH.EQUITY,X601688.CH.EQUITY,X601211.CH.EQUITY,X600837.CH.EQUITY,X267.HK.EQUITY,X002736.CH.EQUITY,X1113.HK.EQUITY,X000166.CH.EQUITY,X12.HK.EQUITY,X823.HK.EQUITY,X2882.TT.EQUITY,X000776.CH.EQUITY,X600918.CH.Equity,X601229.CH.EQUITY,X001979.CH.EQUITY,X601169.CH.EQUITY,X2881.TT.EQUITY,FXI.US.EQUITY,CN210SLOPE
X601398.CH.EQUITY,0,0,0,0.0969644755265983,0.404147743976901,0.0602452747913669,0,0,0,0,0,0,0,0,0,0,1.73472347597681e-18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.139150118055564,0,0,0,0,-0.0418643577704894,0.00553695363697648,0,0.0410435735759258,0.0649758602260734,0,0,0,-0.0828730313354378,0
X601318.CH.EQUITY,0,0,0.0595005492910882,0.03988366582409,0,0,0,0,0.133676682808934,0,0,0,0.0368123667089113,0,0,0.0698151223497511,0,0.0521481154146492,0,0.213616523430405,-0.011094252184786,0.0741376926125195,0,0,0,0,0,0.0220748814420404,0,0,0.124909966499763,0.0385023087389882,0,0,0,0,0,0.133326989854488,0,0,0,0,0,0,0,0,0,0,0,0.0524370588283171,0,-0.039520031261739
X601939.CH.EQUITY,0,0,0,0,0.0944251078870102,0,-0.0301571632857143,0,0,0,0.0974147082167085,0,0,0,0,0,0,0,0,0,0.00806486945670783,0,0.619546947215942,0,0,0.151636168011218,0,0.0992808244867621,0.0182998651924334,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
X600036.CH.EQUITY,0,0.0920535966619184,0,0,0,0,0.206923392781926,0.0983927115237617,0,0,0,0,0.158453770269985,0,0.04897031541787,0,0,0,0,0,0,0,0.259597562020093,0.217450092292824,0,0,0.0307281538428874,0,0,0.0455327036676313,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
X601288.CH.EQUITY,0.193974105816513,0.126279871069288,0.133051506602863,0,0,0.0463217818371113,0,0.250303138668279,0,0,0,0,0,0,-0.0371489288733722,0,0,0,0,0,0,0,0,0,0,0,0,0,0.124643648062152,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0444191039853693,0,0,0,0.050839724234388,0,0,0,0
X601628.CH.EQUITY,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.151498644905694,0,0,0,0.0342880122104339,0,0,0.171442890682991,0,-0.132693904191703,0,0,0,0,0,0,0,0,0,0.630472742989141,0,-0.0242844961142445,0,0,0,0,0,0,0,0.0794576909430272,0,0,0,0,0,-1.73472347597681e-18,0,0
X1299.HK.EQUITY,0,0,-0.129843980744217,0,0,0,0,0,0,0,0,0.127355693416827,0,0,0,0,0,0,0,0,-1.38777878078145e-17,0,0,0,0,0,0.0852425104525585,0,0,0,0.128397542738842,0,0.0392884032666527,-1.73472347597681e-18,0,0,0,0,0,0.168387664467095,0,0.04619114946216,0.278484381545084,0.0912348601963507,0.157468767381764,0,0,0,0,0,0,0
X601988.CH.EQUITY,0,0,8.67361737988404e-19,0.158695339877827,0.760873385921971,0,0,0,0,0,0,0,0.0131316334578674,0,0,0,0,0,0,0,0.0904132917145321,0,0,0.153658426828174,0,0,0,0,0,0,0.101361279443203,-0.132498385270187,0.0290391401663617,0,-0.00682153271918864,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
X5.HK.EQUITY,0,0,0,0,0,0.00938494390240314,0,0,0,0,0,0,0,0,0,0,0,0,0,0.131352687490039,0,0,0,0,0.0846618692666168,0,0.176228367915961,0.0153697523776319,0,0,0,0,0,0,0,0,0,0,0,0.337366554203344,0,0,0.162206450551804,0,0,0,0,0,0,0,0,0
X601166.CH.EQUITY,0,0,0,0.0915078121647109,0,0,0,0,0,0,0.112139778930807,0,0.147633871436011,0,0.0651779675129296,0,0,0,0,0,0,0,0,0.158909048443633,0,0,0,0,0.376794744960941,0,0,0,0,0.0159334498082507,0,0,0,0,0,0,0,0,0,0,0,-0.0174879598473205,0,0,0,0,0,0.0741593796707638
