,X601398.CH.EQUITY,X601939.CH.EQUITY,X601318.CH.EQUITY,X601288.CH.EQUITY,X601988.CH.EQUITY,X5.HK.EQUITY,X600036.CH.EQUITY,X1299.HK.EQUITY,X601628.CH.EQUITY,X601658.CH.Equity,X601328.CH.EQUITY,X601166.CH.EQUITY,X000002.CH.EQUITY,X600000.CH.EQUITY,X000001.CH.EQUITY,X388.HK.EQUITY,X16.HK.EQUITY,X600030.CH.EQUITY,X601319.CH.EQUITY,X688.HK.EQUITY,X601601.CH.EQUITY,X600016.CH.EQUITY,X11.HK.EQUITY,X601998.CH.EQUITY,X601066.CH.EQUITY,X2388.HK.EQUITY,X1109.HK.EQUITY,X267.HK.EQUITY,X2007.HK.EQUITY,X600048.CH.EQUITY,X601818.CH.EQUITY,X601688.CH.EQUITY,X12.HK.EQUITY,X1113.HK.EQUITY,X002142.CH.EQUITY,X601211.CH.EQUITY,X001979.CH.EQUITY,X823.HK.EQUITY,X600837.CH.EQUITY,X601229.CH.EQUITY,X300059.CH.EQUITY,X2882.TT.EQUITY,X601336.CH.EQUITY,X600999.CH.EQUITY,X000166.CH.EQUITY,X601169.CH.EQUITY,X600015.CH.EQUITY,X000776.CH.EQUITY,X002736.CH.EQUITY,X2881.TT.EQUITY,FXI.US.EQUITY,CN210SLOPE
X601398.CH.EQUITY,0,0,0,0.426792758530031,0,0,0,0,-1.73472347597681e-18,0.0033186064318257,0,0,0,0,0.365233557083501,0,0,0,0,-0.0458179758007883,0,0,0,0,0,0,0,0,0,0.0758153814308752,0,0,1.38777878078145e-17,0,0,0,0.000822596397229725,0,0,0,0,0,0,0,0,0.00467885292942278,0,0.111277057337054,0,0,0,0
X601939.CH.EQUITY,0.143651733208578,0,0,0,0,0,0,0,0,0,0,0.026261089556806,0,0.263095453726344,0.297067488016798,0,0,0,0,0,8.67361737988404e-19,0,0,0,0,0,0,0,0,0,0,0,0,0,0.116489909108333,0,0,0,0,0,0,0,0,0,0,0,0.132311829000125,0,0,0,0,0
X601318.CH.EQUITY,0,0.0852644646054619,0,0.0884246193312928,0,0,0,0,0,0,0,0,0,0,0.239884551192559,0.0598377556819693,0.0274971888241719,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.100208632429558,0,0.0360338286561363,0,0,0,0,0.236609432155239,0,0,0.0701228235533663,0,0,0,0,0,0,0,0,0
X601288.CH.EQUITY,0.377874394501286,0.0839917802441335,0,0,0.313245130672103,0,0,0,0,0,0.111475679405783,0,0,0,0,0.0478448054548006,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0153706114832966,0,0,0,0,0,0,0,-1.73472347597681e-18,0,0
X601988.CH.EQUITY,0,0,0,0.184607595670227,0,0,0,0,0,0,0.186071418559886,0,0,0.0605698796771499,0,0,0,0,0,0,0,0.0323131119057377,0,0,0,0.136942321976722,0,0,0.0166682526675655,0,0,0,0,0,0,0.0651668947013531,0,0,0,0.120395542845688,0,0,0,0,0,0.119264600093454,0,0,0,0,0,0
X5.HK.EQUITY,0,0,0,0,0,0,0,0,0,0,0,0,0.194057493197541,0,0,0.221576277358643,0,0,0.0545741665435735,0.711781104216221,0.0173145662702284,0,0,0,0,0.449422819910087,-0.711920061093821,0,0,0.208601661404531,0,0.151063186573767,0,0,0,0,-0.125480352424555,0,0,0,0,3.46944695195361e-18,0,0,0,0,0,0,0,0,0.186440439049888,0
X600036.CH.EQUITY,0.120643167232439,0,0,0.0407680047472239,0,0,0,0.00317506656391537,0,0,0,0.0713624513221965,0,-3.46944695195361e-18,0,0,0,0,0,0,0.0931302961218201,0,0,0,0,0,0,0,0,0,0.08820693737326,0.0908868475417657,0,0.21164836014808,0,0,0,0,0,0,0,0,0,0,0,0,-1.73472347597681e-18,0,0,0.0766688693455447,0,0
X1299.HK.EQUITY,0,0,0,0,0,0.0644005699267819,0,0,0,0,0,0,0,0,0,0,0,0,0,0.174500581991397,0,0,0.100705717873216,0,0,0.0777544189312658,0.0785015807104976,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.364319529446811,0,0
X601628.CH.EQUITY,0,0.416319992506277,0,0.0410992735356901,0.179353007695219,0,0,0,0,0,4.33680868994202e-19,0,0,0,0,0,0,0,0,0,0,0.113932271357279,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0489436110818247,0,0,0,0,0
X601658.CH.Equity,0,0,0,0,0,0,0,0,0,0,0,0,0.142282509541838,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.14697581248912,0,0,0,0,0,0.0994786233887345,0,0,0,0.655942623066595,0,0,0,0,0,0,0.743878311735351,0,0,-0.586355695170319,0,-0.124165977747264
