,X601398.CH.EQUITY,X601939.CH.EQUITY,X601318.CH.EQUITY,X601288.CH.EQUITY,X601988.CH.EQUITY,X600036.CH.EQUITY,X1299.HK.EQUITY,X5.HK.EQUITY,X601628.CH.EQUITY,X601658.CH.Equity,X601328.CH.EQUITY,X601166.CH.EQUITY,X600000.CH.EQUITY,X000002.CH.EQUITY,X16.HK.EQUITY,X388.HK.EQUITY,X600030.CH.EQUITY,X688.HK.EQUITY,X600016.CH.EQUITY,X000001.CH.EQUITY,X601319.CH.EQUITY,X11.HK.EQUITY,X601601.CH.EQUITY,X2388.HK.EQUITY,X601998.CH.EQUITY,X1109.HK.EQUITY,X267.HK.EQUITY,X601066.CH.EQUITY,X2007.HK.EQUITY,X600048.CH.EQUITY,X601818.CH.EQUITY,X1113.HK.EQUITY,X601688.CH.EQUITY,X12.HK.EQUITY,X601211.CH.EQUITY,X001979.CH.EQUITY,X002142.CH.EQUITY,X600837.CH.EQUITY,X823.HK.EQUITY,X601229.CH.EQUITY,X300059.CH.EQUITY,X2882.TT.EQUITY,X600999.CH.EQUITY,X601336.CH.EQUITY,X000166.CH.EQUITY,X601169.CH.EQUITY,X600015.CH.EQUITY,X000776.CH.EQUITY,X2881.TT.EQUITY,X002736.CH.EQUITY,FXI.US.EQUITY,CN210SLOPE
X601398.CH.EQUITY,0,0.134446663171537,0,0.11101408313103,0,0.0699456029547358,0,0,0.335544729288598,0.0501786560968853,0,0,0,0,0,0,0,0,0,0.122931255191948,0,-0.072461326531283,0,0,0,0,0,0,0,0,0.196594804307673,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
X601939.CH.EQUITY,0.294901239790215,0,0,0.0205032644999104,0.188046708832672,0,-0.0951519170193412,0,0,0,1.38777878078145e-17,0,0.379228409517652,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0528365450398979,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.133422141766283,0,0,-0.00604227073643421
X601318.CH.EQUITY,0,0,0,0,0,0,0,0,0,0,0,0.23459422670999,0,0,0,0,0,0,-6.93889390390723e-18,-3.46944695195361e-18,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0201534760613711,0,0,0,0,0,0.153258222526841,0,0,0.0798862263714011,0,0,0.175216971028561,0.18514168489818,0,0,0,0,0
X601288.CH.EQUITY,0.343609990392315,0.0713001156438367,0,0,0.380459632385239,0,0,-0.0185183143474161,0,0,0.0798898693429686,0,0,0,0,0.10775716558252,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00102870953694057,0,0,0,0,0,0,0,0,0,0,0,0
X601988.CH.EQUITY,0,0,0,0.388138631552125,0,0,0,0.0171537649550209,0,0,0.170977344353598,0,0,0.114197370555978,0,0,0,0.0201621612858129,0,0.186822096544464,0,0,0,0,0.0828388587291727,0,-0.0383811281752391,0.0300738629630838,0,0,0,0,0,0,0,-0.0416810640820863,0,0,0,0,0.0593339429906958,0,0,0,0,0,0,0,0,0.0329585617746999,0,0
X600036.CH.EQUITY,0,0,0,0,0,0,0.146657732499018,0,0,0.00218304317874895,0,0.475226092759975,0,0,0,0,0,0,0,0,0,0.0168386728040996,0,0,0,0,0,0.139363250871756,0,0.132887494635279,0,0,0.0201178290988642,0,0,0,6.93889390390723e-18,0,0.182461521149687,0,0,0,0,0,0,0,0,0,0.0105756778921945,0,0,0
X1299.HK.EQUITY,0,0,0,0.053450069225966,0.0303372043424106,0,0,0,0,0,0,0,-3.46944695195361e-18,0,0,-1.38777878078145e-17,0,0.187506066424406,0,0.0202292498166051,0,0.0650092367766267,0,0,0,0.102096819456655,0,0,0,0,0,0.263457319190849,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.298520279535923,0,0,0
X5.HK.EQUITY,0,0,0,-0.077570654803004,0,0,0,0,0,0,0,0,1.38777878078145e-17,0,0,0.328666918891975,0,0,0,-0.433046691164549,0,0.967176006087808,0,-0.86992924329066,0,0,0.547924929158304,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.259819695651376,0,0,0,0,0,0,0,0.195597871028165,0.069589377349538,0
X601628.CH.EQUITY,0,0,0,0,0,0,0,0,0,0,0,0.213727151185107,0,0,0,0,0,0,0,0,0.272906180610846,0,0.0450552406657735,0,0.180033399018389,0,0,0,0.0894676931260084,0,0,0,0,0,0,0,0,0,0,0.00148011029555808,0,0,0,0,0,0,0,0,0,0,0.0436569286230259,0
X601658.CH.Equity,0,0.0913594430682271,0,0.221832843411261,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0537281186679203,0,0.362019660154212,0.514887096883446,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.268799769151773,0,0,-0.638830742641935,0,0
