,X601398.CH.EQUITY,X601939.CH.EQUITY,X601318.CH.EQUITY,X601288.CH.EQUITY,X601988.CH.EQUITY,X600036.CH.EQUITY,X1299.HK.EQUITY,X601628.CH.EQUITY,X5.HK.EQUITY,X601658.CH.Equity,X388.HK.EQUITY,X601328.CH.EQUITY,X601166.CH.EQUITY,X600030.CH.EQUITY,X600000.CH.EQUITY,X000002.CH.EQUITY,X601066.CH.EQUITY,X601319.CH.EQUITY,X000001.CH.EQUITY,X16.HK.EQUITY,X601601.CH.EQUITY,X688.HK.EQUITY,X600016.CH.EQUITY,X601998.CH.EQUITY,X11.HK.EQUITY,X2388.HK.EQUITY,X1109.HK.EQUITY,X2007.HK.EQUITY,X267.HK.EQUITY,X601818.CH.EQUITY,X600048.CH.EQUITY,X601688.CH.EQUITY,X300059.CH.EQUITY,X002142.CH.EQUITY,X601211.CH.EQUITY,X600999.CH.EQUITY,X1113.HK.EQUITY,X600837.CH.EQUITY,X000166.CH.EQUITY,X001979.CH.EQUITY,X12.HK.EQUITY,X601336.CH.EQUITY,X2882.TT.EQUITY,X601229.CH.EQUITY,X823.HK.EQUITY,X000776.CH.EQUITY,X600918.CH.Equity,X601169.CH.EQUITY,X601881.CH.EQUITY,X002736.CH.EQUITY,FXI.US.EQUITY,CN210SLOPE
X601398.CH.EQUITY,0,0,-1.73472347597681e-18,0,0.26692287605499,0,0,0,0,0,-0.134553302637992,0,0,0,0,0,0,0,0,0,0,0.489840407947403,0,0.502367007695065,0,0,0.173160836850956,0,0,0,-0.00715790146314572,0,-0.147720604338856,0,0,-0.288896601155635,0,0,-0.830061435976118,-0.0673678487270061,-0.0025404953457985,0,0,0,0,0,0,0,0,0,0.0888674850863454,0
X601939.CH.EQUITY,0,0,0,0.252731105716253,0,0,0,0,0.0823653067511131,0,0,0.095121734872754,0,0,0.0311618197217666,0,0,0,0.0716878718371134,0,0,0,0,0.0418341480077241,0,0,-0.0787880091014986,-0.0229902877796739,0,0,0,0,0,0,0,0,0,0,0,-0.050470673294187,0,0,0,0,0,0,0.0816525282614158,0.443637695531743,0.0612935895413526,0,-0.120591230252449,0
X601318.CH.EQUITY,0,0,0,0,0,0.388965203878977,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.15699737005648,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.330372910342054,0,0,0.0180019770683655,0,0,0,0.0323738395451904,0,0,0
X601288.CH.EQUITY,0,0.353901129921404,0,0,0.2760986761506,0,0.0715431371221125,0,0,0,0,0.186041687690533,0,0,0.0361242095926468,-0.0405846320257514,0,0,0,0,0,0,0.15946581290534,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0457205010667283,0,0,-0.0959851934678306,0,0,0,0,0.0200650350727799
X601988.CH.EQUITY,0,0,0,0.33300514601821,0,0,0,0,0,0.203287862940137,0,0,0,0,0,0,0.253283360815147,0,0.162442165119505,0,0,0,0.0419806590628146,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.550211748040678,0,0,0,0.0723943476211903,0,0,0,0,0,0,0,-0.265310581771861
X600036.CH.EQUITY,0,0.0716779161779531,0,0,0,0,0.0809959918046702,0.0389145078879795,0,0,0,0,0.105491306566103,0,0,0,0,0,0,0.00106859600332154,0.141854818841507,0,0,0,0,0.016177565822562,0,0,0,0,0,0,0,0.425130820402036,0,0,0.00591712303227059,0,0,0,0,0,0,0,0.0916153200306871,0,0,0,0,0,0,0
X1299.HK.EQUITY,0,0,0,0,0,0,0,0,0,0,0,0.125817797933067,0,0,0,0.122638410683094,0,0,0,0.236594153728123,0,-1.38777878078145e-17,0,-0.0587008900711927,0,0.0219821533935116,0,0.080295889242325,0,0,0.0368250255179295,0,0,0,0,0,0.13408973264423,0.0696229330688975,0,0,0.0431447927395985,0,0,0,0.247531776071451,0,0,0,0,0,0.0155461531441717,0
X601628.CH.EQUITY,0,0,0,0,0,0.364528753965562,0,0,0,0,-0.142721001444227,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0101556553475616,0,0.059059032283951,0.234877479324923,0,0.112839576855111,0,0,-0.0674468252781352,0,0.117548788369246,0,0,0,0.0503498565915106,0,0,-0.0137554787938235
X5.HK.EQUITY,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0323186034724501,0,0,0.00809247345208767,0,0,0.0354897744533283,0.871636384879132,-0.620145020749291,0,0,0.644171421617644,0.120872726112267,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.122315994805695,0,0
X601658.CH.Equity,0,0,0,0.0554864640965175,0,0,0,0,0,0,0,0,0,0,0,0,0,0.26828667163545,0.191350579628083,-0.193213433101878,0,-0.0736685346366405,0.0294749382477665,0,0,0,-0.170508208382368,0,0,0,0,0,0,0,0,0,0,0,0,0.0136483077053943,0.534634304957578,0,0,0,0,0,-0.0482430830645662,0,0,0,0,0
