,X601398.CH.EQUITY,X601939.CH.EQUITY,X601318.CH.EQUITY,X601288.CH.EQUITY,X601988.CH.EQUITY,X600036.CH.EQUITY,X1299.HK.EQUITY,X5.HK.EQUITY,X601628.CH.EQUITY,X601658.CH.Equity,X601328.CH.EQUITY,X601166.CH.EQUITY,X600000.CH.EQUITY,X388.HK.EQUITY,X000002.CH.EQUITY,X600030.CH.EQUITY,X000001.CH.EQUITY,X16.HK.EQUITY,X688.HK.EQUITY,X600016.CH.EQUITY,X601319.CH.EQUITY,X601601.CH.EQUITY,X2388.HK.EQUITY,X11.HK.EQUITY,X601066.CH.EQUITY,X601998.CH.EQUITY,X2007.HK.EQUITY,X1109.HK.EQUITY,X267.HK.EQUITY,X600048.CH.EQUITY,X601818.CH.EQUITY,X1113.HK.EQUITY,X601688.CH.EQUITY,X002142.CH.EQUITY,X601211.CH.EQUITY,X12.HK.EQUITY,X001979.CH.EQUITY,X823.HK.EQUITY,X2882.TT.EQUITY,X600837.CH.EQUITY,X300059.CH.EQUITY,X601336.CH.EQUITY,X601229.CH.EQUITY,X600999.CH.EQUITY,X000166.CH.EQUITY,X601169.CH.EQUITY,X600015.CH.EQUITY,X2881.TT.EQUITY,X2886.TT.EQUITY,X000776.CH.EQUITY,FXI.US.EQUITY,CN210SLOPE
X601398.CH.EQUITY,0,0.293450843836733,0,0.330637938203222,0,0.0167002248296395,0,0,0.0910989853330904,0,0.0603701021646483,0,0,0,0,0,0,0,0,0,0,0,0,-0.107341975579731,0,0,0,0.0469196138400774,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0981632624551604,0,0.118169973976087,0
X601939.CH.EQUITY,0.417525771838592,0,0,0.217208256949996,0,0,-0.145679290674454,0,0,0,0.00973859513550163,0,0.146254327824731,0,-0.0768750584889955,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.00728818865261069,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.254298589928322,0,0,0,-0.0637233753043877,0
X601318.CH.EQUITY,0,0,0,0,0.216560219164112,1.73472347597681e-18,0,0,0,0,0,0,0,0,0.0260379833465732,0,0,0,0,0,0,0.181026728844359,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.258984482202177,0,0,0,0,0.218496813950043,-1.73472347597681e-18,0,0,0,0,0,0.111099338710473,0,0
X601288.CH.EQUITY,0.500258924292542,0,0,0,0.198576432975055,0,0,0,0,0,0,0,0.0747865821871602,0,0,0,0,0,0,0.0129385619220547,0.118439531933128,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-3.46944695195361e-18,0.0507737732142011,0,0,0,0,0,0,0,0,0
X601988.CH.EQUITY,0,0,0,0.381085981973243,0,0,0,0,0,0.264985493503002,0,0,0,0,0,0.356556823535861,0.08736182557372,0,0,0,0,0,0,0,0,0,0,0,0,0,6.93889390390723e-18,0,0,0,0,0,-0.368419811702506,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
X600036.CH.EQUITY,0,0,0,0,0,0,0,0,0,0,0,0.278494604681567,0,0,0,0,0.0920710277727375,0,0,0,0,0,0,0.010191827754605,0,0,0,0,0,0.043362424825382,0.185151313125279,0,0,0.0916187640837307,0,0,0,0.0159817134354425,0,0,0,0.172707131539466,0,0,0,0,0,0.105441957379379,0.0157016292457397,0,0,0
X1299.HK.EQUITY,0,0,0,0,0,0,0,0,0.0848599425521946,0,0,0.0588442848691003,0.122709249145935,0,0,0,0,0,0,0,0,0,0.0246767529891562,0,0,0,0.147117312413922,0,0,0,0,0,0,0,0,0.219904048774066,0,0,0,0,0,0,0.0922903071315335,0,0,0,0,0.117247137306642,0,0,0,0
X5.HK.EQUITY,0,-0.0361982277416923,0,-0.175203719267488,0,0,0,0,0,0,0,0,0,0,-0.00534940214090476,0,0,0,0,0,0.0548271817437716,0,-0.580626244286601,1.07014167615249,0,0,-1.38777878078145e-17,-0.0324362905143971,0.468207991206628,0,0,0,0,0,0,0,0,0,0.434546918624826,0,0,0,0,-0.13039761240632,0,0,0,0,0,0,0.0977240504795402,0
X601628.CH.EQUITY,0.0934816600277917,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.146185409123236,0.0103166710337405,0,0,0.015112096850519,0,0,0,0.0295546691565712,0,0.120569469117121,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.181235950115286,0.163007674397194,0,0,0,0.0276036360483585,0,0.0318516220599986,0,0.111626819505785,-0.0126644388996587
X601658.CH.Equity,0,0,0,0.0418580604741477,0.197324509820258,0,0,0,0,0,0,0,0.26260920377413,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0876423786820136,0.173443773289667,0,0,0,0,0,0,0,0,0,0,0.0447282013322389,0,0,0,0,0,0,0,0.352157935155009,0,0,0,0,0
