,X601398.CH.EQUITY,X601318.CH.EQUITY,X601939.CH.EQUITY,X601288.CH.EQUITY,X5.HK.EQUITY,X601988.CH.EQUITY,X600036.CH.EQUITY,X1299.HK.EQUITY,X601628.CH.EQUITY,X601328.CH.EQUITY,X601166.CH.EQUITY,X601319.CH.EQUITY,X600000.CH.EQUITY,X601601.CH.EQUITY,X16.HK.EQUITY,X000002.CH.EQUITY,X11.HK.EQUITY,X388.HK.EQUITY,X600030.CH.EQUITY,X2388.HK.EQUITY,X267.HK.EQUITY,X688.HK.EQUITY,X600016.CH.EQUITY,X601998.CH.EQUITY,X000001.CH.EQUITY,X1109.HK.EQUITY,X2007.HK.EQUITY,X601818.CH.EQUITY,X1113.HK.EQUITY,X823.HK.EQUITY,X601688.CH.EQUITY,X12.HK.EQUITY,X600048.CH.EQUITY,X001979.CH.EQUITY,X601211.CH.EQUITY,X601066.CH.EQUITY,X600837.CH.EQUITY,X601336.CH.EQUITY,X002142.CH.EQUITY,X601229.CH.EQUITY,X1997.HK.EQUITY,X000166.CH.EQUITY,X2882.TT.EQUITY,X600015.CH.EQUITY,X601169.CH.EQUITY,X002736.CH.EQUITY,X300059.CH.EQUITY,X600999.CH.EQUITY,X2881.TT.EQUITY,FXI.US.EQUITY,CN210SLOPE
X601398.CH.EQUITY,0,0,0,0,0,0,0,0,0,0,0,0.122083175990349,-0.0377085921921055,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0601384318259677,0.147918271083955,0,0,-0.178672707335267,0,0,0.0353573359212634,0,0,0.505266516555394,0,0,0,0,0,0,0,0,-0.0476969218392883,0,0.162942619429895
X601318.CH.EQUITY,0,0,0,0,0,0,0.0545464845420941,0,0.158386977030925,0.0219977895915694,0,0.00678677613096975,0,0.277189355638997,0,0,0,0,0,0,0,0,0,0,0.0939143291955433,0,0,0,0,0.0203398556504389,0,0,0,0,0,0,0,0,0,0,0,0,0.0757389359657038,0,0,0,0,0,0,0,0
X601939.CH.EQUITY,0.410848559978807,-0.144510601448377,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.252439576794929,0,0,0,0,0,0.043379862165786,0,0,0,0,0.0672913783712113,0.0901931928595036,0,0,0,-0.26322548042822,-0.123754586466399,0,0,0,0.563242759911606,0,0,0,-0.0121429616774371,0.131090523992501,0,0,0,0,0,0,0
X601288.CH.EQUITY,0,0,0,0,0,0.124618932295859,0,-0.178065990998904,0.211076444518222,0.00163099296420337,0.388824620435572,0.0299457751567219,0,0,0.117496744309675,0,-0.0398702347090482,0,0,0,-0.0496466007260058,0,0,0,0,0,0,0,0,0,-0.4247552632022,0,0,0,0,0,0,0,0,0,0,0.165642293682562,0,0,0,0,0,0,0,0,0
X5.HK.EQUITY,-0.213640711996842,-0.153384850993197,0,0,0,-6.93889390390723e-18,0,0,0,0,0,0,0,0,0,0.288466822338187,0,0,0,0.233464418608622,0.0741105653374304,0,0,0.431627094662352,0,0,0.00637914448599786,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.108225563072728,0,0.234449618295875,0,0,0,-0.0295758865135302,0,-0.0282900083285395,0,0.0533606000048053
X601988.CH.EQUITY,0.0420583937918116,0,0.0739094057652416,0.350125488243596,0,0,0.0392913859548557,0,0,0,0.191562160243971,0,0,0,0,0,0.129259619553407,0.110107984139355,0,0,0,0,0.0234262132297401,0,0,0,0,0,0,0,0,0,0,-0.0209952524685576,0,0,0,0,0.12416300978332,0,0,0,0,0.118068928291469,0.207935882811249,0,0,0,0,0,0
X600036.CH.EQUITY,0,0,0,0,0,0,0,0,-0.0424045994827796,-2.77555756156289e-17,0,0,0.587536136769952,0,0,0,0,0.0923182109544342,0,0,0.251831951768353,-0.097383360363687,0,0,0,0,0,0.0515508981894165,0,0,0,0,0.32278479377656,-0.161291459655229,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.210863064867765
X1299.HK.EQUITY,0,0.0616501788542865,0,0,0.181775293823909,0,0,0,0.0198610211575958,0,0,0,-0.0161947055755148,0.0197863007199881,0.156571410524859,0,0,0,0,0,0,0,0,0,0,0.183109700308286,0,0,0,0.0309128312346673,0,0.095246065181462,0,0,0,0,0,0,0,-0.00578692005338351,0,0,0,0,0,0,0,0,0,0,0
X601628.CH.EQUITY,0,0.0401991631585533,0,0.0676259054904513,0,0,0,0,0,0,0,0,0,0.313476427557913,0,0,0,0,0,0,0,0.09918127849264,0,0,0.0595292219791643,0,0,0,0,0,0,0,-0.0791695952720258,0,0,0,0.0717157050084999,0.231874257822458,0.0333876957498248,0,0,0,0,0,0,0.101134983407051,0,0,0,0,0
X601328.CH.EQUITY,0,0,0,0,0,0,0.610660077351005,0,0,0,0,0,0,0,0,0,0,0,0,0,0.284824891067925,0,0,0,0,0.0728141421036669,0,0,0,0,0,0,0,0,0,-0.0502748021431378,0,0,0,-0.0582496953445923,0,0,0,-6.93889390390723e-18,0.0499860465270387,0,0,0,-0.00385897346329414,0,0
