,X601398.CH.EQUITY,X601318.CH.EQUITY,X601939.CH.EQUITY,X601288.CH.EQUITY,X601988.CH.EQUITY,X601628.CH.EQUITY,X600036.CH.EQUITY,X1299.HK.EQUITY,X5.HK.EQUITY,X601658.CH.Equity,X388.HK.EQUITY,X600030.CH.EQUITY,X601166.CH.EQUITY,X601328.CH.EQUITY,X600000.CH.EQUITY,X601066.CH.EQUITY,X000002.CH.EQUITY,X601319.CH.EQUITY,X000001.CH.EQUITY,X601601.CH.EQUITY,X16.HK.EQUITY,X688.HK.EQUITY,X600016.CH.EQUITY,X601998.CH.EQUITY,X11.HK.EQUITY,X1109.HK.EQUITY,X2388.HK.EQUITY,X300059.CH.EQUITY,X600048.CH.EQUITY,X2007.HK.EQUITY,X267.HK.EQUITY,X601818.CH.EQUITY,X601688.CH.EQUITY,X002142.CH.EQUITY,X601211.CH.EQUITY,X600999.CH.EQUITY,X001979.CH.EQUITY,X600837.CH.EQUITY,X1113.HK.EQUITY,X000166.CH.EQUITY,X601336.CH.EQUITY,X600918.CH.Equity,X12.HK.EQUITY,X2882.TT.EQUITY,X002736.CH.EQUITY,X601229.CH.EQUITY,X601788.CH.EQUITY,X000776.CH.EQUITY,X601881.CH.EQUITY,X823.HK.EQUITY,FXI.US.EQUITY,CN210SLOPE
X601398.CH.EQUITY,0,0,0,0.152871074793226,0,0,0.0334489682710677,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0596463528036156,0,0.216219552228874,0,0.0527555047573927,0,-0.122107960870727,0,0,0,0,0,0.280286333899259,0,-0.169341804433578,0,0,0,0,0,0,0,0,0,0,-0.123646643483033,0,0,0,0.00658234826292227,0
X601318.CH.EQUITY,0,0,0,0,0.0878794047122649,0.0265784144668698,0.0602588461836325,0,0,0,0,0,0,0,0,0,0,0,0,0.287181115231784,0,0,0,0,0,0,0,0,0,0,0.15272488016995,0,0,0,0,0,0,0,1.73472347597681e-18,0,0.309405369716501,0,0,0,0,0,0,0,0,0,0,0
X601939.CH.EQUITY,0,0,0,0.843552141039386,0,0,0,0,0.0150088060941163,0,0,0,0,0,0,0,0,0.0204937807119397,0,0.0516754829225103,0,0,0.00510300336244055,0.0116095432221217,0,0,0,0,-0.126224421900449,0,0.0936620546031504,0.0865776066545199,0,0,0,0,0,0,-0.0165810782623235,0,0,0.0420574101095875,0,-0.0740112094277816,0.021449766788596,0,0,0,0,0,0.0700241011461366,0
X601288.CH.EQUITY,0,0,0.759447462095031,0,0,-0.0554159434485875,0,0,0,0,0,-0.00844101766635983,0,0.282065783057016,0,0,0,0.139639818072219,-0.0132244056494369,0,0,0,0,0,0,-0.0675405844288447,0.0211666863753454,0,0,0,0,0,0,-1.73472347597681e-18,0,-0.0942363044550023,-0.0948796307071759,0,0,0,0,-0.0191411544708714,0,0,0,0,0,0,0,0,-0.0145304861982427,0
X601988.CH.EQUITY,0,0,0,0,0,0,0,0,0,0.661324892956254,0,0,0.292709900204694,0,0,0.112477819675607,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.094201942657517,0,0,0,0,0,0,0,0,0.0514633004941894,0.00309816930211519,0,0,0,0,0
X601628.CH.EQUITY,0,0,0,0,0,0,0.283559589431279,0,0,0,-0.0202157552046986,0,0,0,0,0,0,0,0,0,0,0,0.0362902662703053,0,0.053627874045281,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.207264213405318,0.121281328186361,0,0,0,0,0.0793116547472747,0,0.0809187983744403,0.07624075085001,0.0512703136940016,0
X600036.CH.EQUITY,0,0,0.257668003196298,0.186320340784451,0,0,0,0.117066095744599,0.0844871802198916,0,-0.0536825986458981,0,0,0,0.0567582617768635,0,0,0,0,0.0176847310024945,0,0,0,0,0,0,0.0285755676865397,-0.0157344875733722,0,0,0,0,0,0.261134081570505,0,0,0,0,0,0,0,-0.0131071734761223,0,0,0,0,0,0,0,0.0725535515651225,0.0326518094120233,0.0499944848085368
X1299.HK.EQUITY,0,0,0,0,0,0.0875182564771744,0,0,0,0,0,0,0,0,0,0,0.0321588610030004,0,0,0,0.184014590134452,0.00149042111334267,0,-0.0609265368586774,0,0,0,0,0.166217767266937,0,0,0,0,0,0,0,0,0.0218382205508205,0.0381867711541877,0,0,0.177849919891733,0.113275609225404,0,0,0,0,0,0,0.445650079490939,0.0845079794615199,0
X5.HK.EQUITY,0,0,0,0,0,0,0.0453435300658981,-2.77555756156289e-17,0,0,0,0,0,0,0,0,0.133402167257388,0,0,0.0140467399447621,0.169034909535172,0.125736247537437,0,0,0.123315053315017,0,0,0,0.0229967103421381,0,0,0,0,0,0,0,0.165229907408629,0,0,0,0,-0.0453551759071222,0,0.248897525455369,0,0.12793010169359,0,0,0,0,0.279969222429187,0
X601658.CH.Equity,0,0,0,0.231622022205528,0,0,0,0,0,0,0,0,0,0,0,0,0,0.207949565134716,0.190615457427608,0,-0.0956951061146874,-0.00500101205844498,0,0,0,-0.11798459839132,0,0,0,0,0,0,0,0,0,0,0,0,-0.083734644980884,0,0,0,0.373549255694193,0,0,0,0,0,0,0,-4.33680868994202e-19,0
