,X601398.CH.EQUITY,X601318.CH.EQUITY,X601939.CH.EQUITY,X601288.CH.EQUITY,X5.HK.EQUITY,X601988.CH.EQUITY,X600036.CH.EQUITY,X1299.HK.EQUITY,X601628.CH.EQUITY,X601328.CH.EQUITY,X601166.CH.EQUITY,X600000.CH.EQUITY,X601319.CH.EQUITY,X601601.CH.EQUITY,X16.HK.EQUITY,X11.HK.EQUITY,X000002.CH.EQUITY,X000001.CH.EQUITY,X267.HK.EQUITY,X2388.HK.EQUITY,X600030.CH.EQUITY,X388.HK.EQUITY,X600016.CH.EQUITY,X601998.CH.EQUITY,X688.HK.EQUITY,X1109.HK.EQUITY,X601818.CH.EQUITY,X2007.HK.EQUITY,X1113.HK.EQUITY,X600048.CH.EQUITY,X823.HK.EQUITY,X12.HK.EQUITY,X601688.CH.EQUITY,X601066.CH.EQUITY,X001979.CH.EQUITY,X601211.CH.EQUITY,X600837.CH.EQUITY,X002142.CH.EQUITY,X601336.CH.EQUITY,X601229.CH.EQUITY,X2882.TT.EQUITY,X1997.HK.EQUITY,X000166.CH.EQUITY,X600015.CH.EQUITY,X601169.CH.EQUITY,X600999.CH.EQUITY,X2881.TT.EQUITY,X300059.CH.EQUITY,X002736.CH.EQUITY,FXI.US.EQUITY,CN210SLOPE
X601398.CH.EQUITY,0,0,0,-0.220442316388189,0,0,0,0,0,0,0,0,0.330307742200595,0,0,0,0,0.111912939771775,0,0,0,0,0,-0.18124757115512,0,0,0,0,0,0,-0.155573268024061,0,0.15220846879064,0,-0.222285558104702,0,0,0,0,0.559885687071296,0.0218737873598616,-0.0665732431594832,0,0,0,0,0,0,0,0,0.222027513273236
X601318.CH.EQUITY,0,0,0,0,0,0,0.190355601493525,0,0.0602215924135034,0.0370278029681386,0,0,0,0.00628550080834403,0,0,0.0262308649967285,0.125615207419065,0,0,0,0,0,0,0.0265508059439044,0,0,0,0,0.0876928281660844,0,0,0,0,0,0,0,0.0470525209938479,0.455414133180302,0,0,-0.0963022796445284,0,0,0,0,0,0,0,0,0
X601939.CH.EQUITY,0.330619299998183,0,0,0,0,0,0,0,0.0285103808926729,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.181770788932293,0,0,0,0,0.16079023959965,0,0.0594402192948066,0,0,0,-0.181589961416516,0,0,0.360489815932647,0,0,0,0,0,0,0,0,0,0,0.0414398785257613,0,0
X601288.CH.EQUITY,0,0.0417806961722092,0,0,0,0.241439099467234,0.000532005507157707,0,0,0,0,0.0118524292566506,0.0791363841121995,0,0,0,0,0,0,0,0,0,0,0,0,0,0.220379483073563,0,0,0,0,0,0,0,0,0,0,0,0.192041100533235,0,0,0,0,0,0,0,0,0.127295576431016,0,-0.00215766717227885,0.134487120981528
X5.HK.EQUITY,0,-0.0251227703097178,0,0.0246538689890737,0,0,0,0,0,0,0.0615285325560575,0,0,0,0,0.317713777602318,0.329244395286062,0,0,0.313462907662939,0,0.0560853108294029,0,0.222080825488478,0,-0.0344903082406993,-0.0802465094135899,0,0,-0.360987179545233,0,0,0,0,0,0,0,0,0,0,0.290148778225144,-0.202512376291589,0,0,0,0,-0.0543087037751089,-0.266670329199889,0,0,0.085084885972175
X601988.CH.EQUITY,0.250188157057586,0,0,0.573116716056374,0,0,0,0,0,0,0.101983323094221,0,0.103072140404824,0,0,0,-0.0540233578186505,0,0,0,0,0,0.00635238256532905,0.0605355808366369,0,0,0,0.0465573664179041,0,0.00377542530263034,0,0,0,0,0,0,0,0.0217529165553222,0,0,0,0,0,0,0,0,0,0,0,0,0
X600036.CH.EQUITY,0,0.581308264073303,0,0,0,0,0,0,-0.0048769477367966,0,0,0,-0.0882589572587057,-0.14144546540491,0,0,0,0,-6.93889390390723e-18,0,0,0,0,0,0,0.255165729994786,0,-0.125898027549056,0,0,0.0201943378167631,0,0,0,0,0,0,0,0,0,0.172371929860387,0,0,0,0,0.132206059651692,0,0,0,0,0
X1299.HK.EQUITY,0,0,0.0205900157998993,0,0,0,0,0,0,0,-0.0613226037500466,-0.066972385946098,0,0,0.0241982870878251,0.318304053605962,0.118469164063671,-0.00772240886613281,0,0.256525569572984,0,0.124044907418978,-0.0895674457294021,0,0,0.235445793698851,0,-0.0375115871417443,0,0,0,0,0,0,0,0,0,0,0,-0.00443486079834001,0,0,0,0,0,0,0,0,0,0,-0.211063795372933
X601628.CH.EQUITY,0,0.110985038358333,0,0.0421686647548719,0,0,0,0,0,0,0.0284239777735808,0,0.0164056977072731,0.227067088793322,0,0,0,0,0,0,0,0,0,0,0.14694932954029,0,0,0,0,-0.0179142437012417,0,0,0,0,0,0,0.118948503813072,0,0.171461118187909,0,0,0,0,0,0,0,0,0,0,8.67361737988404e-19,0
X601328.CH.EQUITY,0,0.224929232048697,0.167817219111911,0.312146173084081,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0236766969288365,0,0,0.111590225206053,0,0,0.258136941502551,0,-0.0340127228116187,-0.0745269358581704,0,0,0,0,0,0,0,0,0,0,0,0,0.0736345808892462,0,0,-0.029672747794861,0,-0.286266199558875,0,0
