,X601398.CH.EQUITY,X601318.CH.EQUITY,X601939.CH.EQUITY,X601288.CH.EQUITY,X600036.CH.EQUITY,X601628.CH.EQUITY,X1299.HK.EQUITY,X601988.CH.EQUITY,X5.HK.EQUITY,X601166.CH.EQUITY,X388.HK.EQUITY,X601658.CH.Equity,X000001.CH.EQUITY,X600030.CH.EQUITY,X000002.CH.EQUITY,X601601.CH.EQUITY,X601328.CH.EQUITY,X600000.CH.EQUITY,X601066.CH.EQUITY,X601319.CH.EQUITY,X16.HK.EQUITY,X300059.CH.EQUITY,X11.HK.EQUITY,X2388.HK.EQUITY,X600016.CH.EQUITY,X601998.CH.EQUITY,X002142.CH.EQUITY,X601818.CH.EQUITY,X600048.CH.EQUITY,X1109.HK.EQUITY,X2007.HK.EQUITY,X600999.CH.EQUITY,X688.HK.EQUITY,X601688.CH.EQUITY,X601336.CH.EQUITY,X601211.CH.EQUITY,X600837.CH.EQUITY,X267.HK.EQUITY,X1113.HK.EQUITY,X002736.CH.EQUITY,X12.HK.EQUITY,X000166.CH.EQUITY,X2882.TT.EQUITY,X823.HK.EQUITY,X600918.CH.Equity,X000776.CH.EQUITY,X601229.CH.EQUITY,X001979.CH.EQUITY,X2881.TT.EQUITY,X601169.CH.EQUITY,FXI.US.EQUITY,CN210SLOPE
X601398.CH.EQUITY,0,0,0.163351432886724,0.0727989798911382,0.0463373546904043,-0.0030083755146525,0,0.354611231801527,0,0,0,0.0765002073507709,0,0,0.0258830348450622,0,0,0,0,0,0,0,0,0,0,0.0747464334283099,0.0740305806232104,0,0,0,0,0,0,0,0,0,0,0.104220724938479,0,0,0,0,0,0,0,0,0,0,0,0,0,0
X601318.CH.EQUITY,0,0,0,0,0.0954102917687086,0.00952275809380242,0,0,0.139455265761113,0,0,0,0.0756663481195712,0,0,0.0416679889552265,0,0,0,0.209802360948102,0,0,0,0,0,0,0,0,0.0642544871067428,0,0.138745784781386,0,0,0,0,0,0,0.092824330858932,0,0,0,0,0,0,0,0,0,0,0.0605550520150568,0,0,-0.0538334333840055
X601939.CH.EQUITY,0,0,0,0.0951281650186888,0,0,-0.0363183638311233,0,0,0,0,0.0989102274764638,0,0,0.0221417555197081,0,0,0,0,0,0.010480678056774,0,0,0,0.149655956834023,0.617051874523156,0,0,0.0732882483613377,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0125509370176156,0
X601288.CH.EQUITY,0.00961802956350551,0,0.126267324225266,0,0,0.0483777452443431,0,0.480482339820296,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0859672407888817,0,0,0,0,0.119151250598958,0,0,0,0,0,0,0,-0.020800655302467,0,0,0,0,0,0,0,0,0,0,0,0.120942431145975,0,0,0,0
X600036.CH.EQUITY,0,0.131108379957493,0,0,0,0,0.208566544926599,0,0,0,0,0,0.204775170682877,0,0.164170077040692,0,0,0,0.0163504709490077,0,0,0,-2.16840434497101e-19,0,0,0.166192365158246,0.237011994895459,0,0,0.0226444802236108,0,0,0,0,0,0,0,0,0.0904967632652581,0,0.0232645588200212,0,0,0,0,0,0,0,0,0,-0.0764646200276046,0
X601628.CH.EQUITY,0,0,0,-1.73472347597681e-18,0,0,0,0,0,0,0,0,0,0,-0.174762900247564,0,0,0,0.0616555704601797,0,0,0.166993457079899,0,0,0,0,-0.132419527956844,0,0,0,0,0,0,0.0798735797624668,0.607788427359045,-0.0495244140810793,0,0,0,0,0,0,0.0935283151141008,0,0,0,0,0,0,0,0,0
X1299.HK.EQUITY,0,0,-0.0745503996843208,0,0.0643687028288599,0,0,0,0,0,0.164797111632951,0,0,0,0,0,0,0,0,0,0.179873413988581,0,0.171209393835503,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.105923942871532,0,0.073499978229874,0,0.0784873427877185,0.132092852522666,0,0.0883907070086871,0,0,0,0,0,0
X601988.CH.EQUITY,0,0,0,0.631746089810247,0.20245575714068,0,0,0,0,0,0.117792724892323,0,0.0905749494714191,0,0,0,0.0729989264253983,0,0,0,0,-0.0450237757328322,0.0139873886925512,0,0,0,0,0,0,0,0.0443883933990853,0,0,0,-0.00291199939075274,0,0.0187196285744605,0,0,0,0.0890778924431426,0,0,0,0,0,0,0,0,0,-0.0643068224262191,0
X5.HK.EQUITY,0,0,0,0,0,0.00928184446028363,0,0,0,0,0,0,0,0,0,0,0,0,0,0.134091162130621,0,0,0.174255171605433,0.0841668951360724,0,0,0,0,0.0155441298126138,0,0,0,0,0,0,0,0,0,0.339377101448079,0,0,0,0,0.162993549804299,0,0,0,0,0,0,0,0
X601166.CH.EQUITY,0,0,0.0124216191800419,0,0.21003386722109,0,-0.0268628960958613,0,0,0,0,0.113816273835793,0.103006247653288,0,0,0,0,0,0,0,0,0,0,0,0,0,0.118592754638103,0.338585184043867,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0647088199158119
