,X601398.CH.EQUITY,X601318.CH.EQUITY,X601939.CH.EQUITY,X601288.CH.EQUITY,X5.HK.EQUITY,X601988.CH.EQUITY,X600036.CH.EQUITY,X1299.HK.EQUITY,X601628.CH.EQUITY,X601658.CH.Equity,X601166.CH.EQUITY,X601328.CH.EQUITY,X600000.CH.EQUITY,X000002.CH.EQUITY,X000001.CH.EQUITY,X601601.CH.EQUITY,X16.HK.EQUITY,X688.HK.EQUITY,X601319.CH.EQUITY,X388.HK.EQUITY,X11.HK.EQUITY,X601998.CH.EQUITY,X267.HK.EQUITY,X600030.CH.EQUITY,X600016.CH.EQUITY,X2388.HK.EQUITY,X1109.HK.EQUITY,X2007.HK.EQUITY,X601818.CH.EQUITY,X601066.CH.EQUITY,X600048.CH.EQUITY,X1113.HK.EQUITY,X12.HK.EQUITY,X601688.CH.EQUITY,X002142.CH.EQUITY,X001979.CH.EQUITY,X823.HK.EQUITY,X601211.CH.EQUITY,X600837.CH.EQUITY,X601229.CH.EQUITY,X2882.TT.EQUITY,X601336.CH.EQUITY,X1997.HK.EQUITY,X601169.CH.EQUITY,X000166.CH.EQUITY,X600015.CH.EQUITY,X2881.TT.EQUITY,X600999.CH.EQUITY,X300059.CH.EQUITY,X000776.CH.EQUITY,FXI.US.EQUITY,CN210SLOPE
X601398.CH.EQUITY,0,0.117167012773753,0,0.0514422337315782,0,0,0,-0.11672455270594,0,0,0,0.512938023096738,0,0,0,-0.0166032949996971,0,0,0,0,0,0,0,0,0,0,0,0,0.018416804450191,0,0,0,0,0,0,0,0.0825601948641571,0,0,0,0,0,0.225252386024687,0,0,0,0,0,0,0,0,0
X601318.CH.EQUITY,0,0,0,0,0,0.00570726795282035,0,0,0.12285138351724,0,0.2609695456169,0,0,-0.0329485017171,0.240361960981785,0,0,0,0,0,0,-0.148685298577951,0,0,0,0,0,0,0,0,0,0,0,0,0.162782820952877,0,0,0,0,-0.283432868087242,0,0.319982061570659,0.267963395326702,0.263141899074853,0,0,0,0,0,0,0,0
X601939.CH.EQUITY,0.328678034479607,0,0,0.330421593594858,0,0.103676358487708,0,-0.0624529251798253,0,0,0,0,0,0,0.110025714540008,0.0665570414142831,0,0,0,0,0,0.00491150881520809,0,0,0,0,0,0,0,0,0,-0.00900991883966761,0,0,0,0,-0.13090319007399,0,0,0.338098852487736,0,0,0,0.0177730269013185,0,0,-0.0424979533308544,0,0,0,0,0
X601288.CH.EQUITY,0.503894358741032,0,0.00602442932747182,0,0,0.194423324416868,0,0,0,0,0,0,0,0,0,0,0.0282193166683647,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.21414122515349,0,0,0,0,0,0,0,0,0.0781817102373694,0.0760357424094977,0,0.0323422345306716
X5.HK.EQUITY,0,0,0.0598861565349212,0.236316701635034,0,0.129843814191938,0,-0.396911173867513,0,0,0,0,0.105203431452797,0,0,0,3.46944695195361e-18,-0.00108927249947995,0,0,0.413465489403924,0,0,0,0,0.488652641416134,0,0,0,0,0,0,0,0.0997415245568758,0,0,0,0,0,0,0,0,0,0,-0.184060705319624,0,0.120936343622387,0,-0.00881223312172256,0,0,-0.00465229330599514
X601988.CH.EQUITY,0.288121346977726,0.0703214335389127,0.322380006334428,0,0,0,0,0,0.135724887896136,0,0,0,0,-0.15583753673012,0,0,0,-0.0126458830417985,0,0,0,0,0.156572229166763,0,0,0,0,0.0450892364910922,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0611621402600193,0,0.165789267633651,0,0,0,0,-0.0302514420303976,0,0,0.017543016067751
X600036.CH.EQUITY,0,0,0,0,0.0971350564666268,0,0,0.245844872741658,-0.00772196469312027,-0.0377775717877982,0.0157054957241695,0,0.280608002578604,0,0.258277440627526,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0921785029409533,0,0,0.0897267998241204,0,0,8.67361737988404e-19,0.134741621832383,0,0.0105227141811673,0,0,0,0,0,0,0,0,0,0,0
X1299.HK.EQUITY,0,0,0,0,0,0,0.0368172038425014,0,0,0,0.209816867282041,0,0,0,-0.179221453055772,-3.46944695195361e-18,0,0,0,0.3666004029439,0.177556481081703,-0.0502084318407909,0,0,0,0.104776537208963,0,0.0721045438861487,0,0,0,0,0,0,0,0,0,0.00100987379576274,0,0,0,0,0,0,0,0,0,0,0,0,0,0
X601628.CH.EQUITY,0.160140616710891,0.348079634811698,0,0,0.145990389092457,0,0,0,0,0.0104001710472807,0,0,0,0,0,-0.00877194461317239,0,0.107227147659272,0,0,-0.0102661133180314,0,0,0,0,0,0,0,0,0,-0.0934553228595704,0,0,0,0,0,-0.0372128934246763,0,0,0,0,0,0,0,-0.175163819184027,0,0,0,0,0,0,0.181404757329558
X601658.CH.Equity,0,0,0,0,0,0.0452455092094645,-0.290849488378055,0,0,0,0,0,0,0,0,-0.0258069509154734,0,0,0,0,0,0,0,0,0.544124922490705,0,0,0.267871466744408,0,0,0,0,0,0,0.0940300032369639,-0.351839206201574,0,0.242719954422256,0,0,0,0,0,0,0,0,-0.0351531424600728,0,0,-0.164974692489019,0,-0.521246193459192
