,X601398.CH.EQUITY,X601318.CH.EQUITY,X601939.CH.EQUITY,X601288.CH.EQUITY,X5.HK.EQUITY,X601988.CH.EQUITY,X600036.CH.EQUITY,X1299.HK.EQUITY,X601628.CH.EQUITY,X601328.CH.EQUITY,X601166.CH.EQUITY,X600000.CH.EQUITY,X601319.CH.EQUITY,X000001.CH.EQUITY,X16.HK.EQUITY,X000002.CH.EQUITY,X601601.CH.EQUITY,X11.HK.EQUITY,X388.HK.EQUITY,X601998.CH.EQUITY,X267.HK.EQUITY,X600016.CH.EQUITY,X2388.HK.EQUITY,X688.HK.EQUITY,X600030.CH.EQUITY,X601818.CH.EQUITY,X2007.HK.EQUITY,X1109.HK.EQUITY,X1113.HK.EQUITY,X600048.CH.EQUITY,X12.HK.EQUITY,X823.HK.EQUITY,X002142.CH.EQUITY,X001979.CH.EQUITY,X601066.CH.EQUITY,X601688.CH.EQUITY,X601211.CH.EQUITY,X600837.CH.EQUITY,X601229.CH.EQUITY,X601336.CH.EQUITY,X1997.HK.EQUITY,X2882.TT.EQUITY,X600015.CH.EQUITY,X601169.CH.EQUITY,X000166.CH.EQUITY,X2881.TT.EQUITY,X600999.CH.EQUITY,X17.HK.EQUITY,X300059.CH.EQUITY,FXI.US.EQUITY,CN210SLOPE
X601398.CH.EQUITY,0,0,0.393886640544271,0,0,0.347614079580744,0,0,0,0,0,0,0,0,0,0,0,0,-0.0397478650931835,0,0,0.112607988533086,0,0,-0.256986130127843,0,0,0,0,0,0,0,0,0,0,0.226186995665003,0,0,0,0,0.0598457383162227,0,0,0,0,-0.129445752140592,0,0,0,-0.0208661165308478,0.0105008562387158
X601318.CH.EQUITY,-0.0192819598168756,0,0,0,0,0,0,0,0,0,0.260396817418109,0.222395273710956,0,0,-0.0423927638647175,0,0.142580444175244,0,-0.00393718606670081,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.123437468277271,0.375644934201512,0,0.0262216621073342,0,0.0760675944800123,0,0,0,0,0,0,0
X601939.CH.EQUITY,0.276421401961086,0,0,0,0.0976382116472422,0,0,0,0,0,0,0,0,0.106638837869501,0,0,0,0,0,0,0.0355808513445308,0,0,0,0,0.331489767209319,0,0,0,0,0,0,0.030620125883005,0,0.133060307702966,0,0,0,0.00310148267029532,0,0,0,0,0,0,0,0,0,0,0,0
X601288.CH.EQUITY,0.273466727283713,0,0.0971379550597053,0,0.0333834135572182,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.93889390390723e-18,0,0,0,0.161326535269527,0,0,0,0,0,0,0,0,0,0,0,0,0.154328418790977,0,0,0,0.026540411903462,0,0,0,0,0.0258182805700597,0.295366645820533,0,0.147100292559865
X5.HK.EQUITY,0,-0.192977837668533,0,0.405264696908772,0,0,0,0,-0.221045590989442,0.312025732897375,0,0,0,0,0,0.190018015296438,0,0.25831056983938,0,0.0838207416091151,0,0,0.423710503958869,-0.210825536669509,0,0,-0.0198059584878426,-0.00392745604429312,0,0,0,0,-0.0546967087482505,-0.157120255205122,0,0,0,0,0.0130171154133767,0,0,0.126812914977983,0,0,0,0,0,0,-0.121346253988647,0.0449083199732722,0
X601988.CH.EQUITY,0.126227981235489,0,0,0,0,0,0,0,0,0.099271524276729,0.184829089775248,0,0,0,0,0,0,0,0,0,0,0.341794963801288,0,0,0,0,0.0834352536214251,0,0,-0.0278502536069835,0,0,0,0,0,0,0,0,0,0.0379970896502372,0,0,0,0.0844045922624224,0,0,0,0,0,0.0817633826051632,0
X600036.CH.EQUITY,0,0.29780548045966,0,0,0,0,0,0,0,0,0,0.151809419704228,0,0.0304887146478236,0,0,0.0255581176134902,0,0.0332572208986258,0,0,0,0,0,0,0,-0.0424290635251428,0,0,-0.0208962545926961,0.0123681087694356,0.196371660484783,0.115365321574614,0,-0.169303559205466,0.033923573238516,0,0,0,0.200240745180093,0,0,0,0,0,0,0,0,0,0.188918633213308,0
X1299.HK.EQUITY,0,0,0,0,0,0,0,0,0,0,-0.044154766521098,0,0,0,0.131359989880838,0.0642870581126956,0,0.248437518397994,0.169400055781647,0,0.250360694569783,0,0,0.0627882527709247,0,0,0,0.109727211192486,0,0,0,0,0,0,0,0,0,0,-0.200790259136454,0,0,0,0,0,0,0,0,0,0,0,-0.0971579868216985
X601628.CH.EQUITY,0,0,0,0.00960302776198959,0,0,0,0,0,0,0.0185335442551941,0,0.00546492705212212,0,0,0,0.165858263003347,0,0,0,0,0,0.0478151703054666,0,0,0,0,0,0,0,0.0102209391590077,0,0,0,0.0460668171886192,0,0,0,0,0.337129421127617,0,0,0,0,0,0,0,0,0,0.14390477871716,0.00408113178764444
X601328.CH.EQUITY,0.123192327008875,0.00136254970605034,0.0170610304181187,0,0.0874132756443161,0.419882620041816,0,0,0,0,0,0.125551778611036,0.103754068194213,0,0,0,0,0,0,0,0,0.0156861005410785,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0171763104440664,0,0.0611973753018129,0.0177339722769592,0,0.121148833340855,0,0,0,0
